year,week,loc,state,country,loc_type,number,event
1972,1,PENNSYLVANIA,PA,US,STATE,1,CASES
1972,3,PENNSYLVANIA,PA,US,STATE,4,CASES
1972,4,PENNSYLVANIA,PA,US,STATE,2,CASES
1972,5,PENNSYLVANIA,PA,US,STATE,125,CASES
1972,6,PENNSYLVANIA,PA,US,STATE,12,CASES
1972,7,PENNSYLVANIA,PA,US,STATE,120,CASES
1972,8,PENNSYLVANIA,PA,US,STATE,1,CASES
1972,9,PENNSYLVANIA,PA,US,STATE,152,CASES
1972,10,PENNSYLVANIA,PA,US,STATE,325,CASES
1972,11,PENNSYLVANIA,PA,US,STATE,18,CASES
1972,12,PENNSYLVANIA,PA,US,STATE,12,CASES
1972,13,PENNSYLVANIA,PA,US,STATE,1,CASES
1972,14,PENNSYLVANIA,PA,US,STATE,178,CASES
1972,15,PENNSYLVANIA,PA,US,STATE,245,CASES
1972,16,PENNSYLVANIA,PA,US,STATE,277,CASES
1972,17,PENNSYLVANIA,PA,US,STATE,219,CASES
1972,18,PENNSYLVANIA,PA,US,STATE,268,CASES
1972,19,PENNSYLVANIA,PA,US,STATE,222,CASES
1972,20,PENNSYLVANIA,PA,US,STATE,14,CASES
1972,21,PENNSYLVANIA,PA,US,STATE,194,CASES
1972,23,PENNSYLVANIA,PA,US,STATE,195,CASES
1972,24,PENNSYLVANIA,PA,US,STATE,71,CASES
1972,28,PENNSYLVANIA,PA,US,STATE,1,CASES
1972,44,PENNSYLVANIA,PA,US,STATE,7,CASES
1972,45,PENNSYLVANIA,PA,US,STATE,2,CASES
1972,46,PENNSYLVANIA,PA,US,STATE,4,CASES
1972,47,PENNSYLVANIA,PA,US,STATE,6,CASES
1972,48,PENNSYLVANIA,PA,US,STATE,127,CASES
1972,49,PENNSYLVANIA,PA,US,STATE,4,CASES
1972,50,PENNSYLVANIA,PA,US,STATE,154,CASES
1973,1,PENNSYLVANIA,PA,US,STATE,8,CASES
1973,3,PENNSYLVANIA,PA,US,STATE,2,CASES
1973,4,PENNSYLVANIA,PA,US,STATE,3,CASES
1973,5,PENNSYLVANIA,PA,US,STATE,12,CASES
1973,6,PENNSYLVANIA,PA,US,STATE,161,CASES
1973,7,PENNSYLVANIA,PA,US,STATE,134,CASES
1973,8,PENNSYLVANIA,PA,US,STATE,182,CASES
1973,9,PENNSYLVANIA,PA,US,STATE,197,CASES
1973,10,PENNSYLVANIA,PA,US,STATE,3,CASES
1973,11,PENNSYLVANIA,PA,US,STATE,186,CASES
1973,12,PENNSYLVANIA,PA,US,STATE,215,CASES
1973,13,PENNSYLVANIA,PA,US,STATE,141,CASES
1973,14,PENNSYLVANIA,PA,US,STATE,290,CASES
1973,15,PENNSYLVANIA,PA,US,STATE,3,CASES
1973,16,PENNSYLVANIA,PA,US,STATE,302,CASES
1973,17,PENNSYLVANIA,PA,US,STATE,27,CASES
1973,18,PENNSYLVANIA,PA,US,STATE,169,CASES
1973,19,PENNSYLVANIA,PA,US,STATE,317,CASES
1973,20,PENNSYLVANIA,PA,US,STATE,208,CASES
1973,21,PENNSYLVANIA,PA,US,STATE,7,CASES
1973,22,PENNSYLVANIA,PA,US,STATE,160,CASES
1973,23,PENNSYLVANIA,PA,US,STATE,197,CASES
1973,24,PENNSYLVANIA,PA,US,STATE,186,CASES
1973,25,PENNSYLVANIA,PA,US,STATE,4,CASES
1973,26,PENNSYLVANIA,PA,US,STATE,2,CASES
1973,27,PENNSYLVANIA,PA,US,STATE,1,CASES
1973,28,PENNSYLVANIA,PA,US,STATE,1,CASES
1973,29,PENNSYLVANIA,PA,US,STATE,2,CASES
1973,33,PENNSYLVANIA,PA,US,STATE,1,CASES
1973,34,PENNSYLVANIA,PA,US,STATE,1,CASES
1973,37,PENNSYLVANIA,PA,US,STATE,2,CASES
1973,41,PENNSYLVANIA,PA,US,STATE,2,CASES
1973,42,PENNSYLVANIA,PA,US,STATE,2,CASES
1973,46,PENNSYLVANIA,PA,US,STATE,2,CASES
1973,47,PENNSYLVANIA,PA,US,STATE,2,CASES
1973,49,PENNSYLVANIA,PA,US,STATE,10,CASES
1973,50,PENNSYLVANIA,PA,US,STATE,6,CASES
1973,51,PENNSYLVANIA,PA,US,STATE,4,CASES
1973,52,PENNSYLVANIA,PA,US,STATE,10,CASES
1974,1,PENNSYLVANIA,PA,US,STATE,13,CASES
1974,2,PENNSYLVANIA,PA,US,STATE,12,CASES
1974,3,PENNSYLVANIA,PA,US,STATE,48,CASES
1974,4,PENNSYLVANIA,PA,US,STATE,108,CASES
1974,5,PENNSYLVANIA,PA,US,STATE,3,CASES
1974,6,PENNSYLVANIA,PA,US,STATE,14,CASES
1974,7,PENNSYLVANIA,PA,US,STATE,7,CASES
1974,8,PENNSYLVANIA,PA,US,STATE,9,CASES
1974,9,PENNSYLVANIA,PA,US,STATE,12,CASES
1974,10,PENNSYLVANIA,PA,US,STATE,13,CASES
1974,11,PENNSYLVANIA,PA,US,STATE,3,CASES
1974,12,PENNSYLVANIA,PA,US,STATE,17,CASES
1974,13,PENNSYLVANIA,PA,US,STATE,2,CASES
1974,14,PENNSYLVANIA,PA,US,STATE,13,CASES
1974,15,PENNSYLVANIA,PA,US,STATE,8,CASES
1974,16,PENNSYLVANIA,PA,US,STATE,1,CASES
1974,17,PENNSYLVANIA,PA,US,STATE,8,CASES
1974,18,PENNSYLVANIA,PA,US,STATE,3,CASES
1974,19,PENNSYLVANIA,PA,US,STATE,7,CASES
1974,20,PENNSYLVANIA,PA,US,STATE,3,CASES
1974,21,PENNSYLVANIA,PA,US,STATE,11,CASES
1974,22,PENNSYLVANIA,PA,US,STATE,7,CASES
1974,23,PENNSYLVANIA,PA,US,STATE,6,CASES
1974,24,PENNSYLVANIA,PA,US,STATE,5,CASES
1974,25,PENNSYLVANIA,PA,US,STATE,6,CASES
1974,26,PENNSYLVANIA,PA,US,STATE,5,CASES
1974,27,PENNSYLVANIA,PA,US,STATE,3,CASES
1974,28,PENNSYLVANIA,PA,US,STATE,1,CASES
1974,29,PENNSYLVANIA,PA,US,STATE,4,CASES
1974,32,PENNSYLVANIA,PA,US,STATE,3,CASES
1974,36,PENNSYLVANIA,PA,US,STATE,1,CASES
1974,37,PENNSYLVANIA,PA,US,STATE,2,CASES
1974,39,PENNSYLVANIA,PA,US,STATE,1,CASES
1974,40,PENNSYLVANIA,PA,US,STATE,1,CASES
1974,41,PENNSYLVANIA,PA,US,STATE,1,CASES
1974,46,PENNSYLVANIA,PA,US,STATE,1,CASES
1974,48,PENNSYLVANIA,PA,US,STATE,2,CASES
1974,49,PENNSYLVANIA,PA,US,STATE,7,CASES
1974,50,PENNSYLVANIA,PA,US,STATE,12,CASES
1974,51,PENNSYLVANIA,PA,US,STATE,3,CASES
1974,52,PENNSYLVANIA,PA,US,STATE,9,CASES
1975,2,PENNSYLVANIA,PA,US,STATE,2,CASES
1975,3,PENNSYLVANIA,PA,US,STATE,5,CASES
1975,4,PENNSYLVANIA,PA,US,STATE,4,CASES
1975,5,PENNSYLVANIA,PA,US,STATE,16,CASES
1975,6,PENNSYLVANIA,PA,US,STATE,4,CASES
1975,7,PENNSYLVANIA,PA,US,STATE,22,CASES
