year,week,loc,state,country,loc_type,number,event
1927,47,PENNSYLVANIA,PA,US,STATE,263,CASES
1927,48,PENNSYLVANIA,PA,US,STATE,328,CASES
1927,49,PENNSYLVANIA,PA,US,STATE,299,CASES
1927,51,PENNSYLVANIA,PA,US,STATE,166,CASES
1927,52,PENNSYLVANIA,PA,US,STATE,377,CASES
1928,1,PENNSYLVANIA,PA,US,STATE,272,CASES
1928,2,PENNSYLVANIA,PA,US,STATE,251,CASES
1928,3,PENNSYLVANIA,PA,US,STATE,286,CASES
1928,4,PENNSYLVANIA,PA,US,STATE,232,CASES
1928,5,PENNSYLVANIA,PA,US,STATE,356,CASES
1928,6,PENNSYLVANIA,PA,US,STATE,238,CASES
1928,7,PENNSYLVANIA,PA,US,STATE,268,CASES
1928,8,PENNSYLVANIA,PA,US,STATE,194,CASES
1928,9,PENNSYLVANIA,PA,US,STATE,310,CASES
1928,10,PENNSYLVANIA,PA,US,STATE,184,CASES
1928,11,PENNSYLVANIA,PA,US,STATE,242,CASES
1928,12,PENNSYLVANIA,PA,US,STATE,197,CASES
1928,13,PENNSYLVANIA,PA,US,STATE,199,CASES
1928,14,PENNSYLVANIA,PA,US,STATE,135,CASES
1928,15,PENNSYLVANIA,PA,US,STATE,169,CASES
1928,16,PENNSYLVANIA,PA,US,STATE,183,CASES
1928,17,PENNSYLVANIA,PA,US,STATE,169,CASES
1928,18,PENNSYLVANIA,PA,US,STATE,165,CASES
1928,19,PENNSYLVANIA,PA,US,STATE,120,CASES
1928,20,PENNSYLVANIA,PA,US,STATE,128,CASES
1928,21,PENNSYLVANIA,PA,US,STATE,177,CASES
1928,22,PENNSYLVANIA,PA,US,STATE,126,CASES
1928,23,PENNSYLVANIA,PA,US,STATE,141,CASES
1928,24,PENNSYLVANIA,PA,US,STATE,162,CASES
1928,25,PENNSYLVANIA,PA,US,STATE,114,CASES
1928,26,PENNSYLVANIA,PA,US,STATE,150,CASES
1928,27,PENNSYLVANIA,PA,US,STATE,101,CASES
1928,28,PENNSYLVANIA,PA,US,STATE,93,CASES
1928,29,PENNSYLVANIA,PA,US,STATE,132,CASES
1928,30,PENNSYLVANIA,PA,US,STATE,69,CASES
1928,31,PENNSYLVANIA,PA,US,STATE,103,CASES
1928,32,PENNSYLVANIA,PA,US,STATE,71,CASES
1928,33,PENNSYLVANIA,PA,US,STATE,88,CASES
1928,34,PENNSYLVANIA,PA,US,STATE,58,CASES
1928,35,PENNSYLVANIA,PA,US,STATE,105,CASES
1928,36,PENNSYLVANIA,PA,US,STATE,79,CASES
1928,37,PENNSYLVANIA,PA,US,STATE,94,CASES
1928,38,PENNSYLVANIA,PA,US,STATE,87,CASES
1928,39,PENNSYLVANIA,PA,US,STATE,163,CASES
1928,40,PENNSYLVANIA,PA,US,STATE,163,CASES
1928,41,PENNSYLVANIA,PA,US,STATE,168,CASES
1928,42,PENNSYLVANIA,PA,US,STATE,181,CASES
1928,43,PENNSYLVANIA,PA,US,STATE,193,CASES
1928,44,PENNSYLVANIA,PA,US,STATE,198,CASES
1928,45,PENNSYLVANIA,PA,US,STATE,169,CASES
1928,46,PENNSYLVANIA,PA,US,STATE,200,CASES
1928,47,PENNSYLVANIA,PA,US,STATE,297,CASES
1928,48,PENNSYLVANIA,PA,US,STATE,233,CASES
1928,49,PENNSYLVANIA,PA,US,STATE,148,CASES
1928,50,PENNSYLVANIA,PA,US,STATE,275,CASES
1928,51,PENNSYLVANIA,PA,US,STATE,135,CASES
1928,52,PENNSYLVANIA,PA,US,STATE,219,CASES
1929,2,PENNSYLVANIA,PA,US,STATE,162,CASES
1929,3,PENNSYLVANIA,PA,US,STATE,165,CASES
1929,4,PENNSYLVANIA,PA,US,STATE,176,CASES
1929,5,PENNSYLVANIA,PA,US,STATE,221,CASES
1929,6,PENNSYLVANIA,PA,US,STATE,156,CASES
1929,7,PENNSYLVANIA,PA,US,STATE,158,CASES
1929,8,PENNSYLVANIA,PA,US,STATE,115,CASES
1929,9,PENNSYLVANIA,PA,US,STATE,173,CASES
1929,10,PENNSYLVANIA,PA,US,STATE,148,CASES
1929,11,PENNSYLVANIA,PA,US,STATE,143,CASES
1929,12,PENNSYLVANIA,PA,US,STATE,189,CASES
1929,13,PENNSYLVANIA,PA,US,STATE,123,CASES
1929,14,PENNSYLVANIA,PA,US,STATE,199,CASES
1929,15,PENNSYLVANIA,PA,US,STATE,154,CASES
1929,16,PENNSYLVANIA,PA,US,STATE,119,CASES
1929,17,PENNSYLVANIA,PA,US,STATE,177,CASES
1929,18,PENNSYLVANIA,PA,US,STATE,177,CASES
1929,19,PENNSYLVANIA,PA,US,STATE,146,CASES
1929,20,PENNSYLVANIA,PA,US,STATE,126,CASES
1929,21,PENNSYLVANIA,PA,US,STATE,150,CASES
1929,22,PENNSYLVANIA,PA,US,STATE,127,CASES
1929,23,PENNSYLVANIA,PA,US,STATE,101,CASES
1929,24,PENNSYLVANIA,PA,US,STATE,128,CASES
1929,25,PENNSYLVANIA,PA,US,STATE,125,CASES
1929,26,PENNSYLVANIA,PA,US,STATE,133,CASES
1929,27,PENNSYLVANIA,PA,US,STATE,126,CASES
