year,week,loc,state,country,loc_type,number,event
1927,47,PENNSYLVANIA,PA,US,STATE,444,CASES
1927,48,PENNSYLVANIA,PA,US,STATE,433,CASES
1927,49,PENNSYLVANIA,PA,US,STATE,670,CASES
1927,51,PENNSYLVANIA,PA,US,STATE,256,CASES
1927,52,PENNSYLVANIA,PA,US,STATE,1048,CASES
1928,1,PENNSYLVANIA,PA,US,STATE,683,CASES
1928,2,PENNSYLVANIA,PA,US,STATE,857,CASES
1928,3,PENNSYLVANIA,PA,US,STATE,796,CASES
1928,4,PENNSYLVANIA,PA,US,STATE,822,CASES
1928,5,PENNSYLVANIA,PA,US,STATE,1487,CASES
1928,6,PENNSYLVANIA,PA,US,STATE,1129,CASES
1928,7,PENNSYLVANIA,PA,US,STATE,1323,CASES
1928,8,PENNSYLVANIA,PA,US,STATE,1047,CASES
1928,9,PENNSYLVANIA,PA,US,STATE,1864,CASES
1928,10,PENNSYLVANIA,PA,US,STATE,924,CASES
1928,11,PENNSYLVANIA,PA,US,STATE,1415,CASES
1928,12,PENNSYLVANIA,PA,US,STATE,1345,CASES
1928,13,PENNSYLVANIA,PA,US,STATE,1469,CASES
1928,14,PENNSYLVANIA,PA,US,STATE,1518,CASES
1928,15,PENNSYLVANIA,PA,US,STATE,1885,CASES
1928,16,PENNSYLVANIA,PA,US,STATE,2337,CASES
1928,17,PENNSYLVANIA,PA,US,STATE,2024,CASES
1928,18,PENNSYLVANIA,PA,US,STATE,2665,CASES
1928,19,PENNSYLVANIA,PA,US,STATE,2527,CASES
1928,20,PENNSYLVANIA,PA,US,STATE,2895,CASES
1928,21,PENNSYLVANIA,PA,US,STATE,2767,CASES
1928,22,PENNSYLVANIA,PA,US,STATE,2781,CASES
1928,23,PENNSYLVANIA,PA,US,STATE,2002,CASES
1928,24,PENNSYLVANIA,PA,US,STATE,2494,CASES
1928,25,PENNSYLVANIA,PA,US,STATE,2280,CASES
1928,26,PENNSYLVANIA,PA,US,STATE,1685,CASES
1928,27,PENNSYLVANIA,PA,US,STATE,1079,CASES
1928,28,PENNSYLVANIA,PA,US,STATE,874,CASES
1928,29,PENNSYLVANIA,PA,US,STATE,841,CASES
1928,30,PENNSYLVANIA,PA,US,STATE,476,CASES
1928,31,PENNSYLVANIA,PA,US,STATE,487,CASES
1928,32,PENNSYLVANIA,PA,US,STATE,253,CASES
1928,33,PENNSYLVANIA,PA,US,STATE,179,CASES
1928,34,PENNSYLVANIA,PA,US,STATE,134,CASES
1928,35,PENNSYLVANIA,PA,US,STATE,91,CASES
1928,36,PENNSYLVANIA,PA,US,STATE,61,CASES
1928,37,PENNSYLVANIA,PA,US,STATE,74,CASES
1928,38,PENNSYLVANIA,PA,US,STATE,102,CASES
1928,39,PENNSYLVANIA,PA,US,STATE,103,CASES
1928,41,PENNSYLVANIA,PA,US,STATE,193,CASES
1928,42,PENNSYLVANIA,PA,US,STATE,273,CASES
1928,43,PENNSYLVANIA,PA,US,STATE,319,CASES
1928,44,PENNSYLVANIA,PA,US,STATE,451,CASES
1928,45,PENNSYLVANIA,PA,US,STATE,320,CASES
1928,46,PENNSYLVANIA,PA,US,STATE,622,CASES
1928,47,PENNSYLVANIA,PA,US,STATE,768,CASES
1928,48,PENNSYLVANIA,PA,US,STATE,890,CASES
1928,49,PENNSYLVANIA,PA,US,STATE,438,CASES
1928,50,PENNSYLVANIA,PA,US,STATE,1210,CASES
1928,51,PENNSYLVANIA,PA,US,STATE,483,CASES
1928,52,PENNSYLVANIA,PA,US,STATE,1409,CASES
1929,2,PENNSYLVANIA,PA,US,STATE,913,CASES
1929,3,PENNSYLVANIA,PA,US,STATE,1003,CASES
1929,4,PENNSYLVANIA,PA,US,STATE,1265,CASES
1929,5,PENNSYLVANIA,PA,US,STATE,1621,CASES
1929,6,PENNSYLVANIA,PA,US,STATE,1378,CASES
1929,7,PENNSYLVANIA,PA,US,STATE,2012,CASES
1929,8,PENNSYLVANIA,PA,US,STATE,1199,CASES
1929,9,PENNSYLVANIA,PA,US,STATE,2440,CASES
1929,10,PENNSYLVANIA,PA,US,STATE,1910,CASES
1929,11,PENNSYLVANIA,PA,US,STATE,1963,CASES
1929,12,PENNSYLVANIA,PA,US,STATE,2293,CASES
1929,13,PENNSYLVANIA,PA,US,STATE,1712,CASES
1929,14,PENNSYLVANIA,PA,US,STATE,2291,CASES
1929,15,PENNSYLVANIA,PA,US,STATE,1939,CASES
1929,16,PENNSYLVANIA,PA,US,STATE,1899,CASES
1929,17,PENNSYLVANIA,PA,US,STATE,1694,CASES
1929,18,PENNSYLVANIA,PA,US,STATE,2214,CASES
1929,19,PENNSYLVANIA,PA,US,STATE,1799,CASES
1929,20,PENNSYLVANIA,PA,US,STATE,1933,CASES
1929,21,PENNSYLVANIA,PA,US,STATE,1801,CASES
1929,22,PENNSYLVANIA,PA,US,STATE,2074,CASES
1929,23,PENNSYLVANIA,PA,US,STATE,1230,CASES
1929,24,PENNSYLVANIA,PA,US,STATE,1277,CASES
1929,25,PENNSYLVANIA,PA,US,STATE,929,CASES
1929,26,PENNSYLVANIA,PA,US,STATE,820,CASES
1929,27,PENNSYLVANIA,PA,US,STATE,747,CASES
1929,28,PENNSYLVANIA,PA,US,STATE,427,CASES
1929,29,PENNSYLVANIA,PA,US,STATE,311,CASES
1929,30,PENNSYLVANIA,PA,US,STATE,323,CASES
1929,31,PENNSYLVANIA,PA,US,STATE,179,CASES
1929,32,PENNSYLVANIA,PA,US,STATE,123,CASES
1929,33,PENNSYLVANIA,PA,US,STATE,76,CASES
1929,34,PENNSYLVANIA,PA,US,STATE,61,CASES
1929,35,PENNSYLVANIA,PA,US,STATE,75,CASES
1929,36,PENNSYLVANIA,PA,US,STATE,49,CASES
1929,37,PENNSYLVANIA,PA,US,STATE,39,CASES
1929,38,PENNSYLVANIA,PA,US,STATE,45,CASES
1929,39,PENNSYLVANIA,PA,US,STATE,68,CASES
1929,40,PENNSYLVANIA,PA,US,STATE,75,CASES
1929,41,PENNSYLVANIA,PA,US,STATE,156,CASES
1929,42,PENNSYLVANIA,PA,US,STATE,150,CASES
1929,43,PENNSYLVANIA,PA,US,STATE,238,CASES
1929,44,PENNSYLVANIA,PA,US,STATE,262,CASES
1929,45,PENNSYLVANIA,PA,US,STATE,219,CASES
1929,46,PENNSYLVANIA,PA,US,STATE,340,CASES
1929,47,PENNSYLVANIA,PA,US,STATE,455,CASES
1929,48,PENNSYLVANIA,PA,US,STATE,302,CASES
1929,49,PENNSYLVANIA,PA,US,STATE,416,CASES
1929,50,PENNSYLVANIA,PA,US,STATE,469,CASES
1929,51,PENNSYLVANIA,PA,US,STATE,391,CASES
1930,1,PENNSYLVANIA,PA,US,STATE,800,CASES
1930,2,PENNSYLVANIA,PA,US,STATE,510,CASES
1930,3,PENNSYLVANIA,PA,US,STATE,613,CASES
1930,4,PENNSYLVANIA,PA,US,STATE,690,CASES
1930,5,PENNSYLVANIA,PA,US,STATE,721,CASES
1930,6,PENNSYLVANIA,PA,US,STATE,730,CASES
1930,7,PENNSYLVANIA,PA,US,STATE,783,CASES
1930,8,PENNSYLVANIA,PA,US,STATE,781,CASES
1930,9,PENNSYLVANIA,PA,US,STATE,945,CASES
1930,10,PENNSYLVANIA,PA,US,STATE,915,CASES
1930,11,PENNSYLVANIA,PA,US,STATE,1176,CASES
1930,12,PENNSYLVANIA,PA,US,STATE,1297,CASES
1930,13,PENNSYLVANIA,PA,US,STATE,1272,CASES
1930,14,PENNSYLVANIA,PA,US,STATE,1412,CASES
1930,15,PENNSYLVANIA,PA,US,STATE,1389,CASES
1930,16,PENNSYLVANIA,PA,US,STATE,1800,CASES
1930,17,PENNSYLVANIA,PA,US,STATE,1205,CASES
1930,18,PENNSYLVANIA,PA,US,STATE,1418,CASES
1930,19,PENNSYLVANIA,PA,US,STATE,1784,CASES
1930,20,PENNSYLVANIA,PA,US,STATE,1580,CASES
1930,21,PENNSYLVANIA,PA,US,STATE,1356,CASES
1930,22,PENNSYLVANIA,PA,US,STATE,1327,CASES
1930,23,PENNSYLVANIA,PA,US,STATE,776,CASES
1930,24,PENNSYLVANIA,PA,US,STATE,1106,CASES
1930,25,PENNSYLVANIA,PA,US,STATE,1033,CASES
1930,26,PENNSYLVANIA,PA,US,STATE,907,CASES
1930,27,PENNSYLVANIA,PA,US,STATE,791,CASES
1930,28,PENNSYLVANIA,PA,US,STATE,638,CASES
1930,29,PENNSYLVANIA,PA,US,STATE,329,CASES
1930,30,PENNSYLVANIA,PA,US,STATE,269,CASES
1930,31,PENNSYLVANIA,PA,US,STATE,254,CASES
1930,32,PENNSYLVANIA,PA,US,STATE,166,CASES
1930,33,PENNSYLVANIA,PA,US,STATE,129,CASES
1930,34,PENNSYLVANIA,PA,US,STATE,91,CASES
1930,35,PENNSYLVANIA,PA,US,STATE,48,CASES
1930,36,PENNSYLVANIA,PA,US,STATE,48,CASES
1930,37,PENNSYLVANIA,PA,US,STATE,81,CASES
1930,38,PENNSYLVANIA,PA,US,STATE,45,CASES
1930,39,PENNSYLVANIA,PA,US,STATE,51,CASES
1930,40,PENNSYLVANIA,PA,US,STATE,49,CASES
1930,41,PENNSYLVANIA,PA,US,STATE,52,CASES
1930,42,PENNSYLVANIA,PA,US,STATE,76,CASES
1930,43,PENNSYLVANIA,PA,US,STATE,133,CASES
1930,44,PENNSYLVANIA,PA,US,STATE,126,CASES
1930,45,PENNSYLVANIA,PA,US,STATE,109,CASES
1930,46,PENNSYLVANIA,PA,US,STATE,257,CASES
1930,47,PENNSYLVANIA,PA,US,STATE,268,CASES
