year,week,loc,state,country,loc_type,number,event
1937,43,RHODE ISLAND,RI,US,STATE,17,CASES
1937,44,RHODE ISLAND,RI,US,STATE,23,CASES
1937,45,RHODE ISLAND,RI,US,STATE,8,CASES
1937,46,RHODE ISLAND,RI,US,STATE,53,CASES
1937,47,RHODE ISLAND,RI,US,STATE,51,CASES
1937,48,RHODE ISLAND,RI,US,STATE,33,CASES
1937,49,RHODE ISLAND,RI,US,STATE,15,CASES
1937,51,RHODE ISLAND,RI,US,STATE,18,CASES
1938,1,RHODE ISLAND,RI,US,STATE,36,CASES
1938,2,RHODE ISLAND,RI,US,STATE,33,CASES
1938,3,RHODE ISLAND,RI,US,STATE,43,CASES
1938,4,RHODE ISLAND,RI,US,STATE,59,CASES
1938,5,RHODE ISLAND,RI,US,STATE,34,CASES
1938,6,RHODE ISLAND,RI,US,STATE,25,CASES
1938,7,RHODE ISLAND,RI,US,STATE,37,CASES
1938,8,RHODE ISLAND,RI,US,STATE,39,CASES
1938,9,RHODE ISLAND,RI,US,STATE,29,CASES
1938,10,RHODE ISLAND,RI,US,STATE,29,CASES
1938,11,RHODE ISLAND,RI,US,STATE,22,CASES
1938,12,RHODE ISLAND,RI,US,STATE,25,CASES
1938,13,RHODE ISLAND,RI,US,STATE,36,CASES
1938,14,RHODE ISLAND,RI,US,STATE,22,CASES
1938,15,RHODE ISLAND,RI,US,STATE,0,CASES
1938,17,RHODE ISLAND,RI,US,STATE,11,CASES
1938,18,RHODE ISLAND,RI,US,STATE,20,CASES
1938,19,RHODE ISLAND,RI,US,STATE,32,CASES
1938,20,RHODE ISLAND,RI,US,STATE,21,CASES
1938,21,RHODE ISLAND,RI,US,STATE,14,CASES
1938,22,RHODE ISLAND,RI,US,STATE,24,CASES
1938,23,RHODE ISLAND,RI,US,STATE,26,CASES
1938,24,RHODE ISLAND,RI,US,STATE,19,CASES
1938,25,RHODE ISLAND,RI,US,STATE,138,CASES
1938,26,RHODE ISLAND,RI,US,STATE,100,CASES
1938,27,RHODE ISLAND,RI,US,STATE,230,CASES
1938,28,RHODE ISLAND,RI,US,STATE,107,CASES
1938,29,RHODE ISLAND,RI,US,STATE,46,CASES
1938,31,RHODE ISLAND,RI,US,STATE,107,CASES
1938,32,RHODE ISLAND,RI,US,STATE,230,CASES
1938,33,RHODE ISLAND,RI,US,STATE,100,CASES
1938,34,RHODE ISLAND,RI,US,STATE,0,CASES
1938,35,RHODE ISLAND,RI,US,STATE,77,CASES
1938,36,RHODE ISLAND,RI,US,STATE,46,CASES
1938,37,RHODE ISLAND,RI,US,STATE,54,CASES
1938,38,RHODE ISLAND,RI,US,STATE,13,CASES
1938,39,RHODE ISLAND,RI,US,STATE,9,CASES
1938,40,RHODE ISLAND,RI,US,STATE,184,CASES
1938,41,RHODE ISLAND,RI,US,STATE,27,CASES
1938,42,RHODE ISLAND,RI,US,STATE,258,CASES
1938,43,RHODE ISLAND,RI,US,STATE,41,CASES
1938,44,RHODE ISLAND,RI,US,STATE,153,CASES
1938,45,RHODE ISLAND,RI,US,STATE,24,CASES
1938,46,RHODE ISLAND,RI,US,STATE,314,CASES
1938,47,RHODE ISLAND,RI,US,STATE,138,CASES
1938,48,RHODE ISLAND,RI,US,STATE,230,CASES
1938,49,RHODE ISLAND,RI,US,STATE,337,CASES
1938,50,RHODE ISLAND,RI,US,STATE,345,CASES
1938,51,RHODE ISLAND,RI,US,STATE,33,CASES
1938,52,RHODE ISLAND,RI,US,STATE,20,CASES
1939,1,RHODE ISLAND,RI,US,STATE,299,CASES
1939,2,RHODE ISLAND,RI,US,STATE,658,CASES
1939,3,RHODE ISLAND,RI,US,STATE,0,CASES
1939,4,RHODE ISLAND,RI,US,STATE,458,CASES
1939,5,RHODE ISLAND,RI,US,STATE,37,CASES
1939,6,RHODE ISLAND,RI,US,STATE,55,CASES
1939,7,RHODE ISLAND,RI,US,STATE,63,CASES
1939,8,RHODE ISLAND,RI,US,STATE,85,CASES
1939,9,RHODE ISLAND,RI,US,STATE,96,CASES
1939,10,RHODE ISLAND,RI,US,STATE,30,CASES
1939,11,RHODE ISLAND,RI,US,STATE,28,CASES
1939,12,RHODE ISLAND,RI,US,STATE,124,CASES
1939,13,RHODE ISLAND,RI,US,STATE,101,CASES
1939,14,RHODE ISLAND,RI,US,STATE,54,CASES
1939,15,RHODE ISLAND,RI,US,STATE,65,CASES
1939,16,RHODE ISLAND,RI,US,STATE,573,CASES
1939,17,RHODE ISLAND,RI,US,STATE,710,CASES
1939,18,RHODE ISLAND,RI,US,STATE,63,CASES
1939,19,RHODE ISLAND,RI,US,STATE,733,CASES
1939,20,RHODE ISLAND,RI,US,STATE,657,CASES
1939,21,RHODE ISLAND,RI,US,STATE,42,CASES
1939,22,RHODE ISLAND,RI,US,STATE,43,CASES
1939,23,RHODE ISLAND,RI,US,STATE,55,CASES
1939,24,RHODE ISLAND,RI,US,STATE,99,CASES
1939,25,RHODE ISLAND,RI,US,STATE,41,CASES
1939,26,RHODE ISLAND,RI,US,STATE,18,CASES
1939,27,RHODE ISLAND,RI,US,STATE,99,CASES
1939,28,RHODE ISLAND,RI,US,STATE,31,CASES
1939,29,RHODE ISLAND,RI,US,STATE,15,CASES
1939,30,RHODE ISLAND,RI,US,STATE,26,CASES
1939,31,RHODE ISLAND,RI,US,STATE,11,CASES
1939,32,RHODE ISLAND,RI,US,STATE,92,CASES
1939,33,RHODE ISLAND,RI,US,STATE,14,CASES
1939,34,RHODE ISLAND,RI,US,STATE,24,CASES
1939,35,RHODE ISLAND,RI,US,STATE,39,CASES
1939,36,RHODE ISLAND,RI,US,STATE,229,CASES
1939,37,RHODE ISLAND,RI,US,STATE,31,CASES
1939,38,RHODE ISLAND,RI,US,STATE,46,CASES
1939,39,RHODE ISLAND,RI,US,STATE,183,CASES
1939,40,RHODE ISLAND,RI,US,STATE,122,CASES
1939,41,RHODE ISLAND,RI,US,STATE,38,CASES
1939,42,RHODE ISLAND,RI,US,STATE,19,CASES
1939,43,RHODE ISLAND,RI,US,STATE,229,CASES
1939,44,RHODE ISLAND,RI,US,STATE,9,CASES
1939,45,RHODE ISLAND,RI,US,STATE,21,CASES
1939,46,RHODE ISLAND,RI,US,STATE,191,CASES
1939,47,RHODE ISLAND,RI,US,STATE,16,CASES
1939,48,RHODE ISLAND,RI,US,STATE,107,CASES
1939,49,RHODE ISLAND,RI,US,STATE,122,CASES
1939,50,RHODE ISLAND,RI,US,STATE,260,CASES
1939,51,RHODE ISLAND,RI,US,STATE,15,CASES
1939,52,RHODE ISLAND,RI,US,STATE,46,CASES
1940,2,RHODE ISLAND,RI,US,STATE,16,CASES
1940,3,RHODE ISLAND,RI,US,STATE,12,CASES
1940,4,RHODE ISLAND,RI,US,STATE,4,CASES
1940,6,RHODE ISLAND,RI,US,STATE,13,CASES
1940,7,RHODE ISLAND,RI,US,STATE,3,CASES
1940,8,RHODE ISLAND,RI,US,STATE,12,CASES
1940,9,RHODE ISLAND,RI,US,STATE,19,CASES
1940,10,RHODE ISLAND,RI,US,STATE,9,CASES
1940,11,RHODE ISLAND,RI,US,STATE,6,CASES
1940,12,RHODE ISLAND,RI,US,STATE,2,CASES
1940,13,RHODE ISLAND,RI,US,STATE,8,CASES
1940,14,RHODE ISLAND,RI,US,STATE,8,CASES
1940,15,RHODE ISLAND,RI,US,STATE,5,CASES
1940,16,RHODE ISLAND,RI,US,STATE,7,CASES
1940,17,RHODE ISLAND,RI,US,STATE,9,CASES
1940,18,RHODE ISLAND,RI,US,STATE,17,CASES
1940,19,RHODE ISLAND,RI,US,STATE,4,CASES
1940,20,RHODE ISLAND,RI,US,STATE,9,CASES
1940,21,RHODE ISLAND,RI,US,STATE,7,CASES
1940,22,RHODE ISLAND,RI,US,STATE,0,CASES
1940,23,RHODE ISLAND,RI,US,STATE,10,CASES
1940,24,RHODE ISLAND,RI,US,STATE,10,CASES
1940,25,RHODE ISLAND,RI,US,STATE,5,CASES
1940,26,RHODE ISLAND,RI,US,STATE,6,CASES
1940,27,RHODE ISLAND,RI,US,STATE,8,CASES
1940,28,RHODE ISLAND,RI,US,STATE,2,CASES
1940,29,RHODE ISLAND,RI,US,STATE,5,CASES
1940,30,RHODE ISLAND,RI,US,STATE,5,CASES
1940,31,RHODE ISLAND,RI,US,STATE,4,CASES
1940,32,RHODE ISLAND,RI,US,STATE,1,CASES
1940,33,RHODE ISLAND,RI,US,STATE,0,CASES
1940,34,RHODE ISLAND,RI,US,STATE,7,CASES
1940,35,RHODE ISLAND,RI,US,STATE,1,CASES
