year,week,loc,state,country,loc_type,number,event
1927,47,RHODE ISLAND,RI,US,STATE,1,CASES
1927,48,RHODE ISLAND,RI,US,STATE,10,CASES
1927,52,RHODE ISLAND,RI,US,STATE,6,CASES
1928,3,RHODE ISLAND,RI,US,STATE,1,CASES
1928,4,RHODE ISLAND,RI,US,STATE,11,CASES
1928,9,RHODE ISLAND,RI,US,STATE,1,CASES
1928,13,RHODE ISLAND,RI,US,STATE,10,CASES
1928,18,RHODE ISLAND,RI,US,STATE,1,CASES
1928,19,RHODE ISLAND,RI,US,STATE,2,CASES
1928,23,RHODE ISLAND,RI,US,STATE,2,CASES
1928,26,RHODE ISLAND,RI,US,STATE,1,CASES
1928,31,RHODE ISLAND,RI,US,STATE,2,CASES
1928,47,RHODE ISLAND,RI,US,STATE,4,CASES
1928,49,RHODE ISLAND,RI,US,STATE,2,CASES
1928,50,RHODE ISLAND,RI,US,STATE,1,CASES
1928,51,RHODE ISLAND,RI,US,STATE,14,CASES
1928,52,RHODE ISLAND,RI,US,STATE,9,CASES
1929,1,RHODE ISLAND,RI,US,STATE,179,CASES
1929,2,RHODE ISLAND,RI,US,STATE,208,CASES
1929,3,RHODE ISLAND,RI,US,STATE,799,CASES
1929,4,RHODE ISLAND,RI,US,STATE,595,CASES
1929,5,RHODE ISLAND,RI,US,STATE,205,CASES
1929,6,RHODE ISLAND,RI,US,STATE,84,CASES
1929,7,RHODE ISLAND,RI,US,STATE,33,CASES
1929,8,RHODE ISLAND,RI,US,STATE,11,CASES
1929,9,RHODE ISLAND,RI,US,STATE,8,CASES
1929,10,RHODE ISLAND,RI,US,STATE,8,CASES
1929,11,RHODE ISLAND,RI,US,STATE,6,CASES
1929,12,RHODE ISLAND,RI,US,STATE,6,CASES
1929,13,RHODE ISLAND,RI,US,STATE,1,CASES
1929,14,RHODE ISLAND,RI,US,STATE,1,CASES
1929,16,RHODE ISLAND,RI,US,STATE,1,CASES
1929,17,RHODE ISLAND,RI,US,STATE,1,CASES
1929,38,RHODE ISLAND,RI,US,STATE,1,CASES
1929,41,RHODE ISLAND,RI,US,STATE,2,CASES
1929,43,RHODE ISLAND,RI,US,STATE,3,CASES
1929,44,RHODE ISLAND,RI,US,STATE,29,CASES
1929,45,RHODE ISLAND,RI,US,STATE,4,CASES
1929,46,RHODE ISLAND,RI,US,STATE,1,CASES
1929,47,RHODE ISLAND,RI,US,STATE,5,CASES
1930,1,RHODE ISLAND,RI,US,STATE,10,CASES
1930,2,RHODE ISLAND,RI,US,STATE,6,CASES
1930,11,RHODE ISLAND,RI,US,STATE,2,CASES
1930,16,RHODE ISLAND,RI,US,STATE,2,CASES
1930,24,RHODE ISLAND,RI,US,STATE,1,CASES
1930,45,RHODE ISLAND,RI,US,STATE,1,CASES
1930,47,RHODE ISLAND,RI,US,STATE,1,CASES
1930,48,RHODE ISLAND,RI,US,STATE,3,CASES
1931,3,RHODE ISLAND,RI,US,STATE,1,CASES
1931,4,RHODE ISLAND,RI,US,STATE,21,CASES
1931,5,RHODE ISLAND,RI,US,STATE,21,CASES
1931,6,RHODE ISLAND,RI,US,STATE,21,CASES
1931,7,RHODE ISLAND,RI,US,STATE,6,CASES
1931,8,RHODE ISLAND,RI,US,STATE,1,CASES
1931,9,RHODE ISLAND,RI,US,STATE,3,CASES
1931,11,RHODE ISLAND,RI,US,STATE,6,CASES
1931,13,RHODE ISLAND,RI,US,STATE,4,CASES
1931,14,RHODE ISLAND,RI,US,STATE,1,CASES
1931,16,RHODE ISLAND,RI,US,STATE,1,CASES
1931,30,RHODE ISLAND,RI,US,STATE,1,CASES
1931,36,RHODE ISLAND,RI,US,STATE,1,CASES
1931,48,RHODE ISLAND,RI,US,STATE,2,CASES
1931,49,RHODE ISLAND,RI,US,STATE,3,CASES
1931,52,RHODE ISLAND,RI,US,STATE,7,CASES
1932,1,RHODE ISLAND,RI,US,STATE,4,CASES
1932,4,RHODE ISLAND,RI,US,STATE,1,CASES
1932,9,RHODE ISLAND,RI,US,STATE,2,CASES
1932,13,RHODE ISLAND,RI,US,STATE,1,CASES
1932,15,RHODE ISLAND,RI,US,STATE,3,CASES
1932,30,RHODE ISLAND,RI,US,STATE,2,CASES
1932,42,RHODE ISLAND,RI,US,STATE,1,CASES
1932,50,RHODE ISLAND,RI,US,STATE,1,CASES
1932,51,RHODE ISLAND,RI,US,STATE,2,CASES
1932,52,RHODE ISLAND,RI,US,STATE,48,CASES
1933,1,RHODE ISLAND,RI,US,STATE,74,CASES
1933,2,RHODE ISLAND,RI,US,STATE,79,CASES
1933,3,RHODE ISLAND,RI,US,STATE,53,CASES
1933,4,RHODE ISLAND,RI,US,STATE,71,CASES
1933,5,RHODE ISLAND,RI,US,STATE,19,CASES
1933,6,RHODE ISLAND,RI,US,STATE,11,CASES
1933,7,RHODE ISLAND,RI,US,STATE,4,CASES
1933,8,RHODE ISLAND,RI,US,STATE,2,CASES
1933,9,RHODE ISLAND,RI,US,STATE,8,CASES
1933,10,RHODE ISLAND,RI,US,STATE,5,CASES
1933,11,RHODE ISLAND,RI,US,STATE,2,CASES
1933,12,RHODE ISLAND,RI,US,STATE,1,CASES
1933,13,RHODE ISLAND,RI,US,STATE,2,CASES
1933,26,RHODE ISLAND,RI,US,STATE,1,CASES
1933,47,RHODE ISLAND,RI,US,STATE,1,CASES
1934,4,RHODE ISLAND,RI,US,STATE,1,CASES
1934,5,RHODE ISLAND,RI,US,STATE,1,CASES
1934,16,RHODE ISLAND,RI,US,STATE,2,CASES
1935,1,RHODE ISLAND,RI,US,STATE,1,CASES
1935,2,RHODE ISLAND,RI,US,STATE,5,CASES
1935,4,RHODE ISLAND,RI,US,STATE,3,CASES
1935,6,RHODE ISLAND,RI,US,STATE,5,CASES
1935,7,RHODE ISLAND,RI,US,STATE,2,CASES
1935,22,RHODE ISLAND,RI,US,STATE,3,CASES
1936,11,RHODE ISLAND,RI,US,STATE,4,CASES
1936,15,RHODE ISLAND,RI,US,STATE,3,CASES
1936,39,RHODE ISLAND,RI,US,STATE,13,CASES
1937,2,RHODE ISLAND,RI,US,STATE,22,CASES
1937,3,RHODE ISLAND,RI,US,STATE,4,CASES
1937,4,RHODE ISLAND,RI,US,STATE,9,CASES
1937,7,RHODE ISLAND,RI,US,STATE,14,CASES
1938,11,RHODE ISLAND,RI,US,STATE,5,CASES
1938,15,RHODE ISLAND,RI,US,STATE,1,CASES
1939,10,RHODE ISLAND,RI,US,STATE,1,CASES
1940,51,RHODE ISLAND,RI,US,STATE,1,CASES
1941,2,RHODE ISLAND,RI,US,STATE,31,CASES
1941,3,RHODE ISLAND,RI,US,STATE,16,CASES
1941,4,RHODE ISLAND,RI,US,STATE,29,CASES
1941,5,RHODE ISLAND,RI,US,STATE,23,CASES
1941,6,RHODE ISLAND,RI,US,STATE,10,CASES
1941,7,RHODE ISLAND,RI,US,STATE,1,CASES
1941,9,RHODE ISLAND,RI,US,STATE,2,CASES
1941,13,RHODE ISLAND,RI,US,STATE,2,CASES
1941,16,RHODE ISLAND,RI,US,STATE,1,CASES
1941,18,RHODE ISLAND,RI,US,STATE,2,CASES
1941,51,RHODE ISLAND,RI,US,STATE,1,CASES
1942,1,RHODE ISLAND,RI,US,STATE,1,CASES
1942,3,RHODE ISLAND,RI,US,STATE,1,CASES
1942,4,RHODE ISLAND,RI,US,STATE,23,CASES
1942,5,RHODE ISLAND,RI,US,STATE,1,CASES
1942,8,RHODE ISLAND,RI,US,STATE,1,CASES
1942,11,RHODE ISLAND,RI,US,STATE,1,CASES
1942,45,RHODE ISLAND,RI,US,STATE,1,CASES
1942,48,RHODE ISLAND,RI,US,STATE,1,CASES
1942,49,RHODE ISLAND,RI,US,STATE,1,CASES
1942,50,RHODE ISLAND,RI,US,STATE,1,CASES
1943,1,RHODE ISLAND,RI,US,STATE,25,CASES
1943,6,RHODE ISLAND,RI,US,STATE,2,CASES
1943,8,RHODE ISLAND,RI,US,STATE,1,CASES
1943,9,RHODE ISLAND,RI,US,STATE,1,CASES
1943,10,RHODE ISLAND,RI,US,STATE,17,CASES
1943,13,RHODE ISLAND,RI,US,STATE,1,CASES
1943,14,RHODE ISLAND,RI,US,STATE,1,CASES
1943,15,RHODE ISLAND,RI,US,STATE,1,CASES
1943,16,RHODE ISLAND,RI,US,STATE,1,CASES
1943,19,RHODE ISLAND,RI,US,STATE,1,CASES
1943,24,RHODE ISLAND,RI,US,STATE,1,CASES
1943,29,RHODE ISLAND,RI,US,STATE,1,CASES
1943,34,RHODE ISLAND,RI,US,STATE,1,CASES
1943,48,RHODE ISLAND,RI,US,STATE,1,CASES
1943,49,RHODE ISLAND,RI,US,STATE,1,CASES
1943,50,RHODE ISLAND,RI,US,STATE,35,CASES
1943,51,RHODE ISLAND,RI,US,STATE,35,CASES
1943,52,RHODE ISLAND,RI,US,STATE,60,CASES
1944,1,RHODE ISLAND,RI,US,STATE,77,CASES
1944,2,RHODE ISLAND,RI,US,STATE,13,CASES
1944,3,RHODE ISLAND,RI,US,STATE,31,CASES
1944,4,RHODE ISLAND,RI,US,STATE,24,CASES
1944,5,RHODE ISLAND,RI,US,STATE,25,CASES
1944,6,RHODE ISLAND,RI,US,STATE,28,CASES
1944,10,RHODE ISLAND,RI,US,STATE,21,CASES
1944,12,RHODE ISLAND,RI,US,STATE,18,CASES
1944,14,RHODE ISLAND,RI,US,STATE,17,CASES
1944,15,RHODE ISLAND,RI,US,STATE,26,CASES
1944,16,RHODE ISLAND,RI,US,STATE,44,CASES
1944,18,RHODE ISLAND,RI,US,STATE,23,CASES
1944,19,RHODE ISLAND,RI,US,STATE,18,CASES
1944,20,RHODE ISLAND,RI,US,STATE,10,CASES
1944,21,RHODE ISLAND,RI,US,STATE,9,CASES
1944,22,RHODE ISLAND,RI,US,STATE,13,CASES
1944,23,RHODE ISLAND,RI,US,STATE,16,CASES
1944,24,RHODE ISLAND,RI,US,STATE,14,CASES
1944,27,RHODE ISLAND,RI,US,STATE,6,CASES
1944,28,RHODE ISLAND,RI,US,STATE,7,CASES
1944,29,RHODE ISLAND,RI,US,STATE,13,CASES
1944,30,RHODE ISLAND,RI,US,STATE,8,CASES
1944,36,RHODE ISLAND,RI,US,STATE,7,CASES
1944,38,RHODE ISLAND,RI,US,STATE,2,CASES
1944,39,RHODE ISLAND,RI,US,STATE,6,CASES
1944,40,RHODE ISLAND,RI,US,STATE,6,CASES
1944,41,RHODE ISLAND,RI,US,STATE,9,CASES
1944,42,RHODE ISLAND,RI,US,STATE,12,CASES
1944,43,RHODE ISLAND,RI,US,STATE,12,CASES
1944,44,RHODE ISLAND,RI,US,STATE,19,CASES
1944,45,RHODE ISLAND,RI,US,STATE,31,CASES
1944,46,RHODE ISLAND,RI,US,STATE,14,CASES
1944,47,RHODE ISLAND,RI,US,STATE,23,CASES
1944,48,RHODE ISLAND,RI,US,STATE,27,CASES
1944,49,RHODE ISLAND,RI,US,STATE,25,CASES
1944,50,RHODE ISLAND,RI,US,STATE,22,CASES
1944,51,RHODE ISLAND,RI,US,STATE,19,CASES
1944,52,RHODE ISLAND,RI,US,STATE,21,CASES
1945,1,RHODE ISLAND,RI,US,STATE,55,CASES
1945,2,RHODE ISLAND,RI,US,STATE,76,CASES
1945,3,RHODE ISLAND,RI,US,STATE,31,CASES
1945,6,RHODE ISLAND,RI,US,STATE,75,CASES
1945,8,RHODE ISLAND,RI,US,STATE,40,CASES
1945,9,RHODE ISLAND,RI,US,STATE,44,CASES
1945,10,RHODE ISLAND,RI,US,STATE,59,CASES
1945,13,RHODE ISLAND,RI,US,STATE,49,CASES
1945,15,RHODE ISLAND,RI,US,STATE,43,CASES
1945,16,RHODE ISLAND,RI,US,STATE,39,CASES
1945,17,RHODE ISLAND,RI,US,STATE,33,CASES
1945,18,RHODE ISLAND,RI,US,STATE,27,CASES
1945,19,RHODE ISLAND,RI,US,STATE,21,CASES
1945,21,RHODE ISLAND,RI,US,STATE,26,CASES
1945,22,RHODE ISLAND,RI,US,STATE,4,CASES
1945,23,RHODE ISLAND,RI,US,STATE,19,CASES
1945,24,RHODE ISLAND,RI,US,STATE,26,CASES
1945,26,RHODE ISLAND,RI,US,STATE,25,CASES
1945,27,RHODE ISLAND,RI,US,STATE,22,CASES
1945,28,RHODE ISLAND,RI,US,STATE,25,CASES
1945,29,RHODE ISLAND,RI,US,STATE,13,CASES
1945,32,RHODE ISLAND,RI,US,STATE,25,CASES
1945,33,RHODE ISLAND,RI,US,STATE,1,CASES
1945,34,RHODE ISLAND,RI,US,STATE,30,CASES
1945,36,RHODE ISLAND,RI,US,STATE,23,CASES
1945,37,RHODE ISLAND,RI,US,STATE,11,CASES
1945,38,RHODE ISLAND,RI,US,STATE,15,CASES
1945,39,RHODE ISLAND,RI,US,STATE,14,CASES
1945,40,RHODE ISLAND,RI,US,STATE,8,CASES
1945,41,RHODE ISLAND,RI,US,STATE,20,CASES
1945,42,RHODE ISLAND,RI,US,STATE,9,CASES
1945,43,RHODE ISLAND,RI,US,STATE,9,CASES
1945,44,RHODE ISLAND,RI,US,STATE,9,CASES
1945,46,RHODE ISLAND,RI,US,STATE,4,CASES
1945,47,RHODE ISLAND,RI,US,STATE,23,CASES
1945,48,RHODE ISLAND,RI,US,STATE,27,CASES
1945,50,RHODE ISLAND,RI,US,STATE,8,CASES
1945,51,RHODE ISLAND,RI,US,STATE,7,CASES
1945,52,RHODE ISLAND,RI,US,STATE,8,CASES
1946,2,RHODE ISLAND,RI,US,STATE,9,CASES
1946,3,RHODE ISLAND,RI,US,STATE,2,CASES
1946,4,RHODE ISLAND,RI,US,STATE,2,CASES
1946,8,RHODE ISLAND,RI,US,STATE,1,CASES
1946,9,RHODE ISLAND,RI,US,STATE,2,CASES
1946,10,RHODE ISLAND,RI,US,STATE,1,CASES
1946,11,RHODE ISLAND,RI,US,STATE,1,CASES
1946,12,RHODE ISLAND,RI,US,STATE,1,CASES
1946,13,RHODE ISLAND,RI,US,STATE,1,CASES
1946,14,RHODE ISLAND,RI,US,STATE,2,CASES
1946,15,RHODE ISLAND,RI,US,STATE,1,CASES
1946,21,RHODE ISLAND,RI,US,STATE,26,CASES
1946,25,RHODE ISLAND,RI,US,STATE,1,CASES
1946,35,RHODE ISLAND,RI,US,STATE,1,CASES
1946,36,RHODE ISLAND,RI,US,STATE,1,CASES
1946,44,RHODE ISLAND,RI,US,STATE,1,CASES
1946,46,RHODE ISLAND,RI,US,STATE,1,CASES
1946,48,RHODE ISLAND,RI,US,STATE,1,CASES
1946,49,RHODE ISLAND,RI,US,STATE,2,CASES
1946,51,RHODE ISLAND,RI,US,STATE,1,CASES
1947,2,RHODE ISLAND,RI,US,STATE,1,CASES
1947,6,RHODE ISLAND,RI,US,STATE,1,CASES
1947,8,RHODE ISLAND,RI,US,STATE,1,CASES
1947,12,RHODE ISLAND,RI,US,STATE,1,CASES
1947,14,RHODE ISLAND,RI,US,STATE,1,CASES
1947,16,RHODE ISLAND,RI,US,STATE,3,CASES
1947,17,RHODE ISLAND,RI,US,STATE,1,CASES
1947,25,RHODE ISLAND,RI,US,STATE,1,CASES
1947,35,RHODE ISLAND,RI,US,STATE,1,CASES
1947,39,RHODE ISLAND,RI,US,STATE,2,CASES
1947,43,RHODE ISLAND,RI,US,STATE,2,CASES
1947,46,RHODE ISLAND,RI,US,STATE,1,CASES
1948,6,RHODE ISLAND,RI,US,STATE,1,CASES
1948,8,RHODE ISLAND,RI,US,STATE,1,CASES
1948,10,RHODE ISLAND,RI,US,STATE,1,CASES
1948,12,RHODE ISLAND,RI,US,STATE,1,CASES
1948,14,RHODE ISLAND,RI,US,STATE,2,CASES
1948,17,RHODE ISLAND,RI,US,STATE,2,CASES
1949,51,RHODE ISLAND,RI,US,STATE,1,CASES
1949,52,RHODE ISLAND,RI,US,STATE,1,CASES
1950,2,RHODE ISLAND,RI,US,STATE,1,CASES
1950,3,RHODE ISLAND,RI,US,STATE,1,CASES
1950,11,RHODE ISLAND,RI,US,STATE,4,CASES
1950,12,RHODE ISLAND,RI,US,STATE,5,CASES
1950,13,RHODE ISLAND,RI,US,STATE,1,CASES
1950,14,RHODE ISLAND,RI,US,STATE,2,CASES
1950,15,RHODE ISLAND,RI,US,STATE,2,CASES
1950,16,RHODE ISLAND,RI,US,STATE,1,CASES
1950,17,RHODE ISLAND,RI,US,STATE,1,CASES
1950,18,RHODE ISLAND,RI,US,STATE,1,CASES
1950,22,RHODE ISLAND,RI,US,STATE,1,CASES
1950,30,RHODE ISLAND,RI,US,STATE,1,CASES
1950,35,RHODE ISLAND,RI,US,STATE,1,CASES
1950,36,RHODE ISLAND,RI,US,STATE,1,CASES
1950,40,RHODE ISLAND,RI,US,STATE,1,CASES
1950,52,RHODE ISLAND,RI,US,STATE,1,CASES
1951,2,RHODE ISLAND,RI,US,STATE,1,CASES
1951,5,RHODE ISLAND,RI,US,STATE,1,CASES
1951,6,RHODE ISLAND,RI,US,STATE,1,CASES
1951,7,RHODE ISLAND,RI,US,STATE,2,CASES
1951,8,RHODE ISLAND,RI,US,STATE,2,CASES
1951,9,RHODE ISLAND,RI,US,STATE,29,CASES
1951,10,RHODE ISLAND,RI,US,STATE,50,CASES
1951,11,RHODE ISLAND,RI,US,STATE,10,CASES
1951,12,RHODE ISLAND,RI,US,STATE,6,CASES
1951,13,RHODE ISLAND,RI,US,STATE,1,CASES
1951,14,RHODE ISLAND,RI,US,STATE,1,CASES
1951,15,RHODE ISLAND,RI,US,STATE,2,CASES
1951,16,RHODE ISLAND,RI,US,STATE,1,CASES
1951,20,RHODE ISLAND,RI,US,STATE,1,CASES
1951,35,RHODE ISLAND,RI,US,STATE,1,CASES
