year,week,loc,state,country,loc_type,number,event
1927,47,RHODE ISLAND,RI,US,STATE,17,CASES
1927,48,RHODE ISLAND,RI,US,STATE,25,CASES
1927,49,RHODE ISLAND,RI,US,STATE,35,CASES
1927,51,RHODE ISLAND,RI,US,STATE,38,CASES
1927,52,RHODE ISLAND,RI,US,STATE,33,CASES
1928,1,RHODE ISLAND,RI,US,STATE,42,CASES
1928,2,RHODE ISLAND,RI,US,STATE,38,CASES
1928,3,RHODE ISLAND,RI,US,STATE,49,CASES
1928,4,RHODE ISLAND,RI,US,STATE,45,CASES
1928,5,RHODE ISLAND,RI,US,STATE,40,CASES
1928,6,RHODE ISLAND,RI,US,STATE,44,CASES
1928,7,RHODE ISLAND,RI,US,STATE,59,CASES
1928,8,RHODE ISLAND,RI,US,STATE,33,CASES
1928,9,RHODE ISLAND,RI,US,STATE,36,CASES
1928,10,RHODE ISLAND,RI,US,STATE,38,CASES
1928,11,RHODE ISLAND,RI,US,STATE,46,CASES
1928,12,RHODE ISLAND,RI,US,STATE,46,CASES
1928,13,RHODE ISLAND,RI,US,STATE,60,CASES
1928,14,RHODE ISLAND,RI,US,STATE,33,CASES
1928,15,RHODE ISLAND,RI,US,STATE,28,CASES
1928,16,RHODE ISLAND,RI,US,STATE,42,CASES
1928,17,RHODE ISLAND,RI,US,STATE,38,CASES
1928,18,RHODE ISLAND,RI,US,STATE,33,CASES
1928,19,RHODE ISLAND,RI,US,STATE,27,CASES
1928,20,RHODE ISLAND,RI,US,STATE,28,CASES
1928,21,RHODE ISLAND,RI,US,STATE,27,CASES
1928,22,RHODE ISLAND,RI,US,STATE,24,CASES
1928,23,RHODE ISLAND,RI,US,STATE,24,CASES
1928,24,RHODE ISLAND,RI,US,STATE,12,CASES
1928,25,RHODE ISLAND,RI,US,STATE,9,CASES
1928,26,RHODE ISLAND,RI,US,STATE,20,CASES
1928,27,RHODE ISLAND,RI,US,STATE,12,CASES
1928,28,RHODE ISLAND,RI,US,STATE,6,CASES
1928,29,RHODE ISLAND,RI,US,STATE,5,CASES
1928,30,RHODE ISLAND,RI,US,STATE,5,CASES
1928,31,RHODE ISLAND,RI,US,STATE,4,CASES
1928,32,RHODE ISLAND,RI,US,STATE,9,CASES
1928,33,RHODE ISLAND,RI,US,STATE,2,CASES
1928,34,RHODE ISLAND,RI,US,STATE,6,CASES
1928,35,RHODE ISLAND,RI,US,STATE,4,CASES
1928,36,RHODE ISLAND,RI,US,STATE,6,CASES
1928,37,RHODE ISLAND,RI,US,STATE,8,CASES
1928,38,RHODE ISLAND,RI,US,STATE,6,CASES
1928,39,RHODE ISLAND,RI,US,STATE,3,CASES
1928,40,RHODE ISLAND,RI,US,STATE,5,CASES
1928,41,RHODE ISLAND,RI,US,STATE,11,CASES
1928,42,RHODE ISLAND,RI,US,STATE,11,CASES
1928,43,RHODE ISLAND,RI,US,STATE,8,CASES
1928,45,RHODE ISLAND,RI,US,STATE,14,CASES
1928,46,RHODE ISLAND,RI,US,STATE,17,CASES
1928,47,RHODE ISLAND,RI,US,STATE,17,CASES
1928,48,RHODE ISLAND,RI,US,STATE,17,CASES
1928,49,RHODE ISLAND,RI,US,STATE,19,CASES
1928,50,RHODE ISLAND,RI,US,STATE,16,CASES
1928,51,RHODE ISLAND,RI,US,STATE,24,CASES
1928,52,RHODE ISLAND,RI,US,STATE,20,CASES
1929,1,RHODE ISLAND,RI,US,STATE,20,CASES
1929,2,RHODE ISLAND,RI,US,STATE,19,CASES
1929,3,RHODE ISLAND,RI,US,STATE,27,CASES
1929,4,RHODE ISLAND,RI,US,STATE,30,CASES
1929,5,RHODE ISLAND,RI,US,STATE,26,CASES
1929,6,RHODE ISLAND,RI,US,STATE,21,CASES
1929,7,RHODE ISLAND,RI,US,STATE,35,CASES
1929,8,RHODE ISLAND,RI,US,STATE,18,CASES
1929,9,RHODE ISLAND,RI,US,STATE,19,CASES
1929,10,RHODE ISLAND,RI,US,STATE,19,CASES
1929,11,RHODE ISLAND,RI,US,STATE,23,CASES
1929,12,RHODE ISLAND,RI,US,STATE,23,CASES
1929,13,RHODE ISLAND,RI,US,STATE,31,CASES
1929,14,RHODE ISLAND,RI,US,STATE,20,CASES
1929,15,RHODE ISLAND,RI,US,STATE,22,CASES
1929,16,RHODE ISLAND,RI,US,STATE,8,CASES
1929,17,RHODE ISLAND,RI,US,STATE,14,CASES
1929,18,RHODE ISLAND,RI,US,STATE,21,CASES
1929,19,RHODE ISLAND,RI,US,STATE,15,CASES
1929,20,RHODE ISLAND,RI,US,STATE,18,CASES
1929,21,RHODE ISLAND,RI,US,STATE,7,CASES
1929,22,RHODE ISLAND,RI,US,STATE,15,CASES
1929,23,RHODE ISLAND,RI,US,STATE,9,CASES
1929,24,RHODE ISLAND,RI,US,STATE,4,CASES
1929,25,RHODE ISLAND,RI,US,STATE,3,CASES
1929,26,RHODE ISLAND,RI,US,STATE,4,CASES
1929,27,RHODE ISLAND,RI,US,STATE,6,CASES
1929,28,RHODE ISLAND,RI,US,STATE,3,CASES
1929,29,RHODE ISLAND,RI,US,STATE,2,CASES
1929,30,RHODE ISLAND,RI,US,STATE,4,CASES
1929,31,RHODE ISLAND,RI,US,STATE,1,CASES
1929,32,RHODE ISLAND,RI,US,STATE,6,CASES
1929,33,RHODE ISLAND,RI,US,STATE,5,CASES
1929,34,RHODE ISLAND,RI,US,STATE,1,CASES
1929,35,RHODE ISLAND,RI,US,STATE,2,CASES
1929,36,RHODE ISLAND,RI,US,STATE,1,CASES
1929,37,RHODE ISLAND,RI,US,STATE,1,CASES
1929,38,RHODE ISLAND,RI,US,STATE,4,CASES
1929,39,RHODE ISLAND,RI,US,STATE,2,CASES
1929,40,RHODE ISLAND,RI,US,STATE,5,CASES
1929,41,RHODE ISLAND,RI,US,STATE,6,CASES
1929,42,RHODE ISLAND,RI,US,STATE,6,CASES
1929,43,RHODE ISLAND,RI,US,STATE,16,CASES
1929,44,RHODE ISLAND,RI,US,STATE,12,CASES
1929,45,RHODE ISLAND,RI,US,STATE,16,CASES
1929,46,RHODE ISLAND,RI,US,STATE,16,CASES
1929,47,RHODE ISLAND,RI,US,STATE,21,CASES
1929,48,RHODE ISLAND,RI,US,STATE,17,CASES
1929,49,RHODE ISLAND,RI,US,STATE,16,CASES
1929,50,RHODE ISLAND,RI,US,STATE,14,CASES
1929,51,RHODE ISLAND,RI,US,STATE,16,CASES
1929,52,RHODE ISLAND,RI,US,STATE,23,CASES
1930,1,RHODE ISLAND,RI,US,STATE,28,CASES
1930,2,RHODE ISLAND,RI,US,STATE,35,CASES
1930,3,RHODE ISLAND,RI,US,STATE,23,CASES
1930,4,RHODE ISLAND,RI,US,STATE,25,CASES
1930,5,RHODE ISLAND,RI,US,STATE,25,CASES
1930,6,RHODE ISLAND,RI,US,STATE,38,CASES
1930,7,RHODE ISLAND,RI,US,STATE,31,CASES
1930,8,RHODE ISLAND,RI,US,STATE,39,CASES
1930,9,RHODE ISLAND,RI,US,STATE,20,CASES
1930,10,RHODE ISLAND,RI,US,STATE,26,CASES
1930,11,RHODE ISLAND,RI,US,STATE,32,CASES
1930,12,RHODE ISLAND,RI,US,STATE,20,CASES
1930,13,RHODE ISLAND,RI,US,STATE,23,CASES
1930,14,RHODE ISLAND,RI,US,STATE,17,CASES
1930,15,RHODE ISLAND,RI,US,STATE,25,CASES
1930,16,RHODE ISLAND,RI,US,STATE,35,CASES
1930,17,RHODE ISLAND,RI,US,STATE,30,CASES
1930,18,RHODE ISLAND,RI,US,STATE,27,CASES
1930,19,RHODE ISLAND,RI,US,STATE,22,CASES
1930,20,RHODE ISLAND,RI,US,STATE,20,CASES
1930,21,RHODE ISLAND,RI,US,STATE,15,CASES
1930,22,RHODE ISLAND,RI,US,STATE,23,CASES
1930,23,RHODE ISLAND,RI,US,STATE,19,CASES
1930,24,RHODE ISLAND,RI,US,STATE,11,CASES
1930,25,RHODE ISLAND,RI,US,STATE,5,CASES
1930,26,RHODE ISLAND,RI,US,STATE,6,CASES
1930,27,RHODE ISLAND,RI,US,STATE,4,CASES
1930,28,RHODE ISLAND,RI,US,STATE,6,CASES
1930,29,RHODE ISLAND,RI,US,STATE,3,CASES
1930,30,RHODE ISLAND,RI,US,STATE,6,CASES
1930,31,RHODE ISLAND,RI,US,STATE,4,CASES
1930,32,RHODE ISLAND,RI,US,STATE,3,CASES
1930,33,RHODE ISLAND,RI,US,STATE,3,CASES
1930,34,RHODE ISLAND,RI,US,STATE,2,CASES
1930,35,RHODE ISLAND,RI,US,STATE,4,CASES
1930,36,RHODE ISLAND,RI,US,STATE,4,CASES
1930,37,RHODE ISLAND,RI,US,STATE,4,CASES
1930,38,RHODE ISLAND,RI,US,STATE,4,CASES
1930,39,RHODE ISLAND,RI,US,STATE,3,CASES
1930,40,RHODE ISLAND,RI,US,STATE,4,CASES
1930,41,RHODE ISLAND,RI,US,STATE,5,CASES
1930,42,RHODE ISLAND,RI,US,STATE,9,CASES
1930,43,RHODE ISLAND,RI,US,STATE,11,CASES
1930,44,RHODE ISLAND,RI,US,STATE,7,CASES
1930,45,RHODE ISLAND,RI,US,STATE,15,CASES
1930,46,RHODE ISLAND,RI,US,STATE,18,CASES
1930,47,RHODE ISLAND,RI,US,STATE,6,CASES
1930,48,RHODE ISLAND,RI,US,STATE,14,CASES
1930,49,RHODE ISLAND,RI,US,STATE,18,CASES
1930,50,RHODE ISLAND,RI,US,STATE,33,CASES
1930,51,RHODE ISLAND,RI,US,STATE,22,CASES
1930,52,RHODE ISLAND,RI,US,STATE,31,CASES
1930,53,RHODE ISLAND,RI,US,STATE,22,CASES
1931,1,RHODE ISLAND,RI,US,STATE,31,CASES
1931,2,RHODE ISLAND,RI,US,STATE,30,CASES
1931,3,RHODE ISLAND,RI,US,STATE,65,CASES
1931,4,RHODE ISLAND,RI,US,STATE,29,CASES
1931,5,RHODE ISLAND,RI,US,STATE,39,CASES
1931,6,RHODE ISLAND,RI,US,STATE,31,CASES
1931,7,RHODE ISLAND,RI,US,STATE,24,CASES
1931,8,RHODE ISLAND,RI,US,STATE,58,CASES
1931,9,RHODE ISLAND,RI,US,STATE,55,CASES
1931,10,RHODE ISLAND,RI,US,STATE,67,CASES
1931,11,RHODE ISLAND,RI,US,STATE,49,CASES
1931,12,RHODE ISLAND,RI,US,STATE,67,CASES
1931,13,RHODE ISLAND,RI,US,STATE,58,CASES
1931,14,RHODE ISLAND,RI,US,STATE,56,CASES
1931,15,RHODE ISLAND,RI,US,STATE,57,CASES
1931,16,RHODE ISLAND,RI,US,STATE,77,CASES
1931,17,RHODE ISLAND,RI,US,STATE,56,CASES
1931,18,RHODE ISLAND,RI,US,STATE,70,CASES
1931,19,RHODE ISLAND,RI,US,STATE,69,CASES
1931,20,RHODE ISLAND,RI,US,STATE,40,CASES
1931,21,RHODE ISLAND,RI,US,STATE,36,CASES
1931,22,RHODE ISLAND,RI,US,STATE,34,CASES
1931,23,RHODE ISLAND,RI,US,STATE,31,CASES
1931,24,RHODE ISLAND,RI,US,STATE,27,CASES
1931,25,RHODE ISLAND,RI,US,STATE,25,CASES
1931,26,RHODE ISLAND,RI,US,STATE,16,CASES
1931,27,RHODE ISLAND,RI,US,STATE,10,CASES
1931,28,RHODE ISLAND,RI,US,STATE,2,CASES
1931,29,RHODE ISLAND,RI,US,STATE,6,CASES
1931,30,RHODE ISLAND,RI,US,STATE,5,CASES
1931,31,RHODE ISLAND,RI,US,STATE,5,CASES
1931,32,RHODE ISLAND,RI,US,STATE,3,CASES
1931,33,RHODE ISLAND,RI,US,STATE,9,CASES
1931,34,RHODE ISLAND,RI,US,STATE,6,CASES
1931,35,RHODE ISLAND,RI,US,STATE,11,CASES
1931,36,RHODE ISLAND,RI,US,STATE,12,CASES
1931,37,RHODE ISLAND,RI,US,STATE,10,CASES
1931,38,RHODE ISLAND,RI,US,STATE,9,CASES
1931,39,RHODE ISLAND,RI,US,STATE,5,CASES
1931,40,RHODE ISLAND,RI,US,STATE,7,CASES
1931,41,RHODE ISLAND,RI,US,STATE,17,CASES
1931,42,RHODE ISLAND,RI,US,STATE,11,CASES
1931,43,RHODE ISLAND,RI,US,STATE,14,CASES
1931,44,RHODE ISLAND,RI,US,STATE,16,CASES
1931,45,RHODE ISLAND,RI,US,STATE,14,CASES
1931,46,RHODE ISLAND,RI,US,STATE,19,CASES
1931,47,RHODE ISLAND,RI,US,STATE,21,CASES
1931,48,RHODE ISLAND,RI,US,STATE,17,CASES
1931,49,RHODE ISLAND,RI,US,STATE,18,CASES
1931,50,RHODE ISLAND,RI,US,STATE,26,CASES
1931,51,RHODE ISLAND,RI,US,STATE,25,CASES
1931,52,RHODE ISLAND,RI,US,STATE,50,CASES
1932,1,RHODE ISLAND,RI,US,STATE,35,CASES
1932,2,RHODE ISLAND,RI,US,STATE,42,CASES
1932,3,RHODE ISLAND,RI,US,STATE,36,CASES
1932,4,RHODE ISLAND,RI,US,STATE,45,CASES
1932,5,RHODE ISLAND,RI,US,STATE,37,CASES
1932,6,RHODE ISLAND,RI,US,STATE,53,CASES
1932,7,RHODE ISLAND,RI,US,STATE,49,CASES
1932,8,RHODE ISLAND,RI,US,STATE,57,CASES
1932,9,RHODE ISLAND,RI,US,STATE,57,CASES
1932,10,RHODE ISLAND,RI,US,STATE,53,CASES
1932,11,RHODE ISLAND,RI,US,STATE,50,CASES
1932,12,RHODE ISLAND,RI,US,STATE,78,CASES
1932,13,RHODE ISLAND,RI,US,STATE,52,CASES
1932,14,RHODE ISLAND,RI,US,STATE,71,CASES
1932,15,RHODE ISLAND,RI,US,STATE,68,CASES
1932,16,RHODE ISLAND,RI,US,STATE,63,CASES
1932,17,RHODE ISLAND,RI,US,STATE,58,CASES
1932,18,RHODE ISLAND,RI,US,STATE,52,CASES
1932,19,RHODE ISLAND,RI,US,STATE,47,CASES
1932,20,RHODE ISLAND,RI,US,STATE,63,CASES
1932,21,RHODE ISLAND,RI,US,STATE,45,CASES
1932,22,RHODE ISLAND,RI,US,STATE,45,CASES
1932,23,RHODE ISLAND,RI,US,STATE,53,CASES
1932,24,RHODE ISLAND,RI,US,STATE,40,CASES
1932,25,RHODE ISLAND,RI,US,STATE,19,CASES
1932,26,RHODE ISLAND,RI,US,STATE,21,CASES
1932,27,RHODE ISLAND,RI,US,STATE,11,CASES
1932,28,RHODE ISLAND,RI,US,STATE,21,CASES
1932,29,RHODE ISLAND,RI,US,STATE,11,CASES
1932,30,RHODE ISLAND,RI,US,STATE,9,CASES
1932,31,RHODE ISLAND,RI,US,STATE,6,CASES
1932,32,RHODE ISLAND,RI,US,STATE,5,CASES
1932,33,RHODE ISLAND,RI,US,STATE,4,CASES
1932,34,RHODE ISLAND,RI,US,STATE,9,CASES
1932,35,RHODE ISLAND,RI,US,STATE,3,CASES
1932,36,RHODE ISLAND,RI,US,STATE,6,CASES
1932,37,RHODE ISLAND,RI,US,STATE,6,CASES
1932,38,RHODE ISLAND,RI,US,STATE,12,CASES
1932,39,RHODE ISLAND,RI,US,STATE,14,CASES
1932,40,RHODE ISLAND,RI,US,STATE,31,CASES
1932,41,RHODE ISLAND,RI,US,STATE,9,CASES
1932,42,RHODE ISLAND,RI,US,STATE,30,CASES
1932,43,RHODE ISLAND,RI,US,STATE,20,CASES
1932,44,RHODE ISLAND,RI,US,STATE,29,CASES
1932,45,RHODE ISLAND,RI,US,STATE,20,CASES
1932,46,RHODE ISLAND,RI,US,STATE,24,CASES
1932,47,RHODE ISLAND,RI,US,STATE,25,CASES
1932,48,RHODE ISLAND,RI,US,STATE,33,CASES
1932,49,RHODE ISLAND,RI,US,STATE,43,CASES
1932,50,RHODE ISLAND,RI,US,STATE,34,CASES
1932,51,RHODE ISLAND,RI,US,STATE,11,CASES
1932,52,RHODE ISLAND,RI,US,STATE,36,CASES
1933,1,RHODE ISLAND,RI,US,STATE,37,CASES
1933,2,RHODE ISLAND,RI,US,STATE,41,CASES
1933,3,RHODE ISLAND,RI,US,STATE,40,CASES
1933,4,RHODE ISLAND,RI,US,STATE,34,CASES
1933,5,RHODE ISLAND,RI,US,STATE,31,CASES
1933,6,RHODE ISLAND,RI,US,STATE,32,CASES
1933,7,RHODE ISLAND,RI,US,STATE,40,CASES
1933,8,RHODE ISLAND,RI,US,STATE,36,CASES
1933,9,RHODE ISLAND,RI,US,STATE,30,CASES
1933,10,RHODE ISLAND,RI,US,STATE,25,CASES
1933,11,RHODE ISLAND,RI,US,STATE,46,CASES
1933,12,RHODE ISLAND,RI,US,STATE,31,CASES
1933,13,RHODE ISLAND,RI,US,STATE,37,CASES
1933,14,RHODE ISLAND,RI,US,STATE,27,CASES
1933,15,RHODE ISLAND,RI,US,STATE,28,CASES
1933,16,RHODE ISLAND,RI,US,STATE,32,CASES
1933,17,RHODE ISLAND,RI,US,STATE,24,CASES
1933,18,RHODE ISLAND,RI,US,STATE,33,CASES
1933,19,RHODE ISLAND,RI,US,STATE,24,CASES
1933,20,RHODE ISLAND,RI,US,STATE,28,CASES
1933,21,RHODE ISLAND,RI,US,STATE,18,CASES
1933,22,RHODE ISLAND,RI,US,STATE,28,CASES
1933,23,RHODE ISLAND,RI,US,STATE,24,CASES
1933,24,RHODE ISLAND,RI,US,STATE,20,CASES
1933,25,RHODE ISLAND,RI,US,STATE,13,CASES
1933,26,RHODE ISLAND,RI,US,STATE,13,CASES
1933,27,RHODE ISLAND,RI,US,STATE,10,CASES
1933,28,RHODE ISLAND,RI,US,STATE,3,CASES
1933,29,RHODE ISLAND,RI,US,STATE,4,CASES
1933,30,RHODE ISLAND,RI,US,STATE,6,CASES
1933,31,RHODE ISLAND,RI,US,STATE,12,CASES
1933,32,RHODE ISLAND,RI,US,STATE,4,CASES
1933,33,RHODE ISLAND,RI,US,STATE,3,CASES
1933,34,RHODE ISLAND,RI,US,STATE,8,CASES
1933,35,RHODE ISLAND,RI,US,STATE,6,CASES
1933,36,RHODE ISLAND,RI,US,STATE,3,CASES
1933,37,RHODE ISLAND,RI,US,STATE,12,CASES
1933,38,RHODE ISLAND,RI,US,STATE,15,CASES
1933,39,RHODE ISLAND,RI,US,STATE,15,CASES
1933,40,RHODE ISLAND,RI,US,STATE,9,CASES
1933,41,RHODE ISLAND,RI,US,STATE,11,CASES
1933,42,RHODE ISLAND,RI,US,STATE,10,CASES
1933,43,RHODE ISLAND,RI,US,STATE,7,CASES
1933,44,RHODE ISLAND,RI,US,STATE,10,CASES
1933,45,RHODE ISLAND,RI,US,STATE,12,CASES
1933,46,RHODE ISLAND,RI,US,STATE,12,CASES
1933,47,RHODE ISLAND,RI,US,STATE,12,CASES
1933,48,RHODE ISLAND,RI,US,STATE,18,CASES
1933,49,RHODE ISLAND,RI,US,STATE,18,CASES
1933,50,RHODE ISLAND,RI,US,STATE,17,CASES
1933,51,RHODE ISLAND,RI,US,STATE,4,CASES
1933,52,RHODE ISLAND,RI,US,STATE,10,CASES
1934,1,RHODE ISLAND,RI,US,STATE,10,CASES
1934,2,RHODE ISLAND,RI,US,STATE,23,CASES
1934,3,RHODE ISLAND,RI,US,STATE,28,CASES
1934,4,RHODE ISLAND,RI,US,STATE,17,CASES
1934,5,RHODE ISLAND,RI,US,STATE,15,CASES
1934,6,RHODE ISLAND,RI,US,STATE,17,CASES
1934,7,RHODE ISLAND,RI,US,STATE,12,CASES
1934,8,RHODE ISLAND,RI,US,STATE,11,CASES
1934,9,RHODE ISLAND,RI,US,STATE,15,CASES
1934,10,RHODE ISLAND,RI,US,STATE,23,CASES
1934,11,RHODE ISLAND,RI,US,STATE,14,CASES
1934,12,RHODE ISLAND,RI,US,STATE,16,CASES
1934,13,RHODE ISLAND,RI,US,STATE,14,CASES
1934,14,RHODE ISLAND,RI,US,STATE,2,CASES
1934,15,RHODE ISLAND,RI,US,STATE,12,CASES
1934,16,RHODE ISLAND,RI,US,STATE,22,CASES
1934,17,RHODE ISLAND,RI,US,STATE,26,CASES
1934,18,RHODE ISLAND,RI,US,STATE,20,CASES
1934,19,RHODE ISLAND,RI,US,STATE,14,CASES
1934,20,RHODE ISLAND,RI,US,STATE,18,CASES
1934,21,RHODE ISLAND,RI,US,STATE,20,CASES
1934,22,RHODE ISLAND,RI,US,STATE,21,CASES
1934,23,RHODE ISLAND,RI,US,STATE,8,CASES
1934,24,RHODE ISLAND,RI,US,STATE,10,CASES
1934,25,RHODE ISLAND,RI,US,STATE,12,CASES
1934,26,RHODE ISLAND,RI,US,STATE,6,CASES
1934,27,RHODE ISLAND,RI,US,STATE,4,CASES
1934,28,RHODE ISLAND,RI,US,STATE,2,CASES
1934,29,RHODE ISLAND,RI,US,STATE,3,CASES
1934,31,RHODE ISLAND,RI,US,STATE,1,CASES
1934,32,RHODE ISLAND,RI,US,STATE,5,CASES
1934,33,RHODE ISLAND,RI,US,STATE,1,CASES
1934,34,RHODE ISLAND,RI,US,STATE,6,CASES
1934,35,RHODE ISLAND,RI,US,STATE,8,CASES
1934,36,RHODE ISLAND,RI,US,STATE,2,CASES
1934,37,RHODE ISLAND,RI,US,STATE,7,CASES
1934,38,RHODE ISLAND,RI,US,STATE,5,CASES
1934,39,RHODE ISLAND,RI,US,STATE,4,CASES
1934,40,RHODE ISLAND,RI,US,STATE,12,CASES
1934,41,RHODE ISLAND,RI,US,STATE,4,CASES
1934,42,RHODE ISLAND,RI,US,STATE,14,CASES
1934,43,RHODE ISLAND,RI,US,STATE,8,CASES
1934,44,RHODE ISLAND,RI,US,STATE,7,CASES
1934,45,RHODE ISLAND,RI,US,STATE,7,CASES
1934,46,RHODE ISLAND,RI,US,STATE,10,CASES
1934,47,RHODE ISLAND,RI,US,STATE,17,CASES
1934,48,RHODE ISLAND,RI,US,STATE,20,CASES
1934,49,RHODE ISLAND,RI,US,STATE,12,CASES
1934,50,RHODE ISLAND,RI,US,STATE,13,CASES
1934,51,RHODE ISLAND,RI,US,STATE,8,CASES
1934,52,RHODE ISLAND,RI,US,STATE,12,CASES
1935,1,RHODE ISLAND,RI,US,STATE,10,CASES
1935,2,RHODE ISLAND,RI,US,STATE,14,CASES
1935,3,RHODE ISLAND,RI,US,STATE,16,CASES
1935,4,RHODE ISLAND,RI,US,STATE,13,CASES
1935,5,RHODE ISLAND,RI,US,STATE,15,CASES
1935,6,RHODE ISLAND,RI,US,STATE,12,CASES
1935,7,RHODE ISLAND,RI,US,STATE,15,CASES
1935,8,RHODE ISLAND,RI,US,STATE,17,CASES
1935,9,RHODE ISLAND,RI,US,STATE,12,CASES
1935,10,RHODE ISLAND,RI,US,STATE,15,CASES
1935,11,RHODE ISLAND,RI,US,STATE,22,CASES
1935,12,RHODE ISLAND,RI,US,STATE,6,CASES
1935,13,RHODE ISLAND,RI,US,STATE,14,CASES
1935,14,RHODE ISLAND,RI,US,STATE,6,CASES
1935,15,RHODE ISLAND,RI,US,STATE,13,CASES
1935,16,RHODE ISLAND,RI,US,STATE,7,CASES
1935,17,RHODE ISLAND,RI,US,STATE,13,CASES
1935,18,RHODE ISLAND,RI,US,STATE,9,CASES
1935,19,RHODE ISLAND,RI,US,STATE,10,CASES
1935,20,RHODE ISLAND,RI,US,STATE,19,CASES
1935,21,RHODE ISLAND,RI,US,STATE,9,CASES
1935,22,RHODE ISLAND,RI,US,STATE,15,CASES
1935,23,RHODE ISLAND,RI,US,STATE,8,CASES
1935,24,RHODE ISLAND,RI,US,STATE,5,CASES
1935,25,RHODE ISLAND,RI,US,STATE,14,CASES
1935,26,RHODE ISLAND,RI,US,STATE,10,CASES
1935,27,RHODE ISLAND,RI,US,STATE,1,CASES
1935,28,RHODE ISLAND,RI,US,STATE,6,CASES
1935,29,RHODE ISLAND,RI,US,STATE,7,CASES
1935,30,RHODE ISLAND,RI,US,STATE,2,CASES
1935,31,RHODE ISLAND,RI,US,STATE,3,CASES
1935,32,RHODE ISLAND,RI,US,STATE,1,CASES
1935,33,RHODE ISLAND,RI,US,STATE,5,CASES
1935,34,RHODE ISLAND,RI,US,STATE,2,CASES
1935,35,RHODE ISLAND,RI,US,STATE,1,CASES
1935,36,RHODE ISLAND,RI,US,STATE,3,CASES
1935,37,RHODE ISLAND,RI,US,STATE,3,CASES
1935,38,RHODE ISLAND,RI,US,STATE,12,CASES
1935,39,RHODE ISLAND,RI,US,STATE,10,CASES
1935,40,RHODE ISLAND,RI,US,STATE,4,CASES
1935,41,RHODE ISLAND,RI,US,STATE,9,CASES
1935,42,RHODE ISLAND,RI,US,STATE,5,CASES
1935,43,RHODE ISLAND,RI,US,STATE,12,CASES
1935,44,RHODE ISLAND,RI,US,STATE,15,CASES
1935,45,RHODE ISLAND,RI,US,STATE,7,CASES
1935,46,RHODE ISLAND,RI,US,STATE,12,CASES
1935,47,RHODE ISLAND,RI,US,STATE,9,CASES
1935,48,RHODE ISLAND,RI,US,STATE,18,CASES
1935,49,RHODE ISLAND,RI,US,STATE,20,CASES
1935,50,RHODE ISLAND,RI,US,STATE,22,CASES
1935,51,RHODE ISLAND,RI,US,STATE,31,CASES
1935,52,RHODE ISLAND,RI,US,STATE,23,CASES
1936,1,RHODE ISLAND,RI,US,STATE,25,CASES
1936,2,RHODE ISLAND,RI,US,STATE,26,CASES
1936,3,RHODE ISLAND,RI,US,STATE,25,CASES
1936,4,RHODE ISLAND,RI,US,STATE,18,CASES
1936,5,RHODE ISLAND,RI,US,STATE,13,CASES
1936,6,RHODE ISLAND,RI,US,STATE,30,CASES
1936,7,RHODE ISLAND,RI,US,STATE,19,CASES
1936,8,RHODE ISLAND,RI,US,STATE,17,CASES
1936,9,RHODE ISLAND,RI,US,STATE,35,CASES
1936,10,RHODE ISLAND,RI,US,STATE,9,CASES
1936,11,RHODE ISLAND,RI,US,STATE,28,CASES
1936,12,RHODE ISLAND,RI,US,STATE,29,CASES
1936,13,RHODE ISLAND,RI,US,STATE,29,CASES
1936,14,RHODE ISLAND,RI,US,STATE,25,CASES
1936,15,RHODE ISLAND,RI,US,STATE,35,CASES
1936,16,RHODE ISLAND,RI,US,STATE,24,CASES
1936,17,RHODE ISLAND,RI,US,STATE,33,CASES
1936,18,RHODE ISLAND,RI,US,STATE,18,CASES
1936,19,RHODE ISLAND,RI,US,STATE,19,CASES
1936,20,RHODE ISLAND,RI,US,STATE,27,CASES
1936,21,RHODE ISLAND,RI,US,STATE,26,CASES
1936,22,RHODE ISLAND,RI,US,STATE,23,CASES
1936,23,RHODE ISLAND,RI,US,STATE,21,CASES
1936,24,RHODE ISLAND,RI,US,STATE,23,CASES
1936,25,RHODE ISLAND,RI,US,STATE,24,CASES
1936,26,RHODE ISLAND,RI,US,STATE,27,CASES
1936,27,RHODE ISLAND,RI,US,STATE,6,CASES
1936,28,RHODE ISLAND,RI,US,STATE,10,CASES
1936,29,RHODE ISLAND,RI,US,STATE,9,CASES
1936,30,RHODE ISLAND,RI,US,STATE,6,CASES
1936,31,RHODE ISLAND,RI,US,STATE,2,CASES
1936,32,RHODE ISLAND,RI,US,STATE,5,CASES
1936,34,RHODE ISLAND,RI,US,STATE,4,CASES
1936,35,RHODE ISLAND,RI,US,STATE,11,CASES
1936,36,RHODE ISLAND,RI,US,STATE,6,CASES
1936,37,RHODE ISLAND,RI,US,STATE,5,CASES
