year,week,loc,state,country,loc_type,number,event
1972,1,SOUTH CAROLINA,SC,US,STATE,25,CASES
1972,3,SOUTH CAROLINA,SC,US,STATE,27,CASES
1972,4,SOUTH CAROLINA,SC,US,STATE,5,CASES
1972,5,SOUTH CAROLINA,SC,US,STATE,15,CASES
1972,6,SOUTH CAROLINA,SC,US,STATE,14,CASES
1972,7,SOUTH CAROLINA,SC,US,STATE,10,CASES
1972,8,SOUTH CAROLINA,SC,US,STATE,16,CASES
1972,9,SOUTH CAROLINA,SC,US,STATE,24,CASES
1972,10,SOUTH CAROLINA,SC,US,STATE,37,CASES
1972,11,SOUTH CAROLINA,SC,US,STATE,16,CASES
1972,12,SOUTH CAROLINA,SC,US,STATE,26,CASES
1972,13,SOUTH CAROLINA,SC,US,STATE,21,CASES
1972,14,SOUTH CAROLINA,SC,US,STATE,19,CASES
1972,15,SOUTH CAROLINA,SC,US,STATE,66,CASES
1972,16,SOUTH CAROLINA,SC,US,STATE,22,CASES
1972,17,SOUTH CAROLINA,SC,US,STATE,6,CASES
1972,18,SOUTH CAROLINA,SC,US,STATE,62,CASES
1972,19,SOUTH CAROLINA,SC,US,STATE,27,CASES
1972,20,SOUTH CAROLINA,SC,US,STATE,46,CASES
1972,21,SOUTH CAROLINA,SC,US,STATE,13,CASES
1972,23,SOUTH CAROLINA,SC,US,STATE,19,CASES
1972,24,SOUTH CAROLINA,SC,US,STATE,17,CASES
1972,25,SOUTH CAROLINA,SC,US,STATE,9,CASES
1972,26,SOUTH CAROLINA,SC,US,STATE,15,CASES
1972,27,SOUTH CAROLINA,SC,US,STATE,17,CASES
1972,28,SOUTH CAROLINA,SC,US,STATE,2,CASES
1972,29,SOUTH CAROLINA,SC,US,STATE,12,CASES
1972,30,SOUTH CAROLINA,SC,US,STATE,1,CASES
1972,31,SOUTH CAROLINA,SC,US,STATE,4,CASES
1972,32,SOUTH CAROLINA,SC,US,STATE,3,CASES
1972,33,SOUTH CAROLINA,SC,US,STATE,4,CASES
1972,36,SOUTH CAROLINA,SC,US,STATE,2,CASES
1972,38,SOUTH CAROLINA,SC,US,STATE,1,CASES
1972,42,SOUTH CAROLINA,SC,US,STATE,3,CASES
1972,44,SOUTH CAROLINA,SC,US,STATE,7,CASES
1972,45,SOUTH CAROLINA,SC,US,STATE,2,CASES
1972,46,SOUTH CAROLINA,SC,US,STATE,8,CASES
1972,47,SOUTH CAROLINA,SC,US,STATE,5,CASES
1972,48,SOUTH CAROLINA,SC,US,STATE,12,CASES
1972,49,SOUTH CAROLINA,SC,US,STATE,16,CASES
1972,50,SOUTH CAROLINA,SC,US,STATE,11,CASES
1972,51,SOUTH CAROLINA,SC,US,STATE,10,CASES
1973,3,SOUTH CAROLINA,SC,US,STATE,24,CASES
1973,4,SOUTH CAROLINA,SC,US,STATE,21,CASES
1973,5,SOUTH CAROLINA,SC,US,STATE,31,CASES
1973,6,SOUTH CAROLINA,SC,US,STATE,47,CASES
1973,7,SOUTH CAROLINA,SC,US,STATE,28,CASES
1973,8,SOUTH CAROLINA,SC,US,STATE,19,CASES
1973,9,SOUTH CAROLINA,SC,US,STATE,66,CASES
1973,10,SOUTH CAROLINA,SC,US,STATE,24,CASES
1973,11,SOUTH CAROLINA,SC,US,STATE,52,CASES
1973,12,SOUTH CAROLINA,SC,US,STATE,11,CASES
1973,13,SOUTH CAROLINA,SC,US,STATE,70,CASES
1973,14,SOUTH CAROLINA,SC,US,STATE,62,CASES
1973,15,SOUTH CAROLINA,SC,US,STATE,91,CASES
1973,16,SOUTH CAROLINA,SC,US,STATE,40,CASES
1973,17,SOUTH CAROLINA,SC,US,STATE,31,CASES
1973,18,SOUTH CAROLINA,SC,US,STATE,65,CASES
1973,19,SOUTH CAROLINA,SC,US,STATE,159,CASES
1973,20,SOUTH CAROLINA,SC,US,STATE,78,CASES
1973,21,SOUTH CAROLINA,SC,US,STATE,39,CASES
1973,22,SOUTH CAROLINA,SC,US,STATE,40,CASES
1973,23,SOUTH CAROLINA,SC,US,STATE,50,CASES
1973,24,SOUTH CAROLINA,SC,US,STATE,30,CASES
1973,25,SOUTH CAROLINA,SC,US,STATE,51,CASES
1973,26,SOUTH CAROLINA,SC,US,STATE,14,CASES
1973,27,SOUTH CAROLINA,SC,US,STATE,19,CASES
1973,28,SOUTH CAROLINA,SC,US,STATE,4,CASES
1973,29,SOUTH CAROLINA,SC,US,STATE,4,CASES
1973,30,SOUTH CAROLINA,SC,US,STATE,11,CASES
1973,31,SOUTH CAROLINA,SC,US,STATE,9,CASES
1973,32,SOUTH CAROLINA,SC,US,STATE,4,CASES
1973,33,SOUTH CAROLINA,SC,US,STATE,6,CASES
1973,34,SOUTH CAROLINA,SC,US,STATE,12,CASES
1973,36,SOUTH CAROLINA,SC,US,STATE,5,CASES
1973,39,SOUTH CAROLINA,SC,US,STATE,4,CASES
1973,40,SOUTH CAROLINA,SC,US,STATE,1,CASES
1973,41,SOUTH CAROLINA,SC,US,STATE,2,CASES
1973,42,SOUTH CAROLINA,SC,US,STATE,1,CASES
1973,43,SOUTH CAROLINA,SC,US,STATE,2,CASES
1973,45,SOUTH CAROLINA,SC,US,STATE,2,CASES
1973,46,SOUTH CAROLINA,SC,US,STATE,5,CASES
1973,48,SOUTH CAROLINA,SC,US,STATE,2,CASES
1973,49,SOUTH CAROLINA,SC,US,STATE,4,CASES
1973,50,SOUTH CAROLINA,SC,US,STATE,6,CASES
1973,51,SOUTH CAROLINA,SC,US,STATE,19,CASES
1973,52,SOUTH CAROLINA,SC,US,STATE,3,CASES
1974,1,SOUTH CAROLINA,SC,US,STATE,6,CASES
1974,2,SOUTH CAROLINA,SC,US,STATE,10,CASES
1974,3,SOUTH CAROLINA,SC,US,STATE,5,CASES
1974,4,SOUTH CAROLINA,SC,US,STATE,37,CASES
1974,5,SOUTH CAROLINA,SC,US,STATE,4,CASES
1974,6,SOUTH CAROLINA,SC,US,STATE,4,CASES
1974,7,SOUTH CAROLINA,SC,US,STATE,28,CASES
1974,9,SOUTH CAROLINA,SC,US,STATE,14,CASES
1974,10,SOUTH CAROLINA,SC,US,STATE,14,CASES
1974,11,SOUTH CAROLINA,SC,US,STATE,25,CASES
1974,12,SOUTH CAROLINA,SC,US,STATE,19,CASES
1974,13,SOUTH CAROLINA,SC,US,STATE,20,CASES
1974,14,SOUTH CAROLINA,SC,US,STATE,45,CASES
1974,15,SOUTH CAROLINA,SC,US,STATE,17,CASES
1974,16,SOUTH CAROLINA,SC,US,STATE,107,CASES
1974,17,SOUTH CAROLINA,SC,US,STATE,50,CASES
1974,18,SOUTH CAROLINA,SC,US,STATE,80,CASES
1974,19,SOUTH CAROLINA,SC,US,STATE,62,CASES
1974,20,SOUTH CAROLINA,SC,US,STATE,56,CASES
1974,21,SOUTH CAROLINA,SC,US,STATE,46,CASES
1974,22,SOUTH CAROLINA,SC,US,STATE,40,CASES
1974,23,SOUTH CAROLINA,SC,US,STATE,138,CASES
1974,24,SOUTH CAROLINA,SC,US,STATE,52,CASES
1974,25,SOUTH CAROLINA,SC,US,STATE,24,CASES
1974,26,SOUTH CAROLINA,SC,US,STATE,9,CASES
1974,27,SOUTH CAROLINA,SC,US,STATE,42,CASES
1974,28,SOUTH CAROLINA,SC,US,STATE,5,CASES
1974,29,SOUTH CAROLINA,SC,US,STATE,22,CASES
1974,30,SOUTH CAROLINA,SC,US,STATE,12,CASES
