year,week,loc,state,country,loc_type,number,event
1927,47,SOUTH CAROLINA,SC,US,STATE,60,CASES
1927,48,SOUTH CAROLINA,SC,US,STATE,57,CASES
1927,49,SOUTH CAROLINA,SC,US,STATE,35,CASES
1927,51,SOUTH CAROLINA,SC,US,STATE,25,CASES
1927,52,SOUTH CAROLINA,SC,US,STATE,28,CASES
1928,1,SOUTH CAROLINA,SC,US,STATE,45,CASES
1928,2,SOUTH CAROLINA,SC,US,STATE,49,CASES
1928,3,SOUTH CAROLINA,SC,US,STATE,30,CASES
1928,4,SOUTH CAROLINA,SC,US,STATE,27,CASES
1928,5,SOUTH CAROLINA,SC,US,STATE,25,CASES
1928,6,SOUTH CAROLINA,SC,US,STATE,19,CASES
1928,7,SOUTH CAROLINA,SC,US,STATE,18,CASES
1928,8,SOUTH CAROLINA,SC,US,STATE,15,CASES
1928,9,SOUTH CAROLINA,SC,US,STATE,19,CASES
1928,10,SOUTH CAROLINA,SC,US,STATE,22,CASES
1928,11,SOUTH CAROLINA,SC,US,STATE,20,CASES
1928,12,SOUTH CAROLINA,SC,US,STATE,21,CASES
1928,13,SOUTH CAROLINA,SC,US,STATE,16,CASES
1928,14,SOUTH CAROLINA,SC,US,STATE,36,CASES
1928,15,SOUTH CAROLINA,SC,US,STATE,17,CASES
1928,16,SOUTH CAROLINA,SC,US,STATE,9,CASES
1928,17,SOUTH CAROLINA,SC,US,STATE,13,CASES
1928,18,SOUTH CAROLINA,SC,US,STATE,5,CASES
1928,19,SOUTH CAROLINA,SC,US,STATE,18,CASES
1928,20,SOUTH CAROLINA,SC,US,STATE,9,CASES
1928,21,SOUTH CAROLINA,SC,US,STATE,14,CASES
1928,22,SOUTH CAROLINA,SC,US,STATE,11,CASES
1928,23,SOUTH CAROLINA,SC,US,STATE,14,CASES
1928,24,SOUTH CAROLINA,SC,US,STATE,10,CASES
1928,25,SOUTH CAROLINA,SC,US,STATE,7,CASES
1928,26,SOUTH CAROLINA,SC,US,STATE,2,CASES
1928,27,SOUTH CAROLINA,SC,US,STATE,14,CASES
1928,28,SOUTH CAROLINA,SC,US,STATE,31,CASES
1928,29,SOUTH CAROLINA,SC,US,STATE,4,CASES
1928,30,SOUTH CAROLINA,SC,US,STATE,7,CASES
1928,31,SOUTH CAROLINA,SC,US,STATE,11,CASES
1928,32,SOUTH CAROLINA,SC,US,STATE,15,CASES
1928,33,SOUTH CAROLINA,SC,US,STATE,6,CASES
1928,34,SOUTH CAROLINA,SC,US,STATE,23,CASES
1928,35,SOUTH CAROLINA,SC,US,STATE,46,CASES
1928,36,SOUTH CAROLINA,SC,US,STATE,30,CASES
1928,37,SOUTH CAROLINA,SC,US,STATE,49,CASES
1928,38,SOUTH CAROLINA,SC,US,STATE,44,CASES
1928,39,SOUTH CAROLINA,SC,US,STATE,59,CASES
1928,40,SOUTH CAROLINA,SC,US,STATE,94,CASES
1928,41,SOUTH CAROLINA,SC,US,STATE,95,CASES
1928,42,SOUTH CAROLINA,SC,US,STATE,110,CASES
1928,43,SOUTH CAROLINA,SC,US,STATE,70,CASES
1928,44,SOUTH CAROLINA,SC,US,STATE,80,CASES
1928,45,SOUTH CAROLINA,SC,US,STATE,78,CASES
1928,46,SOUTH CAROLINA,SC,US,STATE,102,CASES
1928,47,SOUTH CAROLINA,SC,US,STATE,47,CASES
1928,48,SOUTH CAROLINA,SC,US,STATE,66,CASES
1928,49,SOUTH CAROLINA,SC,US,STATE,58,CASES
1928,50,SOUTH CAROLINA,SC,US,STATE,45,CASES
1928,51,SOUTH CAROLINA,SC,US,STATE,26,CASES
1928,52,SOUTH CAROLINA,SC,US,STATE,35,CASES
1929,1,SOUTH CAROLINA,SC,US,STATE,26,CASES
1929,2,SOUTH CAROLINA,SC,US,STATE,20,CASES
1929,3,SOUTH CAROLINA,SC,US,STATE,20,CASES
1929,4,SOUTH CAROLINA,SC,US,STATE,20,CASES
1929,5,SOUTH CAROLINA,SC,US,STATE,21,CASES
1929,6,SOUTH CAROLINA,SC,US,STATE,27,CASES
1929,7,SOUTH CAROLINA,SC,US,STATE,11,CASES
1929,8,SOUTH CAROLINA,SC,US,STATE,21,CASES
1929,9,SOUTH CAROLINA,SC,US,STATE,21,CASES
1929,10,SOUTH CAROLINA,SC,US,STATE,11,CASES
1929,11,SOUTH CAROLINA,SC,US,STATE,14,CASES
1929,12,SOUTH CAROLINA,SC,US,STATE,17,CASES
1929,13,SOUTH CAROLINA,SC,US,STATE,16,CASES
1929,14,SOUTH CAROLINA,SC,US,STATE,10,CASES
1929,15,SOUTH CAROLINA,SC,US,STATE,11,CASES
1929,16,SOUTH CAROLINA,SC,US,STATE,9,CASES
1929,17,SOUTH CAROLINA,SC,US,STATE,13,CASES
1929,18,SOUTH CAROLINA,SC,US,STATE,10,CASES
1929,19,SOUTH CAROLINA,SC,US,STATE,11,CASES
1929,20,SOUTH CAROLINA,SC,US,STATE,15,CASES
1929,21,SOUTH CAROLINA,SC,US,STATE,12,CASES
1929,22,SOUTH CAROLINA,SC,US,STATE,7,CASES
1929,23,SOUTH CAROLINA,SC,US,STATE,7,CASES
1929,24,SOUTH CAROLINA,SC,US,STATE,8,CASES
1929,25,SOUTH CAROLINA,SC,US,STATE,8,CASES
1929,26,SOUTH CAROLINA,SC,US,STATE,10,CASES
1929,27,SOUTH CAROLINA,SC,US,STATE,7,CASES
1929,28,SOUTH CAROLINA,SC,US,STATE,15,CASES
1929,29,SOUTH CAROLINA,SC,US,STATE,21,CASES
