year,week,loc,state,country,loc_type,number,event
1927,47,SOUTH CAROLINA,SC,US,STATE,261,CASES
1927,48,SOUTH CAROLINA,SC,US,STATE,261,CASES
1927,49,SOUTH CAROLINA,SC,US,STATE,335,CASES
1927,51,SOUTH CAROLINA,SC,US,STATE,520,CASES
1927,52,SOUTH CAROLINA,SC,US,STATE,769,CASES
1928,1,SOUTH CAROLINA,SC,US,STATE,731,CASES
1928,2,SOUTH CAROLINA,SC,US,STATE,1459,CASES
1928,3,SOUTH CAROLINA,SC,US,STATE,1347,CASES
1928,4,SOUTH CAROLINA,SC,US,STATE,1126,CASES
1928,5,SOUTH CAROLINA,SC,US,STATE,1304,CASES
1928,6,SOUTH CAROLINA,SC,US,STATE,1428,CASES
1928,7,SOUTH CAROLINA,SC,US,STATE,1430,CASES
1928,8,SOUTH CAROLINA,SC,US,STATE,1270,CASES
1928,9,SOUTH CAROLINA,SC,US,STATE,1237,CASES
1928,10,SOUTH CAROLINA,SC,US,STATE,1256,CASES
1928,11,SOUTH CAROLINA,SC,US,STATE,1020,CASES
1928,12,SOUTH CAROLINA,SC,US,STATE,950,CASES
1928,13,SOUTH CAROLINA,SC,US,STATE,765,CASES
1928,14,SOUTH CAROLINA,SC,US,STATE,1177,CASES
1928,15,SOUTH CAROLINA,SC,US,STATE,553,CASES
1928,16,SOUTH CAROLINA,SC,US,STATE,578,CASES
1928,17,SOUTH CAROLINA,SC,US,STATE,401,CASES
1928,18,SOUTH CAROLINA,SC,US,STATE,322,CASES
1928,19,SOUTH CAROLINA,SC,US,STATE,264,CASES
1928,20,SOUTH CAROLINA,SC,US,STATE,247,CASES
1928,21,SOUTH CAROLINA,SC,US,STATE,211,CASES
1928,22,SOUTH CAROLINA,SC,US,STATE,231,CASES
1928,23,SOUTH CAROLINA,SC,US,STATE,133,CASES
1928,24,SOUTH CAROLINA,SC,US,STATE,99,CASES
1928,25,SOUTH CAROLINA,SC,US,STATE,75,CASES
1928,26,SOUTH CAROLINA,SC,US,STATE,27,CASES
1928,27,SOUTH CAROLINA,SC,US,STATE,54,CASES
1928,28,SOUTH CAROLINA,SC,US,STATE,17,CASES
1928,29,SOUTH CAROLINA,SC,US,STATE,7,CASES
1928,30,SOUTH CAROLINA,SC,US,STATE,6,CASES
1928,31,SOUTH CAROLINA,SC,US,STATE,8,CASES
1928,32,SOUTH CAROLINA,SC,US,STATE,5,CASES
1928,35,SOUTH CAROLINA,SC,US,STATE,10,CASES
1928,36,SOUTH CAROLINA,SC,US,STATE,1,CASES
1928,40,SOUTH CAROLINA,SC,US,STATE,0,CASES
1928,41,SOUTH CAROLINA,SC,US,STATE,2,CASES
1928,46,SOUTH CAROLINA,SC,US,STATE,3,CASES
1928,47,SOUTH CAROLINA,SC,US,STATE,3,CASES
1928,48,SOUTH CAROLINA,SC,US,STATE,4,CASES
1928,49,SOUTH CAROLINA,SC,US,STATE,4,CASES
1928,50,SOUTH CAROLINA,SC,US,STATE,3,CASES
1928,51,SOUTH CAROLINA,SC,US,STATE,29,CASES
1928,52,SOUTH CAROLINA,SC,US,STATE,1,CASES
1929,1,SOUTH CAROLINA,SC,US,STATE,2,CASES
1929,2,SOUTH CAROLINA,SC,US,STATE,5,CASES
1929,3,SOUTH CAROLINA,SC,US,STATE,5,CASES
1929,4,SOUTH CAROLINA,SC,US,STATE,4,CASES
1929,5,SOUTH CAROLINA,SC,US,STATE,6,CASES
1929,7,SOUTH CAROLINA,SC,US,STATE,2,CASES
1929,8,SOUTH CAROLINA,SC,US,STATE,1,CASES
1929,9,SOUTH CAROLINA,SC,US,STATE,10,CASES
1929,10,SOUTH CAROLINA,SC,US,STATE,2,CASES
1929,11,SOUTH CAROLINA,SC,US,STATE,10,CASES
1929,12,SOUTH CAROLINA,SC,US,STATE,10,CASES
1929,13,SOUTH CAROLINA,SC,US,STATE,8,CASES
1929,14,SOUTH CAROLINA,SC,US,STATE,22,CASES
1929,15,SOUTH CAROLINA,SC,US,STATE,10,CASES
1929,16,SOUTH CAROLINA,SC,US,STATE,18,CASES
1929,17,SOUTH CAROLINA,SC,US,STATE,9,CASES
1929,18,SOUTH CAROLINA,SC,US,STATE,36,CASES
1929,19,SOUTH CAROLINA,SC,US,STATE,13,CASES
1929,20,SOUTH CAROLINA,SC,US,STATE,7,CASES
1929,21,SOUTH CAROLINA,SC,US,STATE,6,CASES
1929,22,SOUTH CAROLINA,SC,US,STATE,8,CASES
1929,23,SOUTH CAROLINA,SC,US,STATE,7,CASES
1929,28,SOUTH CAROLINA,SC,US,STATE,2,CASES
1929,29,SOUTH CAROLINA,SC,US,STATE,7,CASES
1929,31,SOUTH CAROLINA,SC,US,STATE,1,CASES
1930,13,SOUTH CAROLINA,SC,US,STATE,30,CASES
1930,17,SOUTH CAROLINA,SC,US,STATE,90,CASES
1930,21,SOUTH CAROLINA,SC,US,STATE,43,CASES
1930,24,SOUTH CAROLINA,SC,US,STATE,79,CASES
1930,32,SOUTH CAROLINA,SC,US,STATE,4,CASES
1930,33,SOUTH CAROLINA,SC,US,STATE,5,CASES
1930,34,SOUTH CAROLINA,SC,US,STATE,1,CASES
1931,1,SOUTH CAROLINA,SC,US,STATE,17,CASES
1931,3,SOUTH CAROLINA,SC,US,STATE,27,CASES
1931,4,SOUTH CAROLINA,SC,US,STATE,24,CASES
1931,5,SOUTH CAROLINA,SC,US,STATE,118,CASES
1931,6,SOUTH CAROLINA,SC,US,STATE,140,CASES
1931,7,SOUTH CAROLINA,SC,US,STATE,164,CASES
1931,8,SOUTH CAROLINA,SC,US,STATE,160,CASES
1931,9,SOUTH CAROLINA,SC,US,STATE,99,CASES
1931,10,SOUTH CAROLINA,SC,US,STATE,127,CASES
1931,11,SOUTH CAROLINA,SC,US,STATE,127,CASES
1931,12,SOUTH CAROLINA,SC,US,STATE,100,CASES
1931,13,SOUTH CAROLINA,SC,US,STATE,121,CASES
1931,14,SOUTH CAROLINA,SC,US,STATE,105,CASES
1931,15,SOUTH CAROLINA,SC,US,STATE,138,CASES
1931,16,SOUTH CAROLINA,SC,US,STATE,199,CASES
1931,17,SOUTH CAROLINA,SC,US,STATE,115,CASES
1931,18,SOUTH CAROLINA,SC,US,STATE,181,CASES
1931,19,SOUTH CAROLINA,SC,US,STATE,134,CASES
1931,20,SOUTH CAROLINA,SC,US,STATE,130,CASES
1931,21,SOUTH CAROLINA,SC,US,STATE,115,CASES
1931,22,SOUTH CAROLINA,SC,US,STATE,171,CASES
1931,23,SOUTH CAROLINA,SC,US,STATE,164,CASES
1931,24,SOUTH CAROLINA,SC,US,STATE,155,CASES
1931,25,SOUTH CAROLINA,SC,US,STATE,60,CASES
1931,26,SOUTH CAROLINA,SC,US,STATE,63,CASES
1931,27,SOUTH CAROLINA,SC,US,STATE,36,CASES
1931,28,SOUTH CAROLINA,SC,US,STATE,25,CASES
1931,29,SOUTH CAROLINA,SC,US,STATE,48,CASES
1931,30,SOUTH CAROLINA,SC,US,STATE,29,CASES
1931,31,SOUTH CAROLINA,SC,US,STATE,6,CASES
1931,32,SOUTH CAROLINA,SC,US,STATE,11,CASES
1931,33,SOUTH CAROLINA,SC,US,STATE,12,CASES
1931,34,SOUTH CAROLINA,SC,US,STATE,5,CASES
1931,35,SOUTH CAROLINA,SC,US,STATE,10,CASES
1931,36,SOUTH CAROLINA,SC,US,STATE,7,CASES
1931,37,SOUTH CAROLINA,SC,US,STATE,4,CASES
1931,38,SOUTH CAROLINA,SC,US,STATE,7,CASES
1931,39,SOUTH CAROLINA,SC,US,STATE,5,CASES
1931,40,SOUTH CAROLINA,SC,US,STATE,4,CASES
1931,41,SOUTH CAROLINA,SC,US,STATE,6,CASES
1931,43,SOUTH CAROLINA,SC,US,STATE,13,CASES
1931,44,SOUTH CAROLINA,SC,US,STATE,17,CASES
1931,45,SOUTH CAROLINA,SC,US,STATE,4,CASES
1931,46,SOUTH CAROLINA,SC,US,STATE,14,CASES
1931,47,SOUTH CAROLINA,SC,US,STATE,3,CASES
1931,48,SOUTH CAROLINA,SC,US,STATE,31,CASES
1931,49,SOUTH CAROLINA,SC,US,STATE,13,CASES
1931,50,SOUTH CAROLINA,SC,US,STATE,36,CASES
1931,51,SOUTH CAROLINA,SC,US,STATE,9,CASES
1931,52,SOUTH CAROLINA,SC,US,STATE,21,CASES
1932,1,SOUTH CAROLINA,SC,US,STATE,43,CASES
1932,2,SOUTH CAROLINA,SC,US,STATE,59,CASES
1932,3,SOUTH CAROLINA,SC,US,STATE,20,CASES
1932,4,SOUTH CAROLINA,SC,US,STATE,28,CASES
1932,5,SOUTH CAROLINA,SC,US,STATE,36,CASES
1932,6,SOUTH CAROLINA,SC,US,STATE,29,CASES
1932,7,SOUTH CAROLINA,SC,US,STATE,49,CASES
1932,8,SOUTH CAROLINA,SC,US,STATE,90,CASES
1932,9,SOUTH CAROLINA,SC,US,STATE,128,CASES
1932,10,SOUTH CAROLINA,SC,US,STATE,95,CASES
1932,11,SOUTH CAROLINA,SC,US,STATE,84,CASES
1932,12,SOUTH CAROLINA,SC,US,STATE,114,CASES
1932,13,SOUTH CAROLINA,SC,US,STATE,38,CASES
1932,14,SOUTH CAROLINA,SC,US,STATE,118,CASES
1932,15,SOUTH CAROLINA,SC,US,STATE,127,CASES
1932,16,SOUTH CAROLINA,SC,US,STATE,150,CASES
1932,17,SOUTH CAROLINA,SC,US,STATE,176,CASES
1932,18,SOUTH CAROLINA,SC,US,STATE,132,CASES
1932,19,SOUTH CAROLINA,SC,US,STATE,180,CASES
