year,week,loc,state,country,loc_type,number,event
1966,1,SOUTH CAROLINA,SC,US,STATE,4,CASES
1966,3,SOUTH CAROLINA,SC,US,STATE,6,CASES
1966,5,SOUTH CAROLINA,SC,US,STATE,1,CASES
1966,6,SOUTH CAROLINA,SC,US,STATE,1,CASES
1966,7,SOUTH CAROLINA,SC,US,STATE,10,CASES
1966,8,SOUTH CAROLINA,SC,US,STATE,4,CASES
1966,9,SOUTH CAROLINA,SC,US,STATE,18,CASES
1966,10,SOUTH CAROLINA,SC,US,STATE,18,CASES
1966,11,SOUTH CAROLINA,SC,US,STATE,21,CASES
1966,12,SOUTH CAROLINA,SC,US,STATE,42,CASES
1966,13,SOUTH CAROLINA,SC,US,STATE,31,CASES
1966,14,SOUTH CAROLINA,SC,US,STATE,14,CASES
1966,15,SOUTH CAROLINA,SC,US,STATE,11,CASES
1966,16,SOUTH CAROLINA,SC,US,STATE,5,CASES
1966,17,SOUTH CAROLINA,SC,US,STATE,19,CASES
1966,18,SOUTH CAROLINA,SC,US,STATE,6,CASES
1966,19,SOUTH CAROLINA,SC,US,STATE,15,CASES
1966,20,SOUTH CAROLINA,SC,US,STATE,5,CASES
1966,21,SOUTH CAROLINA,SC,US,STATE,7,CASES
1966,22,SOUTH CAROLINA,SC,US,STATE,4,CASES
1966,23,SOUTH CAROLINA,SC,US,STATE,2,CASES
1966,24,SOUTH CAROLINA,SC,US,STATE,5,CASES
1966,27,SOUTH CAROLINA,SC,US,STATE,1,CASES
1966,28,SOUTH CAROLINA,SC,US,STATE,1,CASES
1966,29,SOUTH CAROLINA,SC,US,STATE,3,CASES
1966,30,SOUTH CAROLINA,SC,US,STATE,2,CASES
1966,32,SOUTH CAROLINA,SC,US,STATE,3,CASES
1966,35,SOUTH CAROLINA,SC,US,STATE,3,CASES
1966,37,SOUTH CAROLINA,SC,US,STATE,4,CASES
1966,41,SOUTH CAROLINA,SC,US,STATE,3,CASES
1966,45,SOUTH CAROLINA,SC,US,STATE,3,CASES
1966,46,SOUTH CAROLINA,SC,US,STATE,3,CASES
1966,48,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,4,SOUTH CAROLINA,SC,US,STATE,5,CASES
1967,6,SOUTH CAROLINA,SC,US,STATE,4,CASES
1967,8,SOUTH CAROLINA,SC,US,STATE,2,CASES
1967,9,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,10,SOUTH CAROLINA,SC,US,STATE,32,CASES
1967,11,SOUTH CAROLINA,SC,US,STATE,22,CASES
1967,12,SOUTH CAROLINA,SC,US,STATE,21,CASES
1967,13,SOUTH CAROLINA,SC,US,STATE,13,CASES
1967,14,SOUTH CAROLINA,SC,US,STATE,46,CASES
1967,15,SOUTH CAROLINA,SC,US,STATE,21,CASES
1967,16,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,17,SOUTH CAROLINA,SC,US,STATE,8,CASES
1967,21,SOUTH CAROLINA,SC,US,STATE,3,CASES
1967,22,SOUTH CAROLINA,SC,US,STATE,7,CASES
1967,23,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,24,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,25,SOUTH CAROLINA,SC,US,STATE,11,CASES
1967,27,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,28,SOUTH CAROLINA,SC,US,STATE,2,CASES
1967,29,SOUTH CAROLINA,SC,US,STATE,7,CASES
1967,32,SOUTH CAROLINA,SC,US,STATE,2,CASES
1967,33,SOUTH CAROLINA,SC,US,STATE,2,CASES
1967,34,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,35,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,36,SOUTH CAROLINA,SC,US,STATE,3,CASES
1967,39,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,46,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,47,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,48,SOUTH CAROLINA,SC,US,STATE,1,CASES
1967,52,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,2,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,3,SOUTH CAROLINA,SC,US,STATE,2,CASES
1968,4,SOUTH CAROLINA,SC,US,STATE,2,CASES
1968,9,SOUTH CAROLINA,SC,US,STATE,8,CASES
1968,10,SOUTH CAROLINA,SC,US,STATE,5,CASES
1968,11,SOUTH CAROLINA,SC,US,STATE,15,CASES
1968,12,SOUTH CAROLINA,SC,US,STATE,12,CASES
1968,13,SOUTH CAROLINA,SC,US,STATE,6,CASES
1968,14,SOUTH CAROLINA,SC,US,STATE,56,CASES
1968,15,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,16,SOUTH CAROLINA,SC,US,STATE,13,CASES
1968,17,SOUTH CAROLINA,SC,US,STATE,14,CASES
1968,18,SOUTH CAROLINA,SC,US,STATE,62,CASES
1968,19,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,20,SOUTH CAROLINA,SC,US,STATE,6,CASES
1968,21,SOUTH CAROLINA,SC,US,STATE,5,CASES
1968,22,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,26,SOUTH CAROLINA,SC,US,STATE,4,CASES
1968,27,SOUTH CAROLINA,SC,US,STATE,2,CASES
1968,28,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,30,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,31,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,33,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,37,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,39,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,42,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,43,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,44,SOUTH CAROLINA,SC,US,STATE,2,CASES
1968,45,SOUTH CAROLINA,SC,US,STATE,5,CASES
1968,46,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,48,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,49,SOUTH CAROLINA,SC,US,STATE,1,CASES
1968,50,SOUTH CAROLINA,SC,US,STATE,6,CASES
1968,51,SOUTH CAROLINA,SC,US,STATE,3,CASES
1968,52,SOUTH CAROLINA,SC,US,STATE,1,CASES
1969,1,SOUTH CAROLINA,SC,US,STATE,2,CASES
1969,2,SOUTH CAROLINA,SC,US,STATE,6,CASES
1969,3,SOUTH CAROLINA,SC,US,STATE,2,CASES
1969,4,SOUTH CAROLINA,SC,US,STATE,6,CASES
1969,5,SOUTH CAROLINA,SC,US,STATE,14,CASES
1969,6,SOUTH CAROLINA,SC,US,STATE,8,CASES
1969,7,SOUTH CAROLINA,SC,US,STATE,1,CASES
1969,8,SOUTH CAROLINA,SC,US,STATE,10,CASES
1969,9,SOUTH CAROLINA,SC,US,STATE,2,CASES
1969,10,SOUTH CAROLINA,SC,US,STATE,8,CASES
1969,12,SOUTH CAROLINA,SC,US,STATE,12,CASES
1969,13,SOUTH CAROLINA,SC,US,STATE,20,CASES
1969,14,SOUTH CAROLINA,SC,US,STATE,57,CASES
1969,15,SOUTH CAROLINA,SC,US,STATE,18,CASES
1969,16,SOUTH CAROLINA,SC,US,STATE,12,CASES
1969,17,SOUTH CAROLINA,SC,US,STATE,18,CASES
1969,18,SOUTH CAROLINA,SC,US,STATE,6,CASES
1969,19,SOUTH CAROLINA,SC,US,STATE,15,CASES
1969,20,SOUTH CAROLINA,SC,US,STATE,2,CASES
1969,21,SOUTH CAROLINA,SC,US,STATE,17,CASES
1969,22,SOUTH CAROLINA,SC,US,STATE,3,CASES
1969,23,SOUTH CAROLINA,SC,US,STATE,9,CASES
1969,24,SOUTH CAROLINA,SC,US,STATE,2,CASES
1969,25,SOUTH CAROLINA,SC,US,STATE,9,CASES
1969,27,SOUTH CAROLINA,SC,US,STATE,2,CASES
1969,28,SOUTH CAROLINA,SC,US,STATE,6,CASES
1969,30,SOUTH CAROLINA,SC,US,STATE,4,CASES
1969,31,SOUTH CAROLINA,SC,US,STATE,1,CASES
1969,36,SOUTH CAROLINA,SC,US,STATE,4,CASES
1969,37,SOUTH CAROLINA,SC,US,STATE,2,CASES
1969,38,SOUTH CAROLINA,SC,US,STATE,1,CASES
1969,39,SOUTH CAROLINA,SC,US,STATE,3,CASES
1969,40,SOUTH CAROLINA,SC,US,STATE,3,CASES
1969,41,SOUTH CAROLINA,SC,US,STATE,3,CASES
1969,44,SOUTH CAROLINA,SC,US,STATE,1,CASES
1969,45,SOUTH CAROLINA,SC,US,STATE,1,CASES
1969,46,SOUTH CAROLINA,SC,US,STATE,2,CASES
1969,51,SOUTH CAROLINA,SC,US,STATE,2,CASES
1970,1,SOUTH CAROLINA,SC,US,STATE,2,CASES
1970,2,SOUTH CAROLINA,SC,US,STATE,2,CASES
1970,4,SOUTH CAROLINA,SC,US,STATE,2,CASES
1970,5,SOUTH CAROLINA,SC,US,STATE,7,CASES
1970,6,SOUTH CAROLINA,SC,US,STATE,8,CASES
1970,7,SOUTH CAROLINA,SC,US,STATE,7,CASES
1970,8,SOUTH CAROLINA,SC,US,STATE,12,CASES
1970,9,SOUTH CAROLINA,SC,US,STATE,15,CASES
1970,10,SOUTH CAROLINA,SC,US,STATE,24,CASES
1970,11,SOUTH CAROLINA,SC,US,STATE,15,CASES
1970,12,SOUTH CAROLINA,SC,US,STATE,43,CASES
1970,13,SOUTH CAROLINA,SC,US,STATE,26,CASES
1970,14,SOUTH CAROLINA,SC,US,STATE,84,CASES
1970,15,SOUTH CAROLINA,SC,US,STATE,55,CASES
1970,16,SOUTH CAROLINA,SC,US,STATE,95,CASES
1970,17,SOUTH CAROLINA,SC,US,STATE,3,CASES
1970,18,SOUTH CAROLINA,SC,US,STATE,21,CASES
1970,19,SOUTH CAROLINA,SC,US,STATE,79,CASES
1970,20,SOUTH CAROLINA,SC,US,STATE,19,CASES
1970,21,SOUTH CAROLINA,SC,US,STATE,40,CASES
1970,22,SOUTH CAROLINA,SC,US,STATE,4,CASES
1970,23,SOUTH CAROLINA,SC,US,STATE,13,CASES
1970,24,SOUTH CAROLINA,SC,US,STATE,10,CASES
1970,25,SOUTH CAROLINA,SC,US,STATE,1,CASES
1970,26,SOUTH CAROLINA,SC,US,STATE,8,CASES
1970,27,SOUTH CAROLINA,SC,US,STATE,1,CASES
1970,28,SOUTH CAROLINA,SC,US,STATE,7,CASES
1970,29,SOUTH CAROLINA,SC,US,STATE,3,CASES
1970,30,SOUTH CAROLINA,SC,US,STATE,11,CASES
1970,31,SOUTH CAROLINA,SC,US,STATE,2,CASES
1970,32,SOUTH CAROLINA,SC,US,STATE,2,CASES
1970,33,SOUTH CAROLINA,SC,US,STATE,7,CASES
1970,34,SOUTH CAROLINA,SC,US,STATE,2,CASES
1970,35,SOUTH CAROLINA,SC,US,STATE,5,CASES
1970,36,SOUTH CAROLINA,SC,US,STATE,7,CASES
1970,37,SOUTH CAROLINA,SC,US,STATE,1,CASES
1970,38,SOUTH CAROLINA,SC,US,STATE,3,CASES
1970,39,SOUTH CAROLINA,SC,US,STATE,4,CASES
1970,40,SOUTH CAROLINA,SC,US,STATE,2,CASES
1970,41,SOUTH CAROLINA,SC,US,STATE,1,CASES
1970,45,SOUTH CAROLINA,SC,US,STATE,2,CASES
