year,week,loc,state,country,loc_type,number,event
1937,43,SOUTH DAKOTA,SD,US,STATE,38,CASES
1937,44,SOUTH DAKOTA,SD,US,STATE,19,CASES
1937,45,SOUTH DAKOTA,SD,US,STATE,45,CASES
1937,46,SOUTH DAKOTA,SD,US,STATE,34,CASES
1937,47,SOUTH DAKOTA,SD,US,STATE,13,CASES
1937,48,SOUTH DAKOTA,SD,US,STATE,34,CASES
1937,49,SOUTH DAKOTA,SD,US,STATE,31,CASES
1937,50,SOUTH DAKOTA,SD,US,STATE,35,CASES
1937,51,SOUTH DAKOTA,SD,US,STATE,2,CASES
1938,1,SOUTH DAKOTA,SD,US,STATE,19,CASES
1938,2,SOUTH DAKOTA,SD,US,STATE,6,CASES
1938,3,SOUTH DAKOTA,SD,US,STATE,26,CASES
1938,4,SOUTH DAKOTA,SD,US,STATE,23,CASES
1938,5,SOUTH DAKOTA,SD,US,STATE,14,CASES
1938,6,SOUTH DAKOTA,SD,US,STATE,25,CASES
1938,7,SOUTH DAKOTA,SD,US,STATE,26,CASES
1938,8,SOUTH DAKOTA,SD,US,STATE,70,CASES
1938,9,SOUTH DAKOTA,SD,US,STATE,17,CASES
1938,10,SOUTH DAKOTA,SD,US,STATE,34,CASES
1938,11,SOUTH DAKOTA,SD,US,STATE,19,CASES
1938,12,SOUTH DAKOTA,SD,US,STATE,31,CASES
1938,13,SOUTH DAKOTA,SD,US,STATE,18,CASES
1938,14,SOUTH DAKOTA,SD,US,STATE,19,CASES
1938,15,SOUTH DAKOTA,SD,US,STATE,16,CASES
1938,16,SOUTH DAKOTA,SD,US,STATE,6,CASES
1938,17,SOUTH DAKOTA,SD,US,STATE,20,CASES
1938,18,SOUTH DAKOTA,SD,US,STATE,25,CASES
1938,19,SOUTH DAKOTA,SD,US,STATE,27,CASES
1938,20,SOUTH DAKOTA,SD,US,STATE,9,CASES
1938,21,SOUTH DAKOTA,SD,US,STATE,11,CASES
1938,22,SOUTH DAKOTA,SD,US,STATE,3,CASES
1938,23,SOUTH DAKOTA,SD,US,STATE,11,CASES
1938,24,SOUTH DAKOTA,SD,US,STATE,14,CASES
1938,25,SOUTH DAKOTA,SD,US,STATE,23,CASES
1938,26,SOUTH DAKOTA,SD,US,STATE,45,CASES
1938,27,SOUTH DAKOTA,SD,US,STATE,105,CASES
1938,28,SOUTH DAKOTA,SD,US,STATE,75,CASES
1938,29,SOUTH DAKOTA,SD,US,STATE,158,CASES
1938,30,SOUTH DAKOTA,SD,US,STATE,90,CASES
1938,31,SOUTH DAKOTA,SD,US,STATE,38,CASES
1938,32,SOUTH DAKOTA,SD,US,STATE,60,CASES
1938,33,SOUTH DAKOTA,SD,US,STATE,15,CASES
1938,34,SOUTH DAKOTA,SD,US,STATE,53,CASES
1938,35,SOUTH DAKOTA,SD,US,STATE,23,CASES
1938,36,SOUTH DAKOTA,SD,US,STATE,15,CASES
1938,37,SOUTH DAKOTA,SD,US,STATE,30,CASES
1938,38,SOUTH DAKOTA,SD,US,STATE,3,CASES
1938,39,SOUTH DAKOTA,SD,US,STATE,1,CASES
1938,40,SOUTH DAKOTA,SD,US,STATE,0,CASES
1938,41,SOUTH DAKOTA,SD,US,STATE,2,CASES
1938,42,SOUTH DAKOTA,SD,US,STATE,53,CASES
1938,43,SOUTH DAKOTA,SD,US,STATE,0,CASES
1938,44,SOUTH DAKOTA,SD,US,STATE,38,CASES
1938,45,SOUTH DAKOTA,SD,US,STATE,9,CASES
1938,46,SOUTH DAKOTA,SD,US,STATE,38,CASES
1938,47,SOUTH DAKOTA,SD,US,STATE,23,CASES
1938,48,SOUTH DAKOTA,SD,US,STATE,15,CASES
1938,49,SOUTH DAKOTA,SD,US,STATE,15,CASES
1938,50,SOUTH DAKOTA,SD,US,STATE,0,CASES
1938,51,SOUTH DAKOTA,SD,US,STATE,3,CASES
1938,52,SOUTH DAKOTA,SD,US,STATE,2,CASES
1939,1,SOUTH DAKOTA,SD,US,STATE,23,CASES
1939,2,SOUTH DAKOTA,SD,US,STATE,8,CASES
1939,3,SOUTH DAKOTA,SD,US,STATE,23,CASES
1939,4,SOUTH DAKOTA,SD,US,STATE,23,CASES
1939,5,SOUTH DAKOTA,SD,US,STATE,24,CASES
1939,6,SOUTH DAKOTA,SD,US,STATE,2,CASES
1939,7,SOUTH DAKOTA,SD,US,STATE,5,CASES
1939,8,SOUTH DAKOTA,SD,US,STATE,0,CASES
1939,9,SOUTH DAKOTA,SD,US,STATE,6,CASES
1939,10,SOUTH DAKOTA,SD,US,STATE,2,CASES
1939,11,SOUTH DAKOTA,SD,US,STATE,0,CASES
1939,12,SOUTH DAKOTA,SD,US,STATE,1,CASES
1939,13,SOUTH DAKOTA,SD,US,STATE,1,CASES
1939,14,SOUTH DAKOTA,SD,US,STATE,2,CASES
1939,15,SOUTH DAKOTA,SD,US,STATE,1,CASES
1939,16,SOUTH DAKOTA,SD,US,STATE,23,CASES
1939,17,SOUTH DAKOTA,SD,US,STATE,30,CASES
1939,18,SOUTH DAKOTA,SD,US,STATE,1,CASES
1939,19,SOUTH DAKOTA,SD,US,STATE,0,CASES
1939,20,SOUTH DAKOTA,SD,US,STATE,15,CASES
1939,21,SOUTH DAKOTA,SD,US,STATE,0,CASES
1939,22,SOUTH DAKOTA,SD,US,STATE,1,CASES
1939,23,SOUTH DAKOTA,SD,US,STATE,2,CASES
1939,24,SOUTH DAKOTA,SD,US,STATE,15,CASES
1939,25,SOUTH DAKOTA,SD,US,STATE,1,CASES
1939,26,SOUTH DAKOTA,SD,US,STATE,4,CASES
1939,27,SOUTH DAKOTA,SD,US,STATE,0,CASES
1939,28,SOUTH DAKOTA,SD,US,STATE,3,CASES
1939,29,SOUTH DAKOTA,SD,US,STATE,2,CASES
1939,30,SOUTH DAKOTA,SD,US,STATE,1,CASES
1939,31,SOUTH DAKOTA,SD,US,STATE,1,CASES
1939,32,SOUTH DAKOTA,SD,US,STATE,23,CASES
1939,33,SOUTH DAKOTA,SD,US,STATE,3,CASES
1939,34,SOUTH DAKOTA,SD,US,STATE,3,CASES
1939,35,SOUTH DAKOTA,SD,US,STATE,14,CASES
1939,36,SOUTH DAKOTA,SD,US,STATE,30,CASES
1939,37,SOUTH DAKOTA,SD,US,STATE,4,CASES
1939,38,SOUTH DAKOTA,SD,US,STATE,68,CASES
1939,39,SOUTH DAKOTA,SD,US,STATE,23,CASES
1939,40,SOUTH DAKOTA,SD,US,STATE,30,CASES
1939,41,SOUTH DAKOTA,SD,US,STATE,38,CASES
1939,42,SOUTH DAKOTA,SD,US,STATE,3,CASES
1939,44,SOUTH DAKOTA,SD,US,STATE,5,CASES
1939,45,SOUTH DAKOTA,SD,US,STATE,6,CASES
1939,46,SOUTH DAKOTA,SD,US,STATE,1,CASES
1939,47,SOUTH DAKOTA,SD,US,STATE,2,CASES
1939,48,SOUTH DAKOTA,SD,US,STATE,53,CASES
1939,49,SOUTH DAKOTA,SD,US,STATE,8,CASES
1939,51,SOUTH DAKOTA,SD,US,STATE,0,CASES
1939,52,SOUTH DAKOTA,SD,US,STATE,0,CASES
1940,2,SOUTH DAKOTA,SD,US,STATE,4,CASES
1940,3,SOUTH DAKOTA,SD,US,STATE,0,CASES
1940,4,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,6,SOUTH DAKOTA,SD,US,STATE,11,CASES
1940,7,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,8,SOUTH DAKOTA,SD,US,STATE,0,CASES
1940,9,SOUTH DAKOTA,SD,US,STATE,1,CASES
1940,10,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,11,SOUTH DAKOTA,SD,US,STATE,0,CASES
1940,12,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,13,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,14,SOUTH DAKOTA,SD,US,STATE,5,CASES
1940,15,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,16,SOUTH DAKOTA,SD,US,STATE,4,CASES
1940,17,SOUTH DAKOTA,SD,US,STATE,0,CASES
1940,18,SOUTH DAKOTA,SD,US,STATE,1,CASES
1940,19,SOUTH DAKOTA,SD,US,STATE,0,CASES
1940,20,SOUTH DAKOTA,SD,US,STATE,1,CASES
1940,21,SOUTH DAKOTA,SD,US,STATE,4,CASES
1940,22,SOUTH DAKOTA,SD,US,STATE,3,CASES
1940,23,SOUTH DAKOTA,SD,US,STATE,3,CASES
1940,24,SOUTH DAKOTA,SD,US,STATE,0,CASES
1940,25,SOUTH DAKOTA,SD,US,STATE,1,CASES
1940,26,SOUTH DAKOTA,SD,US,STATE,12,CASES
1940,27,SOUTH DAKOTA,SD,US,STATE,4,CASES
1940,28,SOUTH DAKOTA,SD,US,STATE,6,CASES
1940,29,SOUTH DAKOTA,SD,US,STATE,10,CASES
1940,30,SOUTH DAKOTA,SD,US,STATE,5,CASES
1940,31,SOUTH DAKOTA,SD,US,STATE,6,CASES
1940,32,SOUTH DAKOTA,SD,US,STATE,8,CASES
1940,33,SOUTH DAKOTA,SD,US,STATE,7,CASES
1940,34,SOUTH DAKOTA,SD,US,STATE,3,CASES
1940,35,SOUTH DAKOTA,SD,US,STATE,6,CASES
1940,36,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,37,SOUTH DAKOTA,SD,US,STATE,9,CASES
1940,38,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,39,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,40,SOUTH DAKOTA,SD,US,STATE,4,CASES
1940,41,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,42,SOUTH DAKOTA,SD,US,STATE,0,CASES
1940,43,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,44,SOUTH DAKOTA,SD,US,STATE,6,CASES
1940,45,SOUTH DAKOTA,SD,US,STATE,5,CASES
1940,46,SOUTH DAKOTA,SD,US,STATE,2,CASES
1940,47,SOUTH DAKOTA,SD,US,STATE,4,CASES
1940,48,SOUTH DAKOTA,SD,US,STATE,0,CASES
1940,49,SOUTH DAKOTA,SD,US,STATE,3,CASES
1940,50,SOUTH DAKOTA,SD,US,STATE,6,CASES
1940,51,SOUTH DAKOTA,SD,US,STATE,12,CASES
1940,52,SOUTH DAKOTA,SD,US,STATE,2,CASES
1941,1,SOUTH DAKOTA,SD,US,STATE,1,CASES
1941,2,SOUTH DAKOTA,SD,US,STATE,2,CASES
1941,3,SOUTH DAKOTA,SD,US,STATE,5,CASES
1941,4,SOUTH DAKOTA,SD,US,STATE,3,CASES
1941,5,SOUTH DAKOTA,SD,US,STATE,7,CASES
1941,6,SOUTH DAKOTA,SD,US,STATE,8,CASES
1941,7,SOUTH DAKOTA,SD,US,STATE,19,CASES
1941,9,SOUTH DAKOTA,SD,US,STATE,7,CASES
1941,10,SOUTH DAKOTA,SD,US,STATE,21,CASES
1941,11,SOUTH DAKOTA,SD,US,STATE,14,CASES
1941,12,SOUTH DAKOTA,SD,US,STATE,10,CASES
1941,13,SOUTH DAKOTA,SD,US,STATE,10,CASES
1941,14,SOUTH DAKOTA,SD,US,STATE,27,CASES
1941,15,SOUTH DAKOTA,SD,US,STATE,30,CASES
1941,16,SOUTH DAKOTA,SD,US,STATE,50,CASES
1941,17,SOUTH DAKOTA,SD,US,STATE,17,CASES
1941,18,SOUTH DAKOTA,SD,US,STATE,23,CASES
1941,19,SOUTH DAKOTA,SD,US,STATE,31,CASES
1941,20,SOUTH DAKOTA,SD,US,STATE,19,CASES
1941,21,SOUTH DAKOTA,SD,US,STATE,16,CASES
1941,22,SOUTH DAKOTA,SD,US,STATE,7,CASES
1941,23,SOUTH DAKOTA,SD,US,STATE,5,CASES
1941,24,SOUTH DAKOTA,SD,US,STATE,3,CASES
1941,25,SOUTH DAKOTA,SD,US,STATE,1,CASES
1941,26,SOUTH DAKOTA,SD,US,STATE,11,CASES
