year,week,loc,state,country,loc_type,number,event
1927,47,SOUTH DAKOTA,SD,US,STATE,1,CASES
1927,49,SOUTH DAKOTA,SD,US,STATE,2,CASES
1927,51,SOUTH DAKOTA,SD,US,STATE,2,CASES
1927,52,SOUTH DAKOTA,SD,US,STATE,4,CASES
1928,1,SOUTH DAKOTA,SD,US,STATE,7,CASES
1928,2,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,3,SOUTH DAKOTA,SD,US,STATE,10,CASES
1928,4,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,5,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,9,SOUTH DAKOTA,SD,US,STATE,3,CASES
1928,10,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,13,SOUTH DAKOTA,SD,US,STATE,30,CASES
1928,14,SOUTH DAKOTA,SD,US,STATE,15,CASES
1928,15,SOUTH DAKOTA,SD,US,STATE,16,CASES
1928,16,SOUTH DAKOTA,SD,US,STATE,20,CASES
1928,17,SOUTH DAKOTA,SD,US,STATE,13,CASES
1928,18,SOUTH DAKOTA,SD,US,STATE,13,CASES
1928,19,SOUTH DAKOTA,SD,US,STATE,5,CASES
1928,20,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,21,SOUTH DAKOTA,SD,US,STATE,2,CASES
1928,31,SOUTH DAKOTA,SD,US,STATE,32,CASES
1928,32,SOUTH DAKOTA,SD,US,STATE,9,CASES
1928,33,SOUTH DAKOTA,SD,US,STATE,3,CASES
1928,44,SOUTH DAKOTA,SD,US,STATE,5,CASES
1928,45,SOUTH DAKOTA,SD,US,STATE,3,CASES
1928,46,SOUTH DAKOTA,SD,US,STATE,1,CASES
1928,50,SOUTH DAKOTA,SD,US,STATE,167,CASES
1928,51,SOUTH DAKOTA,SD,US,STATE,103,CASES
1928,52,SOUTH DAKOTA,SD,US,STATE,253,CASES
1929,1,SOUTH DAKOTA,SD,US,STATE,36,CASES
1929,2,SOUTH DAKOTA,SD,US,STATE,264,CASES
1929,3,SOUTH DAKOTA,SD,US,STATE,12,CASES
1929,4,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,6,SOUTH DAKOTA,SD,US,STATE,4,CASES
1929,7,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,8,SOUTH DAKOTA,SD,US,STATE,2,CASES
1929,12,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,23,SOUTH DAKOTA,SD,US,STATE,1,CASES
1929,49,SOUTH DAKOTA,SD,US,STATE,1,CASES
1930,12,SOUTH DAKOTA,SD,US,STATE,2,CASES
1930,13,SOUTH DAKOTA,SD,US,STATE,1,CASES
1930,14,SOUTH DAKOTA,SD,US,STATE,1,CASES
1930,15,SOUTH DAKOTA,SD,US,STATE,2,CASES
1930,19,SOUTH DAKOTA,SD,US,STATE,2,CASES
1930,38,SOUTH DAKOTA,SD,US,STATE,2,CASES
1930,52,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,3,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,6,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,7,SOUTH DAKOTA,SD,US,STATE,2,CASES
1931,10,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,12,SOUTH DAKOTA,SD,US,STATE,3,CASES
1931,13,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,14,SOUTH DAKOTA,SD,US,STATE,5,CASES
1931,17,SOUTH DAKOTA,SD,US,STATE,2,CASES
1931,20,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,22,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,23,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,26,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,41,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,45,SOUTH DAKOTA,SD,US,STATE,1,CASES
1931,48,SOUTH DAKOTA,SD,US,STATE,1,CASES
1932,2,SOUTH DAKOTA,SD,US,STATE,4,CASES
1932,4,SOUTH DAKOTA,SD,US,STATE,3,CASES
1932,5,SOUTH DAKOTA,SD,US,STATE,9,CASES
1932,6,SOUTH DAKOTA,SD,US,STATE,1200,CASES
1932,7,SOUTH DAKOTA,SD,US,STATE,228,CASES
1932,8,SOUTH DAKOTA,SD,US,STATE,216,CASES
1932,9,SOUTH DAKOTA,SD,US,STATE,66,CASES
1932,10,SOUTH DAKOTA,SD,US,STATE,10,CASES
1932,11,SOUTH DAKOTA,SD,US,STATE,16,CASES
1932,13,SOUTH DAKOTA,SD,US,STATE,5,CASES
1932,14,SOUTH DAKOTA,SD,US,STATE,2,CASES
1932,40,SOUTH DAKOTA,SD,US,STATE,1,CASES
1932,44,SOUTH DAKOTA,SD,US,STATE,1,CASES
1932,46,SOUTH DAKOTA,SD,US,STATE,5,CASES
1932,47,SOUTH DAKOTA,SD,US,STATE,1,CASES
1932,48,SOUTH DAKOTA,SD,US,STATE,1,CASES
1932,49,SOUTH DAKOTA,SD,US,STATE,1,CASES
1932,50,SOUTH DAKOTA,SD,US,STATE,17,CASES
1932,51,SOUTH DAKOTA,SD,US,STATE,208,CASES
1932,52,SOUTH DAKOTA,SD,US,STATE,199,CASES
1933,1,SOUTH DAKOTA,SD,US,STATE,205,CASES
1933,2,SOUTH DAKOTA,SD,US,STATE,148,CASES
1933,3,SOUTH DAKOTA,SD,US,STATE,57,CASES
1933,4,SOUTH DAKOTA,SD,US,STATE,17,CASES
1933,5,SOUTH DAKOTA,SD,US,STATE,8,CASES
1933,7,SOUTH DAKOTA,SD,US,STATE,1,CASES
1933,8,SOUTH DAKOTA,SD,US,STATE,17,CASES
1933,9,SOUTH DAKOTA,SD,US,STATE,2,CASES
1933,12,SOUTH DAKOTA,SD,US,STATE,1,CASES
