year,week,loc,state,country,loc_type,number,event
1970,5,SOUTH DAKOTA,SD,US,STATE,1,CASES
1970,10,SOUTH DAKOTA,SD,US,STATE,1,CASES
1970,19,SOUTH DAKOTA,SD,US,STATE,8,CASES
1970,23,SOUTH DAKOTA,SD,US,STATE,12,CASES
1970,27,SOUTH DAKOTA,SD,US,STATE,14,CASES
1970,32,SOUTH DAKOTA,SD,US,STATE,4,CASES
1970,40,SOUTH DAKOTA,SD,US,STATE,1,CASES
1970,48,SOUTH DAKOTA,SD,US,STATE,3,CASES
1970,49,SOUTH DAKOTA,SD,US,STATE,3,CASES
1970,50,SOUTH DAKOTA,SD,US,STATE,4,CASES
1970,51,SOUTH DAKOTA,SD,US,STATE,2,CASES
1970,52,SOUTH DAKOTA,SD,US,STATE,5,CASES
1971,1,SOUTH DAKOTA,SD,US,STATE,5,CASES
1971,2,SOUTH DAKOTA,SD,US,STATE,10,CASES
1971,3,SOUTH DAKOTA,SD,US,STATE,2,CASES
1971,4,SOUTH DAKOTA,SD,US,STATE,25,CASES
1971,5,SOUTH DAKOTA,SD,US,STATE,19,CASES
1971,6,SOUTH DAKOTA,SD,US,STATE,7,CASES
1971,7,SOUTH DAKOTA,SD,US,STATE,8,CASES
1971,9,SOUTH DAKOTA,SD,US,STATE,6,CASES
1971,10,SOUTH DAKOTA,SD,US,STATE,13,CASES
1971,11,SOUTH DAKOTA,SD,US,STATE,12,CASES
1971,12,SOUTH DAKOTA,SD,US,STATE,8,CASES
1971,13,SOUTH DAKOTA,SD,US,STATE,7,CASES
1971,14,SOUTH DAKOTA,SD,US,STATE,8,CASES
1971,15,SOUTH DAKOTA,SD,US,STATE,5,CASES
1971,16,SOUTH DAKOTA,SD,US,STATE,10,CASES
1971,17,SOUTH DAKOTA,SD,US,STATE,1,CASES
1971,18,SOUTH DAKOTA,SD,US,STATE,7,CASES
1971,19,SOUTH DAKOTA,SD,US,STATE,2,CASES
1971,20,SOUTH DAKOTA,SD,US,STATE,15,CASES
1971,21,SOUTH DAKOTA,SD,US,STATE,6,CASES
1971,22,SOUTH DAKOTA,SD,US,STATE,7,CASES
1971,23,SOUTH DAKOTA,SD,US,STATE,8,CASES
1971,24,SOUTH DAKOTA,SD,US,STATE,5,CASES
1971,25,SOUTH DAKOTA,SD,US,STATE,4,CASES
1971,26,SOUTH DAKOTA,SD,US,STATE,4,CASES
1971,27,SOUTH DAKOTA,SD,US,STATE,4,CASES
1971,28,SOUTH DAKOTA,SD,US,STATE,1,CASES
1971,29,SOUTH DAKOTA,SD,US,STATE,1,CASES
1971,30,SOUTH DAKOTA,SD,US,STATE,2,CASES
1971,31,SOUTH DAKOTA,SD,US,STATE,1,CASES
1971,32,SOUTH DAKOTA,SD,US,STATE,5,CASES
1971,33,SOUTH DAKOTA,SD,US,STATE,4,CASES
1971,34,SOUTH DAKOTA,SD,US,STATE,4,CASES
1971,35,SOUTH DAKOTA,SD,US,STATE,1,CASES
1971,36,SOUTH DAKOTA,SD,US,STATE,2,CASES
1971,37,SOUTH DAKOTA,SD,US,STATE,1,CASES
1971,39,SOUTH DAKOTA,SD,US,STATE,4,CASES
1971,41,SOUTH DAKOTA,SD,US,STATE,5,CASES
1971,42,SOUTH DAKOTA,SD,US,STATE,1,CASES
1971,43,SOUTH DAKOTA,SD,US,STATE,1,CASES
1971,45,SOUTH DAKOTA,SD,US,STATE,3,CASES
1971,46,SOUTH DAKOTA,SD,US,STATE,4,CASES
1971,48,SOUTH DAKOTA,SD,US,STATE,12,CASES
1971,49,SOUTH DAKOTA,SD,US,STATE,1,CASES
1971,50,SOUTH DAKOTA,SD,US,STATE,4,CASES
1971,51,SOUTH DAKOTA,SD,US,STATE,1,CASES
1972,1,SOUTH DAKOTA,SD,US,STATE,2,CASES
1972,4,SOUTH DAKOTA,SD,US,STATE,4,CASES
1972,5,SOUTH DAKOTA,SD,US,STATE,2,CASES
1972,6,SOUTH DAKOTA,SD,US,STATE,5,CASES
1972,7,SOUTH DAKOTA,SD,US,STATE,5,CASES
1972,8,SOUTH DAKOTA,SD,US,STATE,1,CASES
1972,9,SOUTH DAKOTA,SD,US,STATE,4,CASES
1972,10,SOUTH DAKOTA,SD,US,STATE,3,CASES
1972,11,SOUTH DAKOTA,SD,US,STATE,7,CASES
1972,12,SOUTH DAKOTA,SD,US,STATE,1,CASES
1972,14,SOUTH DAKOTA,SD,US,STATE,5,CASES
1972,15,SOUTH DAKOTA,SD,US,STATE,3,CASES
1972,16,SOUTH DAKOTA,SD,US,STATE,34,CASES
1972,17,SOUTH DAKOTA,SD,US,STATE,1,CASES
1972,18,SOUTH DAKOTA,SD,US,STATE,2,CASES
1972,19,SOUTH DAKOTA,SD,US,STATE,1,CASES
1972,20,SOUTH DAKOTA,SD,US,STATE,19,CASES
1972,21,SOUTH DAKOTA,SD,US,STATE,2,CASES
1972,22,SOUTH DAKOTA,SD,US,STATE,3,CASES
1972,23,SOUTH DAKOTA,SD,US,STATE,1,CASES
1972,24,SOUTH DAKOTA,SD,US,STATE,2,CASES
1972,25,SOUTH DAKOTA,SD,US,STATE,3,CASES
1972,26,SOUTH DAKOTA,SD,US,STATE,3,CASES
1972,29,SOUTH DAKOTA,SD,US,STATE,2,CASES
1972,37,SOUTH DAKOTA,SD,US,STATE,1,CASES
1972,39,SOUTH DAKOTA,SD,US,STATE,1,CASES
1972,44,SOUTH DAKOTA,SD,US,STATE,1,CASES
1972,48,SOUTH DAKOTA,SD,US,STATE,2,CASES
1973,3,SOUTH DAKOTA,SD,US,STATE,2,CASES
1973,6,SOUTH DAKOTA,SD,US,STATE,1,CASES
1973,9,SOUTH DAKOTA,SD,US,STATE,3,CASES
1973,15,SOUTH DAKOTA,SD,US,STATE,1,CASES
1973,19,SOUTH DAKOTA,SD,US,STATE,4,CASES
1973,21,SOUTH DAKOTA,SD,US,STATE,1,CASES
1973,22,SOUTH DAKOTA,SD,US,STATE,1,CASES
1973,29,SOUTH DAKOTA,SD,US,STATE,1,CASES
1973,30,SOUTH DAKOTA,SD,US,STATE,3,CASES
1973,34,SOUTH DAKOTA,SD,US,STATE,1,CASES
1973,37,SOUTH DAKOTA,SD,US,STATE,1,CASES
1973,45,SOUTH DAKOTA,SD,US,STATE,1,CASES
1974,6,SOUTH DAKOTA,SD,US,STATE,1,CASES
1974,10,SOUTH DAKOTA,SD,US,STATE,1,CASES
1974,48,SOUTH DAKOTA,SD,US,STATE,1,CASES
1975,2,SOUTH DAKOTA,SD,US,STATE,1,CASES
1975,12,SOUTH DAKOTA,SD,US,STATE,3,CASES
1975,22,SOUTH DAKOTA,SD,US,STATE,1,CASES
1975,32,SOUTH DAKOTA,SD,US,STATE,1,CASES
1976,9,SOUTH DAKOTA,SD,US,STATE,1,CASES
1976,12,SOUTH DAKOTA,SD,US,STATE,1,CASES
1976,20,SOUTH DAKOTA,SD,US,STATE,2,CASES
1976,24,SOUTH DAKOTA,SD,US,STATE,2,CASES
1976,31,SOUTH DAKOTA,SD,US,STATE,1,CASES
1976,39,SOUTH DAKOTA,SD,US,STATE,2,CASES
1976,47,SOUTH DAKOTA,SD,US,STATE,2,CASES
1977,4,SOUTH DAKOTA,SD,US,STATE,1,CASES
1977,6,SOUTH DAKOTA,SD,US,STATE,8,CASES
1977,7,SOUTH DAKOTA,SD,US,STATE,3,CASES
1977,11,SOUTH DAKOTA,SD,US,STATE,1,CASES
1977,12,SOUTH DAKOTA,SD,US,STATE,2,CASES
1977,14,SOUTH DAKOTA,SD,US,STATE,10,CASES
1977,15,SOUTH DAKOTA,SD,US,STATE,25,CASES
1977,16,SOUTH DAKOTA,SD,US,STATE,5,CASES
1977,17,SOUTH DAKOTA,SD,US,STATE,1,CASES
1977,18,SOUTH DAKOTA,SD,US,STATE,2,CASES
1977,23,SOUTH DAKOTA,SD,US,STATE,1,CASES
1978,6,SOUTH DAKOTA,SD,US,STATE,1,CASES
1978,10,SOUTH DAKOTA,SD,US,STATE,1,CASES
1978,11,SOUTH DAKOTA,SD,US,STATE,2,CASES
1978,15,SOUTH DAKOTA,SD,US,STATE,1,CASES
1978,21,SOUTH DAKOTA,SD,US,STATE,1,CASES
1978,37,SOUTH DAKOTA,SD,US,STATE,1,CASES
1978,49,SOUTH DAKOTA,SD,US,STATE,1,CASES
1978,51,SOUTH DAKOTA,SD,US,STATE,1,CASES
1978,52,SOUTH DAKOTA,SD,US,STATE,2,CASES
1979,6,SOUTH DAKOTA,SD,US,STATE,1,CASES
1979,13,SOUTH DAKOTA,SD,US,STATE,1,CASES
1979,15,SOUTH DAKOTA,SD,US,STATE,1,CASES
1979,25,SOUTH DAKOTA,SD,US,STATE,1,CASES
1979,27,SOUTH DAKOTA,SD,US,STATE,1,CASES
1979,37,SOUTH DAKOTA,SD,US,STATE,2,CASES
1979,49,SOUTH DAKOTA,SD,US,STATE,4,CASES
1980,12,SOUTH DAKOTA,SD,US,STATE,1,CASES
1980,32,SOUTH DAKOTA,SD,US,STATE,1,CASES
1980,44,SOUTH DAKOTA,SD,US,STATE,2,CASES
1981,7,SOUTH DAKOTA,SD,US,STATE,1,CASES
1982,16,SOUTH DAKOTA,SD,US,STATE,1,CASES
1986,10,SOUTH DAKOTA,SD,US,STATE,1,CASES
1987,2,SOUTH DAKOTA,SD,US,STATE,3,CASES
1987,5,SOUTH DAKOTA,SD,US,STATE,5,CASES
1987,9,SOUTH DAKOTA,SD,US,STATE,2,CASES
1987,11,SOUTH DAKOTA,SD,US,STATE,1,CASES
1987,12,SOUTH DAKOTA,SD,US,STATE,1,CASES
1987,13,SOUTH DAKOTA,SD,US,STATE,1,CASES
1987,14,SOUTH DAKOTA,SD,US,STATE,2,CASES
1987,16,SOUTH DAKOTA,SD,US,STATE,5,CASES
1987,17,SOUTH DAKOTA,SD,US,STATE,13,CASES
1987,18,SOUTH DAKOTA,SD,US,STATE,5,CASES
1987,19,SOUTH DAKOTA,SD,US,STATE,13,CASES
1987,21,SOUTH DAKOTA,SD,US,STATE,13,CASES
1987,23,SOUTH DAKOTA,SD,US,STATE,8,CASES
1987,24,SOUTH DAKOTA,SD,US,STATE,6,CASES
1987,25,SOUTH DAKOTA,SD,US,STATE,2,CASES
1987,28,SOUTH DAKOTA,SD,US,STATE,2,CASES
1987,30,SOUTH DAKOTA,SD,US,STATE,3,CASES
1987,31,SOUTH DAKOTA,SD,US,STATE,2,CASES
1987,34,SOUTH DAKOTA,SD,US,STATE,2,CASES
1987,38,SOUTH DAKOTA,SD,US,STATE,1,CASES
1988,29,SOUTH DAKOTA,SD,US,STATE,1,CASES
1991,32,SOUTH DAKOTA,SD,US,STATE,1,CASES
1991,43,SOUTH DAKOTA,SD,US,STATE,1,CASES
