year,week,loc,state,country,loc_type,number,event
1937,44,TEXAS,TX,US,STATE,86,CASES
1937,45,TEXAS,TX,US,STATE,128,CASES
1937,46,TEXAS,TX,US,STATE,136,CASES
1937,47,TEXAS,TX,US,STATE,163,CASES
1937,48,TEXAS,TX,US,STATE,164,CASES
1937,49,TEXAS,TX,US,STATE,131,CASES
1937,50,TEXAS,TX,US,STATE,123,CASES
1937,51,TEXAS,TX,US,STATE,178,CASES
1937,52,TEXAS,TX,US,STATE,142,CASES
1938,1,TEXAS,TX,US,STATE,140,CASES
1938,2,TEXAS,TX,US,STATE,181,CASES
1938,3,TEXAS,TX,US,STATE,193,CASES
1938,4,TEXAS,TX,US,STATE,136,CASES
1938,5,TEXAS,TX,US,STATE,269,CASES
1938,6,TEXAS,TX,US,STATE,261,CASES
1938,7,TEXAS,TX,US,STATE,214,CASES
1938,8,TEXAS,TX,US,STATE,177,CASES
1938,9,TEXAS,TX,US,STATE,304,CASES
1938,10,TEXAS,TX,US,STATE,355,CASES
1938,11,TEXAS,TX,US,STATE,312,CASES
1938,12,TEXAS,TX,US,STATE,342,CASES
1938,13,TEXAS,TX,US,STATE,414,CASES
1938,14,TEXAS,TX,US,STATE,263,CASES
1938,15,TEXAS,TX,US,STATE,303,CASES
1938,16,TEXAS,TX,US,STATE,244,CASES
1938,17,TEXAS,TX,US,STATE,327,CASES
1938,18,TEXAS,TX,US,STATE,267,CASES
1938,19,TEXAS,TX,US,STATE,270,CASES
1938,20,TEXAS,TX,US,STATE,364,CASES
1938,21,TEXAS,TX,US,STATE,297,CASES
1938,22,TEXAS,TX,US,STATE,373,CASES
1938,23,TEXAS,TX,US,STATE,384,CASES
1938,24,TEXAS,TX,US,STATE,347,CASES
1938,25,TEXAS,TX,US,STATE,208,CASES
1938,26,TEXAS,TX,US,STATE,218,CASES
1938,27,TEXAS,TX,US,STATE,221,CASES
1938,28,TEXAS,TX,US,STATE,226,CASES
1938,29,TEXAS,TX,US,STATE,132,CASES
1938,30,TEXAS,TX,US,STATE,106,CASES
1938,31,TEXAS,TX,US,STATE,127,CASES
1938,32,TEXAS,TX,US,STATE,216,CASES
1938,33,TEXAS,TX,US,STATE,150,CASES
1938,34,TEXAS,TX,US,STATE,85,CASES
1938,35,TEXAS,TX,US,STATE,95,CASES
1938,36,TEXAS,TX,US,STATE,54,CASES
1938,37,TEXAS,TX,US,STATE,74,CASES
1938,38,TEXAS,TX,US,STATE,74,CASES
1938,39,TEXAS,TX,US,STATE,81,CASES
1938,40,TEXAS,TX,US,STATE,55,CASES
1938,41,TEXAS,TX,US,STATE,32,CASES
1938,42,TEXAS,TX,US,STATE,51,CASES
1938,43,TEXAS,TX,US,STATE,47,CASES
1938,44,TEXAS,TX,US,STATE,29,CASES
1938,45,TEXAS,TX,US,STATE,50,CASES
1938,46,TEXAS,TX,US,STATE,65,CASES
1938,47,TEXAS,TX,US,STATE,35,CASES
1938,48,TEXAS,TX,US,STATE,38,CASES
1938,49,TEXAS,TX,US,STATE,28,CASES
1938,50,TEXAS,TX,US,STATE,76,CASES
1938,51,TEXAS,TX,US,STATE,21,CASES
1938,52,TEXAS,TX,US,STATE,52,CASES
1939,1,TEXAS,TX,US,STATE,53,CASES
1939,2,TEXAS,TX,US,STATE,80,CASES
1939,3,TEXAS,TX,US,STATE,72,CASES
1939,4,TEXAS,TX,US,STATE,106,CASES
1939,5,TEXAS,TX,US,STATE,113,CASES
1939,6,TEXAS,TX,US,STATE,69,CASES
1939,7,TEXAS,TX,US,STATE,155,CASES
1939,8,TEXAS,TX,US,STATE,64,CASES
1939,9,TEXAS,TX,US,STATE,96,CASES
1939,10,TEXAS,TX,US,STATE,119,CASES
1939,11,TEXAS,TX,US,STATE,114,CASES
1939,12,TEXAS,TX,US,STATE,104,CASES
1939,13,TEXAS,TX,US,STATE,130,CASES
1939,14,TEXAS,TX,US,STATE,108,CASES
1939,15,TEXAS,TX,US,STATE,90,CASES
1939,16,TEXAS,TX,US,STATE,83,CASES
1939,17,TEXAS,TX,US,STATE,121,CASES
1939,18,TEXAS,TX,US,STATE,139,CASES
1939,19,TEXAS,TX,US,STATE,145,CASES
1939,20,TEXAS,TX,US,STATE,152,CASES
1939,21,TEXAS,TX,US,STATE,186,CASES
1939,22,TEXAS,TX,US,STATE,129,CASES
1939,23,TEXAS,TX,US,STATE,221,CASES
1939,24,TEXAS,TX,US,STATE,121,CASES
1939,25,TEXAS,TX,US,STATE,88,CASES
