year,week,loc,state,country,loc_type,number,event
1927,47,TEXAS,TX,US,STATE,66,CASES
1927,48,TEXAS,TX,US,STATE,50,CASES
1927,49,TEXAS,TX,US,STATE,78,CASES
1927,51,TEXAS,TX,US,STATE,98,CASES
1928,1,TEXAS,TX,US,STATE,119,CASES
1928,2,TEXAS,TX,US,STATE,90,CASES
1928,3,TEXAS,TX,US,STATE,56,CASES
1928,4,TEXAS,TX,US,STATE,58,CASES
1928,5,TEXAS,TX,US,STATE,141,CASES
1928,6,TEXAS,TX,US,STATE,110,CASES
1928,7,TEXAS,TX,US,STATE,88,CASES
1928,8,TEXAS,TX,US,STATE,51,CASES
1928,9,TEXAS,TX,US,STATE,89,CASES
1928,10,TEXAS,TX,US,STATE,134,CASES
1928,11,TEXAS,TX,US,STATE,28,CASES
1928,12,TEXAS,TX,US,STATE,144,CASES
1928,13,TEXAS,TX,US,STATE,53,CASES
1928,14,TEXAS,TX,US,STATE,145,CASES
1928,15,TEXAS,TX,US,STATE,65,CASES
1928,16,TEXAS,TX,US,STATE,52,CASES
1928,17,TEXAS,TX,US,STATE,53,CASES
1928,18,TEXAS,TX,US,STATE,101,CASES
1928,19,TEXAS,TX,US,STATE,66,CASES
1928,20,TEXAS,TX,US,STATE,87,CASES
1928,21,TEXAS,TX,US,STATE,55,CASES
1928,22,TEXAS,TX,US,STATE,58,CASES
1928,23,TEXAS,TX,US,STATE,84,CASES
1928,24,TEXAS,TX,US,STATE,20,CASES
1928,25,TEXAS,TX,US,STATE,25,CASES
1928,26,TEXAS,TX,US,STATE,31,CASES
1928,27,TEXAS,TX,US,STATE,8,CASES
1928,28,TEXAS,TX,US,STATE,21,CASES
1928,29,TEXAS,TX,US,STATE,8,CASES
1928,30,TEXAS,TX,US,STATE,3,CASES
1928,31,TEXAS,TX,US,STATE,7,CASES
1928,32,TEXAS,TX,US,STATE,15,CASES
1928,33,TEXAS,TX,US,STATE,8,CASES
1928,34,TEXAS,TX,US,STATE,5,CASES
1928,35,TEXAS,TX,US,STATE,10,CASES
1928,36,TEXAS,TX,US,STATE,12,CASES
1928,37,TEXAS,TX,US,STATE,15,CASES
1928,38,TEXAS,TX,US,STATE,14,CASES
1928,39,TEXAS,TX,US,STATE,10,CASES
1928,40,TEXAS,TX,US,STATE,26,CASES
1928,41,TEXAS,TX,US,STATE,18,CASES
1928,42,TEXAS,TX,US,STATE,22,CASES
1928,43,TEXAS,TX,US,STATE,8,CASES
1928,44,TEXAS,TX,US,STATE,36,CASES
1928,45,TEXAS,TX,US,STATE,39,CASES
1928,46,TEXAS,TX,US,STATE,38,CASES
1928,47,TEXAS,TX,US,STATE,35,CASES
1928,48,TEXAS,TX,US,STATE,41,CASES
1928,49,TEXAS,TX,US,STATE,60,CASES
1928,50,TEXAS,TX,US,STATE,66,CASES
1928,51,TEXAS,TX,US,STATE,60,CASES
1928,52,TEXAS,TX,US,STATE,15,CASES
1929,1,TEXAS,TX,US,STATE,88,CASES
1929,2,TEXAS,TX,US,STATE,56,CASES
1929,3,TEXAS,TX,US,STATE,31,CASES
1929,4,TEXAS,TX,US,STATE,53,CASES
1929,5,TEXAS,TX,US,STATE,72,CASES
1929,6,TEXAS,TX,US,STATE,76,CASES
1929,7,TEXAS,TX,US,STATE,59,CASES
1929,8,TEXAS,TX,US,STATE,53,CASES
1929,9,TEXAS,TX,US,STATE,70,CASES
1929,10,TEXAS,TX,US,STATE,74,CASES
1929,11,TEXAS,TX,US,STATE,45,CASES
1929,12,TEXAS,TX,US,STATE,71,CASES
1929,13,TEXAS,TX,US,STATE,72,CASES
1929,14,TEXAS,TX,US,STATE,88,CASES
1929,15,TEXAS,TX,US,STATE,75,CASES
1929,16,TEXAS,TX,US,STATE,45,CASES
1929,17,TEXAS,TX,US,STATE,67,CASES
1929,18,TEXAS,TX,US,STATE,71,CASES
1929,19,TEXAS,TX,US,STATE,80,CASES
1929,20,TEXAS,TX,US,STATE,31,CASES
1929,21,TEXAS,TX,US,STATE,55,CASES
1929,22,TEXAS,TX,US,STATE,50,CASES
1929,23,TEXAS,TX,US,STATE,55,CASES
1929,24,TEXAS,TX,US,STATE,54,CASES
1929,25,TEXAS,TX,US,STATE,21,CASES
1929,26,TEXAS,TX,US,STATE,24,CASES
1929,27,TEXAS,TX,US,STATE,7,CASES
1929,28,TEXAS,TX,US,STATE,22,CASES
1929,29,TEXAS,TX,US,STATE,12,CASES
1929,30,TEXAS,TX,US,STATE,17,CASES
1929,31,TEXAS,TX,US,STATE,16,CASES
1929,32,TEXAS,TX,US,STATE,18,CASES
1929,33,TEXAS,TX,US,STATE,24,CASES
1929,34,TEXAS,TX,US,STATE,8,CASES
1929,35,TEXAS,TX,US,STATE,15,CASES
1929,36,TEXAS,TX,US,STATE,32,CASES
1929,37,TEXAS,TX,US,STATE,17,CASES
1929,38,TEXAS,TX,US,STATE,13,CASES
1929,39,TEXAS,TX,US,STATE,17,CASES
1929,40,TEXAS,TX,US,STATE,38,CASES
1929,41,TEXAS,TX,US,STATE,28,CASES
1929,42,TEXAS,TX,US,STATE,28,CASES
1929,43,TEXAS,TX,US,STATE,31,CASES
1929,44,TEXAS,TX,US,STATE,28,CASES
1929,45,TEXAS,TX,US,STATE,53,CASES
1929,46,TEXAS,TX,US,STATE,32,CASES
1929,47,TEXAS,TX,US,STATE,34,CASES
1929,48,TEXAS,TX,US,STATE,34,CASES
1929,49,TEXAS,TX,US,STATE,48,CASES
1929,50,TEXAS,TX,US,STATE,114,CASES
1929,51,TEXAS,TX,US,STATE,56,CASES
1929,52,TEXAS,TX,US,STATE,61,CASES
1930,1,TEXAS,TX,US,STATE,32,CASES
1930,2,TEXAS,TX,US,STATE,73,CASES
1930,3,TEXAS,TX,US,STATE,52,CASES
1930,4,TEXAS,TX,US,STATE,47,CASES
1930,5,TEXAS,TX,US,STATE,70,CASES
1930,6,TEXAS,TX,US,STATE,94,CASES
1930,7,TEXAS,TX,US,STATE,57,CASES
1930,8,TEXAS,TX,US,STATE,43,CASES
1930,9,TEXAS,TX,US,STATE,40,CASES
1930,10,TEXAS,TX,US,STATE,104,CASES
1930,11,TEXAS,TX,US,STATE,85,CASES
1930,12,TEXAS,TX,US,STATE,58,CASES
1930,13,TEXAS,TX,US,STATE,63,CASES
1930,14,TEXAS,TX,US,STATE,54,CASES
1930,15,TEXAS,TX,US,STATE,42,CASES
1930,16,TEXAS,TX,US,STATE,32,CASES
1930,17,TEXAS,TX,US,STATE,42,CASES
1930,18,TEXAS,TX,US,STATE,26,CASES
1930,19,TEXAS,TX,US,STATE,42,CASES
1930,20,TEXAS,TX,US,STATE,34,CASES
1930,21,TEXAS,TX,US,STATE,28,CASES
1930,22,TEXAS,TX,US,STATE,26,CASES
1930,23,TEXAS,TX,US,STATE,18,CASES
1930,24,TEXAS,TX,US,STATE,13,CASES
1930,25,TEXAS,TX,US,STATE,11,CASES
1930,26,TEXAS,TX,US,STATE,14,CASES
1930,27,TEXAS,TX,US,STATE,18,CASES
