year,week,loc,state,country,loc_type,number,event
1937,43,UTAH,UT,US,STATE,17,CASES
1937,44,UTAH,UT,US,STATE,17,CASES
1937,45,UTAH,UT,US,STATE,14,CASES
1937,46,UTAH,UT,US,STATE,16,CASES
1937,47,UTAH,UT,US,STATE,18,CASES
1937,48,UTAH,UT,US,STATE,6,CASES
1937,49,UTAH,UT,US,STATE,12,CASES
1937,50,UTAH,UT,US,STATE,18,CASES
1937,51,UTAH,UT,US,STATE,5,CASES
1937,52,UTAH,UT,US,STATE,10,CASES
1938,1,UTAH,UT,US,STATE,20,CASES
1938,2,UTAH,UT,US,STATE,59,CASES
1938,3,UTAH,UT,US,STATE,29,CASES
1938,4,UTAH,UT,US,STATE,46,CASES
1938,5,UTAH,UT,US,STATE,83,CASES
1938,6,UTAH,UT,US,STATE,46,CASES
1938,7,UTAH,UT,US,STATE,30,CASES
1938,8,UTAH,UT,US,STATE,23,CASES
1938,9,UTAH,UT,US,STATE,28,CASES
1938,10,UTAH,UT,US,STATE,30,CASES
1938,11,UTAH,UT,US,STATE,38,CASES
1938,12,UTAH,UT,US,STATE,34,CASES
1938,13,UTAH,UT,US,STATE,47,CASES
1938,14,UTAH,UT,US,STATE,39,CASES
1938,15,UTAH,UT,US,STATE,27,CASES
1938,16,UTAH,UT,US,STATE,82,CASES
1938,17,UTAH,UT,US,STATE,60,CASES
1938,18,UTAH,UT,US,STATE,65,CASES
1938,19,UTAH,UT,US,STATE,60,CASES
1938,20,UTAH,UT,US,STATE,45,CASES
1938,21,UTAH,UT,US,STATE,60,CASES
1938,22,UTAH,UT,US,STATE,80,CASES
1938,23,UTAH,UT,US,STATE,51,CASES
1938,24,UTAH,UT,US,STATE,113,CASES
1938,25,UTAH,UT,US,STATE,693,CASES
1938,26,UTAH,UT,US,STATE,964,CASES
1938,27,UTAH,UT,US,STATE,663,CASES
1938,28,UTAH,UT,US,STATE,743,CASES
1938,29,UTAH,UT,US,STATE,502,CASES
1938,30,UTAH,UT,US,STATE,713,CASES
1938,31,UTAH,UT,US,STATE,522,CASES
1938,32,UTAH,UT,US,STATE,372,CASES
1938,33,UTAH,UT,US,STATE,332,CASES
1938,34,UTAH,UT,US,STATE,241,CASES
1938,35,UTAH,UT,US,STATE,281,CASES
1938,36,UTAH,UT,US,STATE,191,CASES
1938,37,UTAH,UT,US,STATE,301,CASES
1938,38,UTAH,UT,US,STATE,18,CASES
1938,39,UTAH,UT,US,STATE,31,CASES
1938,40,UTAH,UT,US,STATE,271,CASES
1938,41,UTAH,UT,US,STATE,9,CASES
1938,42,UTAH,UT,US,STATE,181,CASES
1938,43,UTAH,UT,US,STATE,15,CASES
1938,44,UTAH,UT,US,STATE,131,CASES
1938,45,UTAH,UT,US,STATE,21,CASES
1938,46,UTAH,UT,US,STATE,251,CASES
1938,47,UTAH,UT,US,STATE,141,CASES
1938,48,UTAH,UT,US,STATE,100,CASES
1938,49,UTAH,UT,US,STATE,161,CASES
1938,50,UTAH,UT,US,STATE,111,CASES
1938,51,UTAH,UT,US,STATE,18,CASES
1938,52,UTAH,UT,US,STATE,15,CASES
1939,1,UTAH,UT,US,STATE,119,CASES
1939,2,UTAH,UT,US,STATE,119,CASES
1939,3,UTAH,UT,US,STATE,70,CASES
1939,4,UTAH,UT,US,STATE,248,CASES
1939,5,UTAH,UT,US,STATE,17,CASES
1939,6,UTAH,UT,US,STATE,41,CASES
1939,7,UTAH,UT,US,STATE,28,CASES
1939,8,UTAH,UT,US,STATE,22,CASES
1939,9,UTAH,UT,US,STATE,51,CASES
1939,10,UTAH,UT,US,STATE,41,CASES
1939,11,UTAH,UT,US,STATE,36,CASES
1939,12,UTAH,UT,US,STATE,40,CASES
1939,13,UTAH,UT,US,STATE,35,CASES
1939,14,UTAH,UT,US,STATE,22,CASES
1939,15,UTAH,UT,US,STATE,29,CASES
1939,16,UTAH,UT,US,STATE,507,CASES
1939,17,UTAH,UT,US,STATE,566,CASES
1939,18,UTAH,UT,US,STATE,47,CASES
1939,19,UTAH,UT,US,STATE,755,CASES
1939,20,UTAH,UT,US,STATE,715,CASES
1939,21,UTAH,UT,US,STATE,52,CASES
1939,22,UTAH,UT,US,STATE,47,CASES
1939,23,UTAH,UT,US,STATE,68,CASES
1939,24,UTAH,UT,US,STATE,546,CASES
1939,25,UTAH,UT,US,STATE,46,CASES
1939,26,UTAH,UT,US,STATE,69,CASES
1939,27,UTAH,UT,US,STATE,546,CASES
1939,28,UTAH,UT,US,STATE,76,CASES
1939,29,UTAH,UT,US,STATE,48,CASES
1939,30,UTAH,UT,US,STATE,52,CASES
1939,31,UTAH,UT,US,STATE,53,CASES
1939,32,UTAH,UT,US,STATE,834,CASES
