year,week,loc,state,country,loc_type,number,event
1968,1,UTAH,UT,US,STATE,2,CASES
1968,2,UTAH,UT,US,STATE,12,CASES
1968,3,UTAH,UT,US,STATE,2,CASES
1968,4,UTAH,UT,US,STATE,4,CASES
1968,5,UTAH,UT,US,STATE,7,CASES
1968,6,UTAH,UT,US,STATE,14,CASES
1968,7,UTAH,UT,US,STATE,4,CASES
1968,8,UTAH,UT,US,STATE,1,CASES
1968,9,UTAH,UT,US,STATE,29,CASES
1968,10,UTAH,UT,US,STATE,3,CASES
1968,11,UTAH,UT,US,STATE,6,CASES
1968,12,UTAH,UT,US,STATE,21,CASES
1968,13,UTAH,UT,US,STATE,17,CASES
1968,14,UTAH,UT,US,STATE,35,CASES
1968,15,UTAH,UT,US,STATE,12,CASES
1968,16,UTAH,UT,US,STATE,18,CASES
1968,17,UTAH,UT,US,STATE,2,CASES
1968,18,UTAH,UT,US,STATE,34,CASES
1968,19,UTAH,UT,US,STATE,13,CASES
1968,20,UTAH,UT,US,STATE,10,CASES
1968,21,UTAH,UT,US,STATE,25,CASES
1968,22,UTAH,UT,US,STATE,13,CASES
1968,23,UTAH,UT,US,STATE,42,CASES
1968,24,UTAH,UT,US,STATE,14,CASES
1968,25,UTAH,UT,US,STATE,21,CASES
1968,26,UTAH,UT,US,STATE,7,CASES
1968,27,UTAH,UT,US,STATE,10,CASES
1968,28,UTAH,UT,US,STATE,37,CASES
1968,29,UTAH,UT,US,STATE,39,CASES
1968,30,UTAH,UT,US,STATE,4,CASES
1968,31,UTAH,UT,US,STATE,24,CASES
1968,33,UTAH,UT,US,STATE,32,CASES
1968,34,UTAH,UT,US,STATE,4,CASES
1968,35,UTAH,UT,US,STATE,7,CASES
1968,36,UTAH,UT,US,STATE,5,CASES
1968,37,UTAH,UT,US,STATE,4,CASES
1968,38,UTAH,UT,US,STATE,6,CASES
1968,39,UTAH,UT,US,STATE,8,CASES
1968,40,UTAH,UT,US,STATE,8,CASES
1968,41,UTAH,UT,US,STATE,14,CASES
1968,42,UTAH,UT,US,STATE,10,CASES
1968,43,UTAH,UT,US,STATE,10,CASES
1968,44,UTAH,UT,US,STATE,13,CASES
1968,45,UTAH,UT,US,STATE,10,CASES
1968,46,UTAH,UT,US,STATE,23,CASES
1968,47,UTAH,UT,US,STATE,7,CASES
1968,48,UTAH,UT,US,STATE,2,CASES
1968,49,UTAH,UT,US,STATE,18,CASES
1968,50,UTAH,UT,US,STATE,22,CASES
1968,51,UTAH,UT,US,STATE,5,CASES
1968,52,UTAH,UT,US,STATE,5,CASES
1969,1,UTAH,UT,US,STATE,1,CASES
1969,2,UTAH,UT,US,STATE,18,CASES
1969,3,UTAH,UT,US,STATE,3,CASES
1969,4,UTAH,UT,US,STATE,1,CASES
1969,5,UTAH,UT,US,STATE,2,CASES
1969,6,UTAH,UT,US,STATE,4,CASES
1969,7,UTAH,UT,US,STATE,6,CASES
1969,8,UTAH,UT,US,STATE,5,CASES
1969,9,UTAH,UT,US,STATE,2,CASES
1969,10,UTAH,UT,US,STATE,9,CASES
1969,12,UTAH,UT,US,STATE,17,CASES
1969,13,UTAH,UT,US,STATE,6,CASES
1969,14,UTAH,UT,US,STATE,14,CASES
1969,15,UTAH,UT,US,STATE,8,CASES
1969,16,UTAH,UT,US,STATE,7,CASES
1969,17,UTAH,UT,US,STATE,9,CASES
1969,18,UTAH,UT,US,STATE,13,CASES
1969,19,UTAH,UT,US,STATE,1,CASES
1969,20,UTAH,UT,US,STATE,29,CASES
1969,21,UTAH,UT,US,STATE,22,CASES
1969,23,UTAH,UT,US,STATE,6,CASES
1969,24,UTAH,UT,US,STATE,6,CASES
1969,25,UTAH,UT,US,STATE,1,CASES
1969,26,UTAH,UT,US,STATE,5,CASES
1969,27,UTAH,UT,US,STATE,2,CASES
1969,28,UTAH,UT,US,STATE,1,CASES
1969,29,UTAH,UT,US,STATE,5,CASES
1969,31,UTAH,UT,US,STATE,14,CASES
1969,32,UTAH,UT,US,STATE,4,CASES
1969,33,UTAH,UT,US,STATE,6,CASES
1969,34,UTAH,UT,US,STATE,6,CASES
1969,36,UTAH,UT,US,STATE,2,CASES
1969,37,UTAH,UT,US,STATE,5,CASES
1969,38,UTAH,UT,US,STATE,4,CASES
1969,39,UTAH,UT,US,STATE,6,CASES
1969,40,UTAH,UT,US,STATE,5,CASES
1969,42,UTAH,UT,US,STATE,6,CASES
1969,43,UTAH,UT,US,STATE,2,CASES
1969,44,UTAH,UT,US,STATE,6,CASES
1969,45,UTAH,UT,US,STATE,1,CASES
1969,46,UTAH,UT,US,STATE,6,CASES
1969,47,UTAH,UT,US,STATE,24,CASES
1969,48,UTAH,UT,US,STATE,9,CASES
1969,50,UTAH,UT,US,STATE,13,CASES
1969,51,UTAH,UT,US,STATE,18,CASES
1970,2,UTAH,UT,US,STATE,15,CASES
1970,3,UTAH,UT,US,STATE,14,CASES
1970,4,UTAH,UT,US,STATE,1,CASES
1970,5,UTAH,UT,US,STATE,8,CASES
1970,6,UTAH,UT,US,STATE,2,CASES
1970,7,UTAH,UT,US,STATE,7,CASES
1970,8,UTAH,UT,US,STATE,2,CASES
1970,9,UTAH,UT,US,STATE,10,CASES
1970,10,UTAH,UT,US,STATE,1,CASES
1970,11,UTAH,UT,US,STATE,2,CASES
1970,12,UTAH,UT,US,STATE,7,CASES
1970,14,UTAH,UT,US,STATE,1,CASES
1970,15,UTAH,UT,US,STATE,1,CASES
1970,17,UTAH,UT,US,STATE,2,CASES
1970,18,UTAH,UT,US,STATE,21,CASES
1970,19,UTAH,UT,US,STATE,6,CASES
1970,21,UTAH,UT,US,STATE,8,CASES
1970,23,UTAH,UT,US,STATE,6,CASES
1970,25,UTAH,UT,US,STATE,6,CASES
1970,30,UTAH,UT,US,STATE,1,CASES
1970,31,UTAH,UT,US,STATE,1,CASES
1970,33,UTAH,UT,US,STATE,2,CASES
1970,46,UTAH,UT,US,STATE,1,CASES
1970,47,UTAH,UT,US,STATE,3,CASES
1970,48,UTAH,UT,US,STATE,1,CASES
1971,1,UTAH,UT,US,STATE,1,CASES
1971,2,UTAH,UT,US,STATE,22,CASES
1971,4,UTAH,UT,US,STATE,6,CASES
1971,5,UTAH,UT,US,STATE,8,CASES
1971,6,UTAH,UT,US,STATE,10,CASES
1971,9,UTAH,UT,US,STATE,9,CASES
1971,10,UTAH,UT,US,STATE,3,CASES
1971,11,UTAH,UT,US,STATE,18,CASES
1971,15,UTAH,UT,US,STATE,7,CASES
1971,20,UTAH,UT,US,STATE,6,CASES
1971,23,UTAH,UT,US,STATE,46,CASES
1971,24,UTAH,UT,US,STATE,4,CASES
1971,25,UTAH,UT,US,STATE,1,CASES
1971,27,UTAH,UT,US,STATE,2,CASES
1971,29,UTAH,UT,US,STATE,4,CASES
1971,30,UTAH,UT,US,STATE,3,CASES
1971,32,UTAH,UT,US,STATE,6,CASES
1971,40,UTAH,UT,US,STATE,6,CASES
1971,42,UTAH,UT,US,STATE,4,CASES
1971,45,UTAH,UT,US,STATE,4,CASES
1971,47,UTAH,UT,US,STATE,7,CASES
1971,48,UTAH,UT,US,STATE,7,CASES
1971,49,UTAH,UT,US,STATE,1,CASES
1971,50,UTAH,UT,US,STATE,1,CASES
1972,1,UTAH,UT,US,STATE,1,CASES
1972,6,UTAH,UT,US,STATE,8,CASES
1972,7,UTAH,UT,US,STATE,1,CASES
1972,10,UTAH,UT,US,STATE,7,CASES
1972,11,UTAH,UT,US,STATE,1,CASES
1972,14,UTAH,UT,US,STATE,1,CASES
1972,15,UTAH,UT,US,STATE,10,CASES
1972,18,UTAH,UT,US,STATE,25,CASES
1972,19,UTAH,UT,US,STATE,18,CASES
1972,20,UTAH,UT,US,STATE,1,CASES
1972,21,UTAH,UT,US,STATE,7,CASES
1972,22,UTAH,UT,US,STATE,15,CASES
1972,23,UTAH,UT,US,STATE,5,CASES
1972,24,UTAH,UT,US,STATE,7,CASES
1972,25,UTAH,UT,US,STATE,19,CASES
1972,29,UTAH,UT,US,STATE,3,CASES
1972,30,UTAH,UT,US,STATE,2,CASES
1972,32,UTAH,UT,US,STATE,7,CASES
