year,week,loc,state,country,loc_type,number,event
1921,20,VIRGINIA,VA,US,STATE,1,CASES
1922,42,VIRGINIA,VA,US,STATE,2,CASES
1922,50,VIRGINIA,VA,US,STATE,24,CASES
1922,51,VIRGINIA,VA,US,STATE,1,CASES
1923,42,VIRGINIA,VA,US,STATE,2,CASES
1932,26,VIRGINIA,VA,US,STATE,38,CASES
1932,27,VIRGINIA,VA,US,STATE,58,CASES
1932,28,VIRGINIA,VA,US,STATE,29,CASES
1932,29,VIRGINIA,VA,US,STATE,40,CASES
1932,30,VIRGINIA,VA,US,STATE,37,CASES
1932,31,VIRGINIA,VA,US,STATE,22,CASES
1932,32,VIRGINIA,VA,US,STATE,17,CASES
1932,33,VIRGINIA,VA,US,STATE,12,CASES
1932,34,VIRGINIA,VA,US,STATE,25,CASES
1932,35,VIRGINIA,VA,US,STATE,5,CASES
1932,36,VIRGINIA,VA,US,STATE,7,CASES
1932,37,VIRGINIA,VA,US,STATE,13,CASES
1932,38,VIRGINIA,VA,US,STATE,10,CASES
1932,39,VIRGINIA,VA,US,STATE,18,CASES
1932,40,VIRGINIA,VA,US,STATE,45,CASES
1932,41,VIRGINIA,VA,US,STATE,11,CASES
1932,42,VIRGINIA,VA,US,STATE,31,CASES
1932,43,VIRGINIA,VA,US,STATE,58,CASES
1932,44,VIRGINIA,VA,US,STATE,34,CASES
1932,45,VIRGINIA,VA,US,STATE,43,CASES
1932,46,VIRGINIA,VA,US,STATE,43,CASES
1932,47,VIRGINIA,VA,US,STATE,61,CASES
1932,48,VIRGINIA,VA,US,STATE,113,CASES
1932,49,VIRGINIA,VA,US,STATE,187,CASES
1932,50,VIRGINIA,VA,US,STATE,147,CASES
1932,51,VIRGINIA,VA,US,STATE,92,CASES
1932,52,VIRGINIA,VA,US,STATE,113,CASES
1933,1,VIRGINIA,VA,US,STATE,139,CASES
1933,2,VIRGINIA,VA,US,STATE,176,CASES
1933,3,VIRGINIA,VA,US,STATE,178,CASES
1933,4,VIRGINIA,VA,US,STATE,329,CASES
1933,5,VIRGINIA,VA,US,STATE,106,CASES
1933,6,VIRGINIA,VA,US,STATE,414,CASES
1933,7,VIRGINIA,VA,US,STATE,444,CASES
1933,8,VIRGINIA,VA,US,STATE,288,CASES
1933,9,VIRGINIA,VA,US,STATE,399,CASES
1933,10,VIRGINIA,VA,US,STATE,647,CASES
1933,11,VIRGINIA,VA,US,STATE,473,CASES
1933,12,VIRGINIA,VA,US,STATE,480,CASES
1933,13,VIRGINIA,VA,US,STATE,380,CASES
1933,14,VIRGINIA,VA,US,STATE,274,CASES
1933,15,VIRGINIA,VA,US,STATE,406,CASES
1933,16,VIRGINIA,VA,US,STATE,341,CASES
1933,17,VIRGINIA,VA,US,STATE,279,CASES
1933,18,VIRGINIA,VA,US,STATE,214,CASES
1933,19,VIRGINIA,VA,US,STATE,340,CASES
1933,20,VIRGINIA,VA,US,STATE,365,CASES
1933,21,VIRGINIA,VA,US,STATE,241,CASES
1933,22,VIRGINIA,VA,US,STATE,214,CASES
1933,23,VIRGINIA,VA,US,STATE,224,CASES
1933,24,VIRGINIA,VA,US,STATE,150,CASES
1933,25,VIRGINIA,VA,US,STATE,174,CASES
1933,26,VIRGINIA,VA,US,STATE,97,CASES
1933,27,VIRGINIA,VA,US,STATE,55,CASES
1933,28,VIRGINIA,VA,US,STATE,93,CASES
1933,29,VIRGINIA,VA,US,STATE,37,CASES
1933,30,VIRGINIA,VA,US,STATE,18,CASES
1933,31,VIRGINIA,VA,US,STATE,26,CASES
1933,32,VIRGINIA,VA,US,STATE,31,CASES
1933,33,VIRGINIA,VA,US,STATE,22,CASES
1933,34,VIRGINIA,VA,US,STATE,15,CASES
1933,35,VIRGINIA,VA,US,STATE,9,CASES
1933,36,VIRGINIA,VA,US,STATE,22,CASES
1933,37,VIRGINIA,VA,US,STATE,6,CASES
1933,38,VIRGINIA,VA,US,STATE,12,CASES
1933,39,VIRGINIA,VA,US,STATE,8,CASES
1933,40,VIRGINIA,VA,US,STATE,5,CASES
1933,41,VIRGINIA,VA,US,STATE,15,CASES
1933,42,VIRGINIA,VA,US,STATE,11,CASES
1933,43,VIRGINIA,VA,US,STATE,6,CASES
1933,44,VIRGINIA,VA,US,STATE,38,CASES
1933,45,VIRGINIA,VA,US,STATE,43,CASES
1933,46,VIRGINIA,VA,US,STATE,28,CASES
1933,47,VIRGINIA,VA,US,STATE,24,CASES
1933,48,VIRGINIA,VA,US,STATE,46,CASES
1933,49,VIRGINIA,VA,US,STATE,45,CASES
1933,50,VIRGINIA,VA,US,STATE,87,CASES
1933,51,VIRGINIA,VA,US,STATE,73,CASES
1933,52,VIRGINIA,VA,US,STATE,109,CASES
1934,1,VIRGINIA,VA,US,STATE,232,CASES
1934,2,VIRGINIA,VA,US,STATE,309,CASES
1934,3,VIRGINIA,VA,US,STATE,499,CASES
1934,4,VIRGINIA,VA,US,STATE,570,CASES
1934,5,VIRGINIA,VA,US,STATE,675,CASES
1934,6,VIRGINIA,VA,US,STATE,785,CASES
1934,7,VIRGINIA,VA,US,STATE,725,CASES
1934,8,VIRGINIA,VA,US,STATE,1131,CASES
1934,9,VIRGINIA,VA,US,STATE,940,CASES
1934,10,VIRGINIA,VA,US,STATE,1334,CASES
1934,11,VIRGINIA,VA,US,STATE,1697,CASES
1934,12,VIRGINIA,VA,US,STATE,1290,CASES
1934,13,VIRGINIA,VA,US,STATE,976,CASES
1934,14,VIRGINIA,VA,US,STATE,2035,CASES
1934,15,VIRGINIA,VA,US,STATE,1377,CASES
1934,16,VIRGINIA,VA,US,STATE,1400,CASES
1934,17,VIRGINIA,VA,US,STATE,1310,CASES
1934,18,VIRGINIA,VA,US,STATE,1139,CASES
1934,19,VIRGINIA,VA,US,STATE,1407,CASES
1934,20,VIRGINIA,VA,US,STATE,1375,CASES
1934,21,VIRGINIA,VA,US,STATE,1131,CASES
1934,22,VIRGINIA,VA,US,STATE,945,CASES
1934,23,VIRGINIA,VA,US,STATE,955,CASES
1934,24,VIRGINIA,VA,US,STATE,776,CASES
1934,25,VIRGINIA,VA,US,STATE,742,CASES
1934,26,VIRGINIA,VA,US,STATE,500,CASES
1934,27,VIRGINIA,VA,US,STATE,276,CASES
1934,28,VIRGINIA,VA,US,STATE,151,CASES
1934,29,VIRGINIA,VA,US,STATE,211,CASES
1934,30,VIRGINIA,VA,US,STATE,107,CASES
1934,31,VIRGINIA,VA,US,STATE,56,CASES
1934,32,VIRGINIA,VA,US,STATE,41,CASES
1934,33,VIRGINIA,VA,US,STATE,72,CASES
1934,34,VIRGINIA,VA,US,STATE,17,CASES
1934,35,VIRGINIA,VA,US,STATE,15,CASES
1934,36,VIRGINIA,VA,US,STATE,19,CASES
1934,37,VIRGINIA,VA,US,STATE,10,CASES
1934,38,VIRGINIA,VA,US,STATE,6,CASES
1934,39,VIRGINIA,VA,US,STATE,14,CASES
1934,40,VIRGINIA,VA,US,STATE,27,CASES
1934,41,VIRGINIA,VA,US,STATE,22,CASES
1934,42,VIRGINIA,VA,US,STATE,44,CASES
1934,43,VIRGINIA,VA,US,STATE,118,CASES
1934,44,VIRGINIA,VA,US,STATE,194,CASES
1934,45,VIRGINIA,VA,US,STATE,124,CASES
1934,46,VIRGINIA,VA,US,STATE,139,CASES
