year,week,loc,state,country,loc_type,number,event
1927,47,VERMONT,VT,US,STATE,1,CASES
1927,48,VERMONT,VT,US,STATE,0,CASES
1928,1,VERMONT,VT,US,STATE,2,CASES
1928,4,VERMONT,VT,US,STATE,1,CASES
1928,6,VERMONT,VT,US,STATE,1,CASES
1928,10,VERMONT,VT,US,STATE,1,CASES
1928,13,VERMONT,VT,US,STATE,1,CASES
1928,15,VERMONT,VT,US,STATE,1,CASES
1928,16,VERMONT,VT,US,STATE,2,CASES
1928,26,VERMONT,VT,US,STATE,1,CASES
1928,28,VERMONT,VT,US,STATE,1,CASES
1928,30,VERMONT,VT,US,STATE,1,CASES
1928,32,VERMONT,VT,US,STATE,1,CASES
1928,33,VERMONT,VT,US,STATE,2,CASES
1928,40,VERMONT,VT,US,STATE,6,CASES
1928,41,VERMONT,VT,US,STATE,1,CASES
1928,42,VERMONT,VT,US,STATE,1,CASES
1928,43,VERMONT,VT,US,STATE,6,CASES
1928,44,VERMONT,VT,US,STATE,4,CASES
1928,46,VERMONT,VT,US,STATE,2,CASES
1928,47,VERMONT,VT,US,STATE,2,CASES
1928,51,VERMONT,VT,US,STATE,3,CASES
1928,52,VERMONT,VT,US,STATE,1,CASES
1929,3,VERMONT,VT,US,STATE,4,CASES
1929,4,VERMONT,VT,US,STATE,1,CASES
1929,5,VERMONT,VT,US,STATE,3,CASES
1929,8,VERMONT,VT,US,STATE,2,CASES
1929,10,VERMONT,VT,US,STATE,1,CASES
1929,12,VERMONT,VT,US,STATE,3,CASES
1929,14,VERMONT,VT,US,STATE,2,CASES
1929,17,VERMONT,VT,US,STATE,1,CASES
1929,20,VERMONT,VT,US,STATE,1,CASES
1929,27,VERMONT,VT,US,STATE,1,CASES
1929,28,VERMONT,VT,US,STATE,1,CASES
1929,29,VERMONT,VT,US,STATE,1,CASES
1929,30,VERMONT,VT,US,STATE,1,CASES
1929,32,VERMONT,VT,US,STATE,2,CASES
1929,33,VERMONT,VT,US,STATE,1,CASES
1929,34,VERMONT,VT,US,STATE,1,CASES
1929,36,VERMONT,VT,US,STATE,1,CASES
1929,39,VERMONT,VT,US,STATE,3,CASES
1929,40,VERMONT,VT,US,STATE,4,CASES
1929,41,VERMONT,VT,US,STATE,2,CASES
1929,43,VERMONT,VT,US,STATE,1,CASES
1929,44,VERMONT,VT,US,STATE,3,CASES
1929,45,VERMONT,VT,US,STATE,2,CASES
1929,46,VERMONT,VT,US,STATE,5,CASES
1929,47,VERMONT,VT,US,STATE,3,CASES
1929,48,VERMONT,VT,US,STATE,3,CASES
1929,49,VERMONT,VT,US,STATE,2,CASES
1929,50,VERMONT,VT,US,STATE,2,CASES
1929,51,VERMONT,VT,US,STATE,1,CASES
1929,52,VERMONT,VT,US,STATE,2,CASES
1930,3,VERMONT,VT,US,STATE,1,CASES
1930,4,VERMONT,VT,US,STATE,1,CASES
1930,5,VERMONT,VT,US,STATE,2,CASES
1930,7,VERMONT,VT,US,STATE,3,CASES
1930,8,VERMONT,VT,US,STATE,2,CASES
1930,10,VERMONT,VT,US,STATE,1,CASES
1930,11,VERMONT,VT,US,STATE,4,CASES
1930,13,VERMONT,VT,US,STATE,2,CASES
1930,14,VERMONT,VT,US,STATE,2,CASES
1930,16,VERMONT,VT,US,STATE,3,CASES
1930,19,VERMONT,VT,US,STATE,1,CASES
1930,22,VERMONT,VT,US,STATE,1,CASES
1930,26,VERMONT,VT,US,STATE,1,CASES
1930,27,VERMONT,VT,US,STATE,2,CASES
