year,week,loc,state,country,loc_type,number,event
1927,47,VERMONT,VT,US,STATE,0,CASES
1927,48,VERMONT,VT,US,STATE,2,CASES
1928,1,VERMONT,VT,US,STATE,1,CASES
1928,2,VERMONT,VT,US,STATE,2,CASES
1928,3,VERMONT,VT,US,STATE,4,CASES
1928,4,VERMONT,VT,US,STATE,24,CASES
1928,5,VERMONT,VT,US,STATE,24,CASES
1928,6,VERMONT,VT,US,STATE,4,CASES
1928,7,VERMONT,VT,US,STATE,6,CASES
1928,8,VERMONT,VT,US,STATE,4,CASES
1928,9,VERMONT,VT,US,STATE,21,CASES
1928,10,VERMONT,VT,US,STATE,47,CASES
1928,11,VERMONT,VT,US,STATE,31,CASES
1928,12,VERMONT,VT,US,STATE,98,CASES
1928,13,VERMONT,VT,US,STATE,88,CASES
1928,14,VERMONT,VT,US,STATE,56,CASES
1928,15,VERMONT,VT,US,STATE,40,CASES
1928,16,VERMONT,VT,US,STATE,30,CASES
1928,17,VERMONT,VT,US,STATE,32,CASES
1928,18,VERMONT,VT,US,STATE,25,CASES
1928,19,VERMONT,VT,US,STATE,73,CASES
1928,20,VERMONT,VT,US,STATE,23,CASES
1928,21,VERMONT,VT,US,STATE,45,CASES
1928,22,VERMONT,VT,US,STATE,53,CASES
1928,23,VERMONT,VT,US,STATE,49,CASES
1928,24,VERMONT,VT,US,STATE,45,CASES
1928,25,VERMONT,VT,US,STATE,34,CASES
1928,26,VERMONT,VT,US,STATE,56,CASES
1928,27,VERMONT,VT,US,STATE,16,CASES
1928,28,VERMONT,VT,US,STATE,66,CASES
1928,29,VERMONT,VT,US,STATE,18,CASES
1928,30,VERMONT,VT,US,STATE,18,CASES
1928,31,VERMONT,VT,US,STATE,15,CASES
1928,32,VERMONT,VT,US,STATE,4,CASES
1928,33,VERMONT,VT,US,STATE,1,CASES
1928,34,VERMONT,VT,US,STATE,2,CASES
1928,35,VERMONT,VT,US,STATE,1,CASES
1928,38,VERMONT,VT,US,STATE,1,CASES
1928,39,VERMONT,VT,US,STATE,2,CASES
1928,41,VERMONT,VT,US,STATE,2,CASES
1928,42,VERMONT,VT,US,STATE,1,CASES
1928,43,VERMONT,VT,US,STATE,3,CASES
1928,44,VERMONT,VT,US,STATE,2,CASES
1928,45,VERMONT,VT,US,STATE,1,CASES
1928,46,VERMONT,VT,US,STATE,75,CASES
1928,48,VERMONT,VT,US,STATE,5,CASES
1928,49,VERMONT,VT,US,STATE,17,CASES
1928,51,VERMONT,VT,US,STATE,12,CASES
1928,52,VERMONT,VT,US,STATE,15,CASES
1929,1,VERMONT,VT,US,STATE,4,CASES
1929,2,VERMONT,VT,US,STATE,9,CASES
1929,3,VERMONT,VT,US,STATE,24,CASES
1929,5,VERMONT,VT,US,STATE,25,CASES
1929,6,VERMONT,VT,US,STATE,11,CASES
1929,7,VERMONT,VT,US,STATE,18,CASES
1929,8,VERMONT,VT,US,STATE,13,CASES
1929,9,VERMONT,VT,US,STATE,66,CASES
1929,10,VERMONT,VT,US,STATE,1,CASES
1929,11,VERMONT,VT,US,STATE,19,CASES
1929,12,VERMONT,VT,US,STATE,7,CASES
1929,14,VERMONT,VT,US,STATE,2,CASES
1929,15,VERMONT,VT,US,STATE,3,CASES
1929,16,VERMONT,VT,US,STATE,4,CASES
1929,17,VERMONT,VT,US,STATE,3,CASES
1929,18,VERMONT,VT,US,STATE,6,CASES
1929,19,VERMONT,VT,US,STATE,9,CASES
1929,20,VERMONT,VT,US,STATE,4,CASES
1929,21,VERMONT,VT,US,STATE,1,CASES
1929,22,VERMONT,VT,US,STATE,1,CASES
1929,25,VERMONT,VT,US,STATE,2,CASES
1929,26,VERMONT,VT,US,STATE,1,CASES
1929,27,VERMONT,VT,US,STATE,3,CASES
1929,29,VERMONT,VT,US,STATE,16,CASES
1929,30,VERMONT,VT,US,STATE,3,CASES
1929,31,VERMONT,VT,US,STATE,5,CASES
1929,32,VERMONT,VT,US,STATE,1,CASES
1929,33,VERMONT,VT,US,STATE,2,CASES
1929,34,VERMONT,VT,US,STATE,1,CASES
1929,35,VERMONT,VT,US,STATE,2,CASES
1929,36,VERMONT,VT,US,STATE,3,CASES
1929,38,VERMONT,VT,US,STATE,8,CASES
1929,42,VERMONT,VT,US,STATE,1,CASES
1929,45,VERMONT,VT,US,STATE,1,CASES
1929,46,VERMONT,VT,US,STATE,4,CASES
1929,47,VERMONT,VT,US,STATE,7,CASES
1929,48,VERMONT,VT,US,STATE,5,CASES
1929,49,VERMONT,VT,US,STATE,6,CASES
1929,50,VERMONT,VT,US,STATE,30,CASES
1929,51,VERMONT,VT,US,STATE,6,CASES
1929,52,VERMONT,VT,US,STATE,41,CASES
1930,1,VERMONT,VT,US,STATE,13,CASES
1930,2,VERMONT,VT,US,STATE,22,CASES
1930,3,VERMONT,VT,US,STATE,13,CASES
1930,4,VERMONT,VT,US,STATE,18,CASES
1930,6,VERMONT,VT,US,STATE,2,CASES
1930,7,VERMONT,VT,US,STATE,7,CASES
1930,8,VERMONT,VT,US,STATE,7,CASES
1930,9,VERMONT,VT,US,STATE,1,CASES
1930,10,VERMONT,VT,US,STATE,2,CASES
1930,11,VERMONT,VT,US,STATE,38,CASES
1930,12,VERMONT,VT,US,STATE,18,CASES
1930,13,VERMONT,VT,US,STATE,60,CASES
1930,14,VERMONT,VT,US,STATE,51,CASES
1930,15,VERMONT,VT,US,STATE,13,CASES
1930,16,VERMONT,VT,US,STATE,92,CASES
1930,17,VERMONT,VT,US,STATE,80,CASES
1930,18,VERMONT,VT,US,STATE,49,CASES
1930,19,VERMONT,VT,US,STATE,42,CASES
1930,20,VERMONT,VT,US,STATE,39,CASES
1930,21,VERMONT,VT,US,STATE,50,CASES
1930,22,VERMONT,VT,US,STATE,30,CASES
1930,23,VERMONT,VT,US,STATE,44,CASES
1930,24,VERMONT,VT,US,STATE,25,CASES
1930,25,VERMONT,VT,US,STATE,39,CASES
1930,26,VERMONT,VT,US,STATE,21,CASES
1930,27,VERMONT,VT,US,STATE,9,CASES
1930,28,VERMONT,VT,US,STATE,10,CASES
1930,29,VERMONT,VT,US,STATE,2,CASES
1930,30,VERMONT,VT,US,STATE,1,CASES
1930,31,VERMONT,VT,US,STATE,6,CASES
1930,32,VERMONT,VT,US,STATE,3,CASES
1930,34,VERMONT,VT,US,STATE,5,CASES
1930,38,VERMONT,VT,US,STATE,1,CASES
1930,39,VERMONT,VT,US,STATE,1,CASES
1930,40,VERMONT,VT,US,STATE,1,CASES
1930,42,VERMONT,VT,US,STATE,4,CASES
1930,44,VERMONT,VT,US,STATE,6,CASES
1930,45,VERMONT,VT,US,STATE,3,CASES
1930,46,VERMONT,VT,US,STATE,11,CASES
1930,47,VERMONT,VT,US,STATE,1,CASES
1930,49,VERMONT,VT,US,STATE,1,CASES
1930,50,VERMONT,VT,US,STATE,11,CASES
1930,53,VERMONT,VT,US,STATE,8,CASES
1931,1,VERMONT,VT,US,STATE,14,CASES
1931,2,VERMONT,VT,US,STATE,25,CASES
1931,3,VERMONT,VT,US,STATE,8,CASES
1931,4,VERMONT,VT,US,STATE,12,CASES
1931,6,VERMONT,VT,US,STATE,23,CASES
1931,7,VERMONT,VT,US,STATE,9,CASES
1931,8,VERMONT,VT,US,STATE,4,CASES
1931,9,VERMONT,VT,US,STATE,1,CASES
1931,11,VERMONT,VT,US,STATE,9,CASES
1931,12,VERMONT,VT,US,STATE,5,CASES
1931,13,VERMONT,VT,US,STATE,1,CASES
1931,14,VERMONT,VT,US,STATE,3,CASES
1931,15,VERMONT,VT,US,STATE,1,CASES
1931,16,VERMONT,VT,US,STATE,1,CASES
1931,18,VERMONT,VT,US,STATE,1,CASES
1931,19,VERMONT,VT,US,STATE,7,CASES
1931,21,VERMONT,VT,US,STATE,42,CASES
1931,22,VERMONT,VT,US,STATE,1,CASES
1931,23,VERMONT,VT,US,STATE,54,CASES
1931,24,VERMONT,VT,US,STATE,15,CASES
1931,25,VERMONT,VT,US,STATE,55,CASES
1931,26,VERMONT,VT,US,STATE,43,CASES
1931,27,VERMONT,VT,US,STATE,24,CASES
1931,29,VERMONT,VT,US,STATE,21,CASES
1931,30,VERMONT,VT,US,STATE,1,CASES
1931,31,VERMONT,VT,US,STATE,4,CASES
1931,32,VERMONT,VT,US,STATE,6,CASES
1931,33,VERMONT,VT,US,STATE,2,CASES
1931,34,VERMONT,VT,US,STATE,1,CASES
1931,36,VERMONT,VT,US,STATE,4,CASES
1931,37,VERMONT,VT,US,STATE,1,CASES
1931,38,VERMONT,VT,US,STATE,1,CASES
1931,39,VERMONT,VT,US,STATE,9,CASES
1931,40,VERMONT,VT,US,STATE,1,CASES
1931,41,VERMONT,VT,US,STATE,21,CASES
1931,42,VERMONT,VT,US,STATE,41,CASES
1931,44,VERMONT,VT,US,STATE,66,CASES
1931,45,VERMONT,VT,US,STATE,21,CASES
1931,46,VERMONT,VT,US,STATE,41,CASES
1931,47,VERMONT,VT,US,STATE,64,CASES
1931,48,VERMONT,VT,US,STATE,42,CASES
1931,49,VERMONT,VT,US,STATE,87,CASES
1931,50,VERMONT,VT,US,STATE,101,CASES
1931,51,VERMONT,VT,US,STATE,88,CASES
1931,52,VERMONT,VT,US,STATE,162,CASES
1932,1,VERMONT,VT,US,STATE,193,CASES
1932,2,VERMONT,VT,US,STATE,205,CASES
1932,3,VERMONT,VT,US,STATE,334,CASES
1932,4,VERMONT,VT,US,STATE,197,CASES
1932,5,VERMONT,VT,US,STATE,100,CASES
1932,6,VERMONT,VT,US,STATE,143,CASES
1932,7,VERMONT,VT,US,STATE,45,CASES
1932,8,VERMONT,VT,US,STATE,89,CASES
1932,9,VERMONT,VT,US,STATE,69,CASES
1932,10,VERMONT,VT,US,STATE,32,CASES
1932,11,VERMONT,VT,US,STATE,73,CASES
1932,12,VERMONT,VT,US,STATE,70,CASES
1932,13,VERMONT,VT,US,STATE,110,CASES
1932,14,VERMONT,VT,US,STATE,73,CASES
1932,15,VERMONT,VT,US,STATE,39,CASES
1932,16,VERMONT,VT,US,STATE,119,CASES
1932,17,VERMONT,VT,US,STATE,97,CASES
1932,18,VERMONT,VT,US,STATE,190,CASES
1932,19,VERMONT,VT,US,STATE,190,CASES
1932,20,VERMONT,VT,US,STATE,262,CASES
1932,21,VERMONT,VT,US,STATE,269,CASES
