year,week,loc,state,country,loc_type,number,event
1927,47,VERMONT,VT,US,STATE,8,CASES
1927,48,VERMONT,VT,US,STATE,1,CASES
1927,51,VERMONT,VT,US,STATE,6,CASES
1927,52,VERMONT,VT,US,STATE,8,CASES
1928,1,VERMONT,VT,US,STATE,2,CASES
1928,2,VERMONT,VT,US,STATE,0,CASES
1928,3,VERMONT,VT,US,STATE,7,CASES
1928,4,VERMONT,VT,US,STATE,17,CASES
1928,5,VERMONT,VT,US,STATE,8,CASES
1928,6,VERMONT,VT,US,STATE,12,CASES
1928,7,VERMONT,VT,US,STATE,6,CASES
1928,8,VERMONT,VT,US,STATE,20,CASES
1928,9,VERMONT,VT,US,STATE,2,CASES
1928,10,VERMONT,VT,US,STATE,13,CASES
1928,11,VERMONT,VT,US,STATE,3,CASES
1928,12,VERMONT,VT,US,STATE,17,CASES
1928,13,VERMONT,VT,US,STATE,11,CASES
1928,14,VERMONT,VT,US,STATE,2,CASES
1928,15,VERMONT,VT,US,STATE,1,CASES
1928,16,VERMONT,VT,US,STATE,2,CASES
1928,17,VERMONT,VT,US,STATE,10,CASES
1928,18,VERMONT,VT,US,STATE,9,CASES
1928,19,VERMONT,VT,US,STATE,1,CASES
1928,20,VERMONT,VT,US,STATE,6,CASES
1928,21,VERMONT,VT,US,STATE,6,CASES
1928,22,VERMONT,VT,US,STATE,9,CASES
1928,23,VERMONT,VT,US,STATE,4,CASES
1928,24,VERMONT,VT,US,STATE,6,CASES
1928,25,VERMONT,VT,US,STATE,8,CASES
1928,26,VERMONT,VT,US,STATE,6,CASES
1928,27,VERMONT,VT,US,STATE,4,CASES
1928,28,VERMONT,VT,US,STATE,2,CASES
1928,29,VERMONT,VT,US,STATE,5,CASES
1928,30,VERMONT,VT,US,STATE,1,CASES
1928,31,VERMONT,VT,US,STATE,0,CASES
1928,32,VERMONT,VT,US,STATE,3,CASES
1928,33,VERMONT,VT,US,STATE,4,CASES
1928,34,VERMONT,VT,US,STATE,5,CASES
1928,35,VERMONT,VT,US,STATE,3,CASES
1928,36,VERMONT,VT,US,STATE,3,CASES
1928,37,VERMONT,VT,US,STATE,1,CASES
1928,38,VERMONT,VT,US,STATE,3,CASES
1928,39,VERMONT,VT,US,STATE,4,CASES
1928,40,VERMONT,VT,US,STATE,13,CASES
1928,41,VERMONT,VT,US,STATE,1,CASES
1928,42,VERMONT,VT,US,STATE,2,CASES
1928,43,VERMONT,VT,US,STATE,6,CASES
1928,44,VERMONT,VT,US,STATE,2,CASES
1928,45,VERMONT,VT,US,STATE,6,CASES
1928,46,VERMONT,VT,US,STATE,15,CASES
1928,47,VERMONT,VT,US,STATE,15,CASES
1928,48,VERMONT,VT,US,STATE,10,CASES
1928,49,VERMONT,VT,US,STATE,14,CASES
1928,50,VERMONT,VT,US,STATE,12,CASES
1928,51,VERMONT,VT,US,STATE,5,CASES
1928,52,VERMONT,VT,US,STATE,10,CASES
1929,1,VERMONT,VT,US,STATE,9,CASES
1929,2,VERMONT,VT,US,STATE,13,CASES
1929,3,VERMONT,VT,US,STATE,5,CASES
1929,4,VERMONT,VT,US,STATE,4,CASES
1929,5,VERMONT,VT,US,STATE,4,CASES
1929,6,VERMONT,VT,US,STATE,0,CASES
1929,7,VERMONT,VT,US,STATE,7,CASES
1929,8,VERMONT,VT,US,STATE,5,CASES
1929,9,VERMONT,VT,US,STATE,9,CASES
1929,10,VERMONT,VT,US,STATE,8,CASES
1929,11,VERMONT,VT,US,STATE,12,CASES
1929,12,VERMONT,VT,US,STATE,20,CASES
1929,13,VERMONT,VT,US,STATE,5,CASES
1929,14,VERMONT,VT,US,STATE,4,CASES
1929,15,VERMONT,VT,US,STATE,9,CASES
1929,16,VERMONT,VT,US,STATE,6,CASES
1929,17,VERMONT,VT,US,STATE,12,CASES
1929,18,VERMONT,VT,US,STATE,9,CASES
1929,19,VERMONT,VT,US,STATE,10,CASES
1929,20,VERMONT,VT,US,STATE,14,CASES
1929,21,VERMONT,VT,US,STATE,9,CASES
1929,22,VERMONT,VT,US,STATE,16,CASES
1929,23,VERMONT,VT,US,STATE,2,CASES
1929,24,VERMONT,VT,US,STATE,1,CASES
1929,25,VERMONT,VT,US,STATE,1,CASES
1929,26,VERMONT,VT,US,STATE,3,CASES
1929,28,VERMONT,VT,US,STATE,0,CASES
1929,29,VERMONT,VT,US,STATE,2,CASES
1929,30,VERMONT,VT,US,STATE,2,CASES
1929,31,VERMONT,VT,US,STATE,4,CASES
1929,32,VERMONT,VT,US,STATE,0,CASES
1929,34,VERMONT,VT,US,STATE,0,CASES
1929,35,VERMONT,VT,US,STATE,2,CASES
1929,38,VERMONT,VT,US,STATE,9,CASES
1929,39,VERMONT,VT,US,STATE,2,CASES
1929,40,VERMONT,VT,US,STATE,1,CASES
1929,41,VERMONT,VT,US,STATE,6,CASES
1929,42,VERMONT,VT,US,STATE,2,CASES
1929,43,VERMONT,VT,US,STATE,3,CASES
1929,44,VERMONT,VT,US,STATE,6,CASES
1929,45,VERMONT,VT,US,STATE,22,CASES
1929,46,VERMONT,VT,US,STATE,5,CASES
1929,47,VERMONT,VT,US,STATE,17,CASES
1929,48,VERMONT,VT,US,STATE,11,CASES
1929,49,VERMONT,VT,US,STATE,1,CASES
1929,50,VERMONT,VT,US,STATE,11,CASES
1929,51,VERMONT,VT,US,STATE,11,CASES
1929,52,VERMONT,VT,US,STATE,13,CASES
1930,1,VERMONT,VT,US,STATE,14,CASES
1930,2,VERMONT,VT,US,STATE,12,CASES
1930,3,VERMONT,VT,US,STATE,5,CASES
1930,4,VERMONT,VT,US,STATE,15,CASES
1930,5,VERMONT,VT,US,STATE,5,CASES
1930,6,VERMONT,VT,US,STATE,6,CASES
1930,7,VERMONT,VT,US,STATE,7,CASES
1930,8,VERMONT,VT,US,STATE,8,CASES
1930,9,VERMONT,VT,US,STATE,7,CASES
1930,10,VERMONT,VT,US,STATE,5,CASES
1930,11,VERMONT,VT,US,STATE,8,CASES
1930,12,VERMONT,VT,US,STATE,12,CASES
1930,13,VERMONT,VT,US,STATE,7,CASES
1930,14,VERMONT,VT,US,STATE,22,CASES
1930,15,VERMONT,VT,US,STATE,8,CASES
1930,16,VERMONT,VT,US,STATE,5,CASES
1930,17,VERMONT,VT,US,STATE,11,CASES
1930,18,VERMONT,VT,US,STATE,2,CASES
1930,19,VERMONT,VT,US,STATE,6,CASES
1930,20,VERMONT,VT,US,STATE,4,CASES
1930,21,VERMONT,VT,US,STATE,3,CASES
1930,22,VERMONT,VT,US,STATE,7,CASES
1930,23,VERMONT,VT,US,STATE,5,CASES
1930,24,VERMONT,VT,US,STATE,8,CASES
1930,25,VERMONT,VT,US,STATE,5,CASES
1930,26,VERMONT,VT,US,STATE,2,CASES
1930,27,VERMONT,VT,US,STATE,8,CASES
1930,28,VERMONT,VT,US,STATE,0,CASES
1930,29,VERMONT,VT,US,STATE,3,CASES
1930,30,VERMONT,VT,US,STATE,1,CASES
1930,31,VERMONT,VT,US,STATE,1,CASES
1930,32,VERMONT,VT,US,STATE,1,CASES
1930,33,VERMONT,VT,US,STATE,2,CASES
1930,34,VERMONT,VT,US,STATE,1,CASES
1930,35,VERMONT,VT,US,STATE,2,CASES
1930,36,VERMONT,VT,US,STATE,1,CASES
1930,37,VERMONT,VT,US,STATE,2,CASES
1930,38,VERMONT,VT,US,STATE,1,CASES
1930,39,VERMONT,VT,US,STATE,3,CASES
1930,40,VERMONT,VT,US,STATE,0,CASES
1930,41,VERMONT,VT,US,STATE,2,CASES
1930,42,VERMONT,VT,US,STATE,8,CASES
1930,43,VERMONT,VT,US,STATE,10,CASES
1930,44,VERMONT,VT,US,STATE,3,CASES
1930,45,VERMONT,VT,US,STATE,6,CASES
1930,46,VERMONT,VT,US,STATE,1,CASES
1930,47,VERMONT,VT,US,STATE,13,CASES
1930,48,VERMONT,VT,US,STATE,1,CASES
1930,49,VERMONT,VT,US,STATE,7,CASES
1930,50,VERMONT,VT,US,STATE,7,CASES
1930,51,VERMONT,VT,US,STATE,5,CASES
1930,52,VERMONT,VT,US,STATE,4,CASES
1930,53,VERMONT,VT,US,STATE,1,CASES
1931,1,VERMONT,VT,US,STATE,9,CASES
1931,2,VERMONT,VT,US,STATE,8,CASES
1931,3,VERMONT,VT,US,STATE,2,CASES
1931,4,VERMONT,VT,US,STATE,2,CASES
1931,5,VERMONT,VT,US,STATE,1,CASES
1931,6,VERMONT,VT,US,STATE,12,CASES
1931,7,VERMONT,VT,US,STATE,1,CASES
1931,8,VERMONT,VT,US,STATE,7,CASES
1931,9,VERMONT,VT,US,STATE,5,CASES
1931,10,VERMONT,VT,US,STATE,9,CASES
1931,11,VERMONT,VT,US,STATE,8,CASES
1931,12,VERMONT,VT,US,STATE,7,CASES
1931,13,VERMONT,VT,US,STATE,2,CASES
1931,14,VERMONT,VT,US,STATE,2,CASES
1931,15,VERMONT,VT,US,STATE,2,CASES
1931,16,VERMONT,VT,US,STATE,4,CASES
1931,17,VERMONT,VT,US,STATE,2,CASES
1931,18,VERMONT,VT,US,STATE,0,CASES
1931,19,VERMONT,VT,US,STATE,3,CASES
1931,20,VERMONT,VT,US,STATE,7,CASES
1931,21,VERMONT,VT,US,STATE,3,CASES
1931,22,VERMONT,VT,US,STATE,3,CASES
1931,23,VERMONT,VT,US,STATE,4,CASES
1931,24,VERMONT,VT,US,STATE,5,CASES
1931,25,VERMONT,VT,US,STATE,7,CASES
1931,26,VERMONT,VT,US,STATE,2,CASES
1931,27,VERMONT,VT,US,STATE,2,CASES
1931,28,VERMONT,VT,US,STATE,8,CASES
1931,29,VERMONT,VT,US,STATE,7,CASES
1931,30,VERMONT,VT,US,STATE,1,CASES
1931,31,VERMONT,VT,US,STATE,2,CASES
1931,32,VERMONT,VT,US,STATE,12,CASES
1931,33,VERMONT,VT,US,STATE,4,CASES
1931,34,VERMONT,VT,US,STATE,2,CASES
1931,35,VERMONT,VT,US,STATE,0,CASES
1931,36,VERMONT,VT,US,STATE,1,CASES
1931,37,VERMONT,VT,US,STATE,3,CASES
1931,38,VERMONT,VT,US,STATE,3,CASES
1931,39,VERMONT,VT,US,STATE,10,CASES
1931,40,VERMONT,VT,US,STATE,4,CASES
1931,41,VERMONT,VT,US,STATE,4,CASES
1931,42,VERMONT,VT,US,STATE,7,CASES
1931,43,VERMONT,VT,US,STATE,6,CASES
1931,44,VERMONT,VT,US,STATE,11,CASES
1931,45,VERMONT,VT,US,STATE,14,CASES
1931,46,VERMONT,VT,US,STATE,5,CASES
1931,47,VERMONT,VT,US,STATE,4,CASES
1931,48,VERMONT,VT,US,STATE,5,CASES
1931,49,VERMONT,VT,US,STATE,8,CASES
1931,50,VERMONT,VT,US,STATE,7,CASES
1931,51,VERMONT,VT,US,STATE,10,CASES
1931,52,VERMONT,VT,US,STATE,12,CASES
1932,1,VERMONT,VT,US,STATE,4,CASES
1932,2,VERMONT,VT,US,STATE,2,CASES
1932,3,VERMONT,VT,US,STATE,7,CASES
1932,4,VERMONT,VT,US,STATE,7,CASES
1932,5,VERMONT,VT,US,STATE,6,CASES
1932,6,VERMONT,VT,US,STATE,19,CASES
1932,7,VERMONT,VT,US,STATE,7,CASES
1932,8,VERMONT,VT,US,STATE,20,CASES
1932,9,VERMONT,VT,US,STATE,9,CASES
1932,10,VERMONT,VT,US,STATE,22,CASES
1932,11,VERMONT,VT,US,STATE,8,CASES
1932,12,VERMONT,VT,US,STATE,10,CASES
1932,13,VERMONT,VT,US,STATE,4,CASES
1932,14,VERMONT,VT,US,STATE,7,CASES
1932,15,VERMONT,VT,US,STATE,9,CASES
1932,16,VERMONT,VT,US,STATE,14,CASES
1932,17,VERMONT,VT,US,STATE,4,CASES
1932,18,VERMONT,VT,US,STATE,4,CASES
1932,19,VERMONT,VT,US,STATE,11,CASES
1932,20,VERMONT,VT,US,STATE,12,CASES
1932,21,VERMONT,VT,US,STATE,6,CASES
1932,22,VERMONT,VT,US,STATE,15,CASES
1932,23,VERMONT,VT,US,STATE,8,CASES
1932,24,VERMONT,VT,US,STATE,15,CASES
1932,25,VERMONT,VT,US,STATE,4,CASES
1932,26,VERMONT,VT,US,STATE,3,CASES
1932,27,VERMONT,VT,US,STATE,3,CASES
1932,28,VERMONT,VT,US,STATE,4,CASES
1932,29,VERMONT,VT,US,STATE,14,CASES
1932,30,VERMONT,VT,US,STATE,2,CASES
1932,31,VERMONT,VT,US,STATE,4,CASES
1932,32,VERMONT,VT,US,STATE,4,CASES
1932,33,VERMONT,VT,US,STATE,5,CASES
1932,34,VERMONT,VT,US,STATE,8,CASES
1932,35,VERMONT,VT,US,STATE,5,CASES
1932,36,VERMONT,VT,US,STATE,4,CASES
1932,37,VERMONT,VT,US,STATE,8,CASES
1932,38,VERMONT,VT,US,STATE,2,CASES
1932,39,VERMONT,VT,US,STATE,3,CASES
1932,40,VERMONT,VT,US,STATE,8,CASES
1932,41,VERMONT,VT,US,STATE,6,CASES
1932,42,VERMONT,VT,US,STATE,2,CASES
1932,43,VERMONT,VT,US,STATE,11,CASES
1932,44,VERMONT,VT,US,STATE,3,CASES
1932,45,VERMONT,VT,US,STATE,4,CASES
1932,46,VERMONT,VT,US,STATE,8,CASES
1932,47,VERMONT,VT,US,STATE,7,CASES
1932,48,VERMONT,VT,US,STATE,12,CASES
1932,49,VERMONT,VT,US,STATE,11,CASES
1932,50,VERMONT,VT,US,STATE,11,CASES
1932,51,VERMONT,VT,US,STATE,2,CASES
1932,52,VERMONT,VT,US,STATE,11,CASES
