year,week,loc,state,country,loc_type,number,event
1966,1,WASHINGTON,WA,US,STATE,70,CASES
1966,2,WASHINGTON,WA,US,STATE,88,CASES
1966,3,WASHINGTON,WA,US,STATE,79,CASES
1966,4,WASHINGTON,WA,US,STATE,89,CASES
1966,5,WASHINGTON,WA,US,STATE,150,CASES
1966,6,WASHINGTON,WA,US,STATE,108,CASES
1966,7,WASHINGTON,WA,US,STATE,153,CASES
1966,8,WASHINGTON,WA,US,STATE,93,CASES
1966,9,WASHINGTON,WA,US,STATE,186,CASES
1966,10,WASHINGTON,WA,US,STATE,112,CASES
1966,11,WASHINGTON,WA,US,STATE,109,CASES
1966,12,WASHINGTON,WA,US,STATE,105,CASES
1966,13,WASHINGTON,WA,US,STATE,84,CASES
1966,14,WASHINGTON,WA,US,STATE,77,CASES
1966,15,WASHINGTON,WA,US,STATE,140,CASES
1966,16,WASHINGTON,WA,US,STATE,85,CASES
1966,17,WASHINGTON,WA,US,STATE,126,CASES
1966,18,WASHINGTON,WA,US,STATE,83,CASES
1966,19,WASHINGTON,WA,US,STATE,81,CASES
1966,20,WASHINGTON,WA,US,STATE,56,CASES
1966,21,WASHINGTON,WA,US,STATE,112,CASES
1966,22,WASHINGTON,WA,US,STATE,146,CASES
1966,23,WASHINGTON,WA,US,STATE,93,CASES
1966,24,WASHINGTON,WA,US,STATE,32,CASES
1966,25,WASHINGTON,WA,US,STATE,19,CASES
1966,26,WASHINGTON,WA,US,STATE,10,CASES
1966,27,WASHINGTON,WA,US,STATE,8,CASES
1966,28,WASHINGTON,WA,US,STATE,6,CASES
1966,29,WASHINGTON,WA,US,STATE,8,CASES
1966,30,WASHINGTON,WA,US,STATE,11,CASES
1966,31,WASHINGTON,WA,US,STATE,15,CASES
1966,32,WASHINGTON,WA,US,STATE,6,CASES
1966,33,WASHINGTON,WA,US,STATE,24,CASES
1966,34,WASHINGTON,WA,US,STATE,5,CASES
1966,35,WASHINGTON,WA,US,STATE,20,CASES
1966,36,WASHINGTON,WA,US,STATE,4,CASES
1966,37,WASHINGTON,WA,US,STATE,5,CASES
1966,38,WASHINGTON,WA,US,STATE,23,CASES
1966,39,WASHINGTON,WA,US,STATE,70,CASES
1966,40,WASHINGTON,WA,US,STATE,23,CASES
1966,41,WASHINGTON,WA,US,STATE,35,CASES
1966,42,WASHINGTON,WA,US,STATE,46,CASES
1966,43,WASHINGTON,WA,US,STATE,49,CASES
1966,46,WASHINGTON,WA,US,STATE,41,CASES
1966,47,WASHINGTON,WA,US,STATE,35,CASES
1966,48,WASHINGTON,WA,US,STATE,90,CASES
1966,50,WASHINGTON,WA,US,STATE,64,CASES
1966,51,WASHINGTON,WA,US,STATE,40,CASES
1966,52,WASHINGTON,WA,US,STATE,15,CASES
1967,1,WASHINGTON,WA,US,STATE,23,CASES
1967,2,WASHINGTON,WA,US,STATE,46,CASES
1967,3,WASHINGTON,WA,US,STATE,98,CASES
1967,4,WASHINGTON,WA,US,STATE,163,CASES
1967,5,WASHINGTON,WA,US,STATE,70,CASES
1967,6,WASHINGTON,WA,US,STATE,75,CASES
1967,7,WASHINGTON,WA,US,STATE,116,CASES
1967,8,WASHINGTON,WA,US,STATE,95,CASES
1967,9,WASHINGTON,WA,US,STATE,65,CASES
1967,10,WASHINGTON,WA,US,STATE,163,CASES
1967,11,WASHINGTON,WA,US,STATE,116,CASES
1967,12,WASHINGTON,WA,US,STATE,65,CASES
1967,13,WASHINGTON,WA,US,STATE,113,CASES
1967,14,WASHINGTON,WA,US,STATE,132,CASES
1967,15,WASHINGTON,WA,US,STATE,77,CASES
1967,16,WASHINGTON,WA,US,STATE,126,CASES
1967,17,WASHINGTON,WA,US,STATE,130,CASES
1967,19,WASHINGTON,WA,US,STATE,141,CASES
1967,20,WASHINGTON,WA,US,STATE,179,CASES
1967,21,WASHINGTON,WA,US,STATE,237,CASES
1967,22,WASHINGTON,WA,US,STATE,195,CASES
1967,23,WASHINGTON,WA,US,STATE,108,CASES
1967,24,WASHINGTON,WA,US,STATE,35,CASES
1967,25,WASHINGTON,WA,US,STATE,7,CASES
1967,26,WASHINGTON,WA,US,STATE,22,CASES
1967,27,WASHINGTON,WA,US,STATE,8,CASES
1967,28,WASHINGTON,WA,US,STATE,2,CASES
1967,29,WASHINGTON,WA,US,STATE,8,CASES
1967,30,WASHINGTON,WA,US,STATE,2,CASES
1967,31,WASHINGTON,WA,US,STATE,6,CASES
1967,33,WASHINGTON,WA,US,STATE,7,CASES
