year,week,loc,state,country,loc_type,number,event
1937,43,WISCONSIN,WI,US,STATE,240,CASES
1937,44,WISCONSIN,WI,US,STATE,182,CASES
1937,45,WISCONSIN,WI,US,STATE,154,CASES
1937,46,WISCONSIN,WI,US,STATE,170,CASES
1937,47,WISCONSIN,WI,US,STATE,163,CASES
1937,48,WISCONSIN,WI,US,STATE,177,CASES
1937,49,WISCONSIN,WI,US,STATE,163,CASES
1937,50,WISCONSIN,WI,US,STATE,153,CASES
1937,51,WISCONSIN,WI,US,STATE,146,CASES
1938,1,WISCONSIN,WI,US,STATE,121,CASES
1938,2,WISCONSIN,WI,US,STATE,182,CASES
1938,3,WISCONSIN,WI,US,STATE,142,CASES
1938,4,WISCONSIN,WI,US,STATE,198,CASES
1938,5,WISCONSIN,WI,US,STATE,129,CASES
1938,6,WISCONSIN,WI,US,STATE,152,CASES
1938,7,WISCONSIN,WI,US,STATE,102,CASES
1938,8,WISCONSIN,WI,US,STATE,136,CASES
1938,9,WISCONSIN,WI,US,STATE,141,CASES
1938,10,WISCONSIN,WI,US,STATE,108,CASES
1938,11,WISCONSIN,WI,US,STATE,140,CASES
1938,12,WISCONSIN,WI,US,STATE,126,CASES
1938,13,WISCONSIN,WI,US,STATE,180,CASES
1938,14,WISCONSIN,WI,US,STATE,131,CASES
1938,15,WISCONSIN,WI,US,STATE,192,CASES
1938,16,WISCONSIN,WI,US,STATE,174,CASES
1938,17,WISCONSIN,WI,US,STATE,255,CASES
1938,18,WISCONSIN,WI,US,STATE,179,CASES
1938,19,WISCONSIN,WI,US,STATE,187,CASES
1938,20,WISCONSIN,WI,US,STATE,208,CASES
1938,21,WISCONSIN,WI,US,STATE,209,CASES
1938,22,WISCONSIN,WI,US,STATE,191,CASES
1938,23,WISCONSIN,WI,US,STATE,197,CASES
1938,24,WISCONSIN,WI,US,STATE,170,CASES
1938,25,WISCONSIN,WI,US,STATE,367,CASES
1938,26,WISCONSIN,WI,US,STATE,369,CASES
1938,27,WISCONSIN,WI,US,STATE,330,CASES
1938,28,WISCONSIN,WI,US,STATE,437,CASES
1938,29,WISCONSIN,WI,US,STATE,597,CASES
1938,30,WISCONSIN,WI,US,STATE,601,CASES
1938,31,WISCONSIN,WI,US,STATE,649,CASES
1938,32,WISCONSIN,WI,US,STATE,820,CASES
1938,33,WISCONSIN,WI,US,STATE,761,CASES
1938,34,WISCONSIN,WI,US,STATE,608,CASES
1938,35,WISCONSIN,WI,US,STATE,716,CASES
1938,36,WISCONSIN,WI,US,STATE,683,CASES
1938,37,WISCONSIN,WI,US,STATE,540,CASES
1938,38,WISCONSIN,WI,US,STATE,327,CASES
1938,39,WISCONSIN,WI,US,STATE,287,CASES
1938,40,WISCONSIN,WI,US,STATE,517,CASES
1938,41,WISCONSIN,WI,US,STATE,237,CASES
1938,42,WISCONSIN,WI,US,STATE,560,CASES
1938,43,WISCONSIN,WI,US,STATE,336,CASES
1938,44,WISCONSIN,WI,US,STATE,666,CASES
1938,45,WISCONSIN,WI,US,STATE,378,CASES
1938,46,WISCONSIN,WI,US,STATE,775,CASES
