year,week,loc,state,country,loc_type,number,event
1927,47,WISCONSIN,WI,US,STATE,85,CASES
1927,48,WISCONSIN,WI,US,STATE,120,CASES
1927,49,WISCONSIN,WI,US,STATE,84,CASES
1927,51,WISCONSIN,WI,US,STATE,106,CASES
1927,52,WISCONSIN,WI,US,STATE,39,CASES
1928,1,WISCONSIN,WI,US,STATE,45,CASES
1928,2,WISCONSIN,WI,US,STATE,28,CASES
1928,3,WISCONSIN,WI,US,STATE,140,CASES
1928,4,WISCONSIN,WI,US,STATE,48,CASES
1928,5,WISCONSIN,WI,US,STATE,85,CASES
1928,6,WISCONSIN,WI,US,STATE,95,CASES
1928,7,WISCONSIN,WI,US,STATE,47,CASES
1928,8,WISCONSIN,WI,US,STATE,80,CASES
1928,9,WISCONSIN,WI,US,STATE,89,CASES
1928,10,WISCONSIN,WI,US,STATE,120,CASES
1928,11,WISCONSIN,WI,US,STATE,134,CASES
1928,12,WISCONSIN,WI,US,STATE,106,CASES
1928,13,WISCONSIN,WI,US,STATE,149,CASES
1928,14,WISCONSIN,WI,US,STATE,127,CASES
1928,15,WISCONSIN,WI,US,STATE,101,CASES
1928,16,WISCONSIN,WI,US,STATE,125,CASES
1928,17,WISCONSIN,WI,US,STATE,49,CASES
1928,18,WISCONSIN,WI,US,STATE,82,CASES
1928,19,WISCONSIN,WI,US,STATE,71,CASES
1928,20,WISCONSIN,WI,US,STATE,86,CASES
1928,21,WISCONSIN,WI,US,STATE,61,CASES
1928,22,WISCONSIN,WI,US,STATE,57,CASES
1928,23,WISCONSIN,WI,US,STATE,116,CASES
1928,24,WISCONSIN,WI,US,STATE,48,CASES
1928,25,WISCONSIN,WI,US,STATE,64,CASES
1928,26,WISCONSIN,WI,US,STATE,41,CASES
1928,27,WISCONSIN,WI,US,STATE,32,CASES
1928,28,WISCONSIN,WI,US,STATE,24,CASES
1928,29,WISCONSIN,WI,US,STATE,23,CASES
1928,30,WISCONSIN,WI,US,STATE,18,CASES
1928,31,WISCONSIN,WI,US,STATE,18,CASES
1928,32,WISCONSIN,WI,US,STATE,19,CASES
1928,33,WISCONSIN,WI,US,STATE,17,CASES
1928,34,WISCONSIN,WI,US,STATE,19,CASES
1928,35,WISCONSIN,WI,US,STATE,4,CASES
1928,36,WISCONSIN,WI,US,STATE,19,CASES
1928,37,WISCONSIN,WI,US,STATE,12,CASES
1928,38,WISCONSIN,WI,US,STATE,21,CASES
1928,39,WISCONSIN,WI,US,STATE,27,CASES
1928,41,WISCONSIN,WI,US,STATE,27,CASES
1928,42,WISCONSIN,WI,US,STATE,50,CASES
1928,43,WISCONSIN,WI,US,STATE,90,CASES
1928,44,WISCONSIN,WI,US,STATE,81,CASES
1928,45,WISCONSIN,WI,US,STATE,69,CASES
1928,46,WISCONSIN,WI,US,STATE,73,CASES
1928,47,WISCONSIN,WI,US,STATE,61,CASES
1928,48,WISCONSIN,WI,US,STATE,147,CASES
1928,49,WISCONSIN,WI,US,STATE,118,CASES
1928,50,WISCONSIN,WI,US,STATE,160,CASES
1928,51,WISCONSIN,WI,US,STATE,162,CASES
1928,52,WISCONSIN,WI,US,STATE,149,CASES
1929,1,WISCONSIN,WI,US,STATE,139,CASES
1929,2,WISCONSIN,WI,US,STATE,191,CASES
1929,3,WISCONSIN,WI,US,STATE,154,CASES
1929,4,WISCONSIN,WI,US,STATE,217,CASES
1929,5,WISCONSIN,WI,US,STATE,392,CASES
1929,6,WISCONSIN,WI,US,STATE,461,CASES
1929,7,WISCONSIN,WI,US,STATE,460,CASES
1929,8,WISCONSIN,WI,US,STATE,621,CASES
1929,9,WISCONSIN,WI,US,STATE,930,CASES
1929,10,WISCONSIN,WI,US,STATE,850,CASES
1929,11,WISCONSIN,WI,US,STATE,563,CASES
1929,12,WISCONSIN,WI,US,STATE,1142,CASES
1929,13,WISCONSIN,WI,US,STATE,863,CASES
1929,14,WISCONSIN,WI,US,STATE,914,CASES
1929,15,WISCONSIN,WI,US,STATE,1293,CASES
1929,16,WISCONSIN,WI,US,STATE,1229,CASES
1929,17,WISCONSIN,WI,US,STATE,1314,CASES
1929,18,WISCONSIN,WI,US,STATE,1535,CASES
1929,19,WISCONSIN,WI,US,STATE,1491,CASES
1929,20,WISCONSIN,WI,US,STATE,1657,CASES
1929,21,WISCONSIN,WI,US,STATE,1423,CASES
1929,22,WISCONSIN,WI,US,STATE,1372,CASES
1929,23,WISCONSIN,WI,US,STATE,1203,CASES
1929,24,WISCONSIN,WI,US,STATE,1334,CASES
1929,25,WISCONSIN,WI,US,STATE,914,CASES
1929,26,WISCONSIN,WI,US,STATE,761,CASES
1929,27,WISCONSIN,WI,US,STATE,676,CASES
1929,28,WISCONSIN,WI,US,STATE,482,CASES
1929,29,WISCONSIN,WI,US,STATE,333,CASES
1929,30,WISCONSIN,WI,US,STATE,275,CASES
1929,31,WISCONSIN,WI,US,STATE,184,CASES
1929,32,WISCONSIN,WI,US,STATE,117,CASES
1929,33,WISCONSIN,WI,US,STATE,57,CASES
1929,34,WISCONSIN,WI,US,STATE,39,CASES
1929,35,WISCONSIN,WI,US,STATE,29,CASES
1929,36,WISCONSIN,WI,US,STATE,24,CASES
1929,37,WISCONSIN,WI,US,STATE,34,CASES
1929,38,WISCONSIN,WI,US,STATE,34,CASES
1929,39,WISCONSIN,WI,US,STATE,43,CASES
1929,40,WISCONSIN,WI,US,STATE,89,CASES
1929,41,WISCONSIN,WI,US,STATE,78,CASES
1929,42,WISCONSIN,WI,US,STATE,194,CASES
1929,43,WISCONSIN,WI,US,STATE,182,CASES
1929,44,WISCONSIN,WI,US,STATE,163,CASES
1929,45,WISCONSIN,WI,US,STATE,194,CASES
1929,46,WISCONSIN,WI,US,STATE,308,CASES
1929,47,WISCONSIN,WI,US,STATE,458,CASES
