year,week,loc,state,country,loc_type,number,event
1968,1,WEST VIRGINIA,WV,US,STATE,129,CASES
1968,2,WEST VIRGINIA,WV,US,STATE,351,CASES
1968,3,WEST VIRGINIA,WV,US,STATE,160,CASES
1968,4,WEST VIRGINIA,WV,US,STATE,116,CASES
1968,5,WEST VIRGINIA,WV,US,STATE,156,CASES
1968,6,WEST VIRGINIA,WV,US,STATE,140,CASES
1968,7,WEST VIRGINIA,WV,US,STATE,97,CASES
1968,8,WEST VIRGINIA,WV,US,STATE,80,CASES
1968,9,WEST VIRGINIA,WV,US,STATE,89,CASES
1968,10,WEST VIRGINIA,WV,US,STATE,100,CASES
1968,11,WEST VIRGINIA,WV,US,STATE,97,CASES
1968,12,WEST VIRGINIA,WV,US,STATE,148,CASES
1968,13,WEST VIRGINIA,WV,US,STATE,124,CASES
1968,14,WEST VIRGINIA,WV,US,STATE,96,CASES
1968,15,WEST VIRGINIA,WV,US,STATE,55,CASES
1968,16,WEST VIRGINIA,WV,US,STATE,75,CASES
1968,17,WEST VIRGINIA,WV,US,STATE,72,CASES
1968,18,WEST VIRGINIA,WV,US,STATE,48,CASES
1968,19,WEST VIRGINIA,WV,US,STATE,65,CASES
1968,20,WEST VIRGINIA,WV,US,STATE,51,CASES
1968,21,WEST VIRGINIA,WV,US,STATE,51,CASES
1968,22,WEST VIRGINIA,WV,US,STATE,38,CASES
1968,23,WEST VIRGINIA,WV,US,STATE,66,CASES
1968,24,WEST VIRGINIA,WV,US,STATE,42,CASES
1968,25,WEST VIRGINIA,WV,US,STATE,45,CASES
1968,26,WEST VIRGINIA,WV,US,STATE,33,CASES
1968,27,WEST VIRGINIA,WV,US,STATE,19,CASES
1968,28,WEST VIRGINIA,WV,US,STATE,25,CASES
1968,29,WEST VIRGINIA,WV,US,STATE,39,CASES
1968,30,WEST VIRGINIA,WV,US,STATE,16,CASES
1968,31,WEST VIRGINIA,WV,US,STATE,35,CASES
1968,32,WEST VIRGINIA,WV,US,STATE,24,CASES
1968,33,WEST VIRGINIA,WV,US,STATE,23,CASES
1968,34,WEST VIRGINIA,WV,US,STATE,15,CASES
1968,35,WEST VIRGINIA,WV,US,STATE,11,CASES
1968,36,WEST VIRGINIA,WV,US,STATE,24,CASES
1968,37,WEST VIRGINIA,WV,US,STATE,10,CASES
1968,38,WEST VIRGINIA,WV,US,STATE,13,CASES
1968,39,WEST VIRGINIA,WV,US,STATE,33,CASES
1968,40,WEST VIRGINIA,WV,US,STATE,14,CASES
1968,41,WEST VIRGINIA,WV,US,STATE,55,CASES
1968,42,WEST VIRGINIA,WV,US,STATE,40,CASES
1968,43,WEST VIRGINIA,WV,US,STATE,24,CASES
1968,44,WEST VIRGINIA,WV,US,STATE,33,CASES
1968,45,WEST VIRGINIA,WV,US,STATE,47,CASES
1968,46,WEST VIRGINIA,WV,US,STATE,74,CASES
1968,47,WEST VIRGINIA,WV,US,STATE,73,CASES
1968,48,WEST VIRGINIA,WV,US,STATE,54,CASES
1968,49,WEST VIRGINIA,WV,US,STATE,50,CASES
1968,50,WEST VIRGINIA,WV,US,STATE,115,CASES
1968,51,WEST VIRGINIA,WV,US,STATE,63,CASES
1968,52,WEST VIRGINIA,WV,US,STATE,30,CASES
1969,1,WEST VIRGINIA,WV,US,STATE,32,CASES
1969,2,WEST VIRGINIA,WV,US,STATE,23,CASES
1969,3,WEST VIRGINIA,WV,US,STATE,40,CASES
1969,4,WEST VIRGINIA,WV,US,STATE,35,CASES
1969,5,WEST VIRGINIA,WV,US,STATE,54,CASES
1969,6,WEST VIRGINIA,WV,US,STATE,44,CASES
1969,7,WEST VIRGINIA,WV,US,STATE,61,CASES
1969,8,WEST VIRGINIA,WV,US,STATE,48,CASES
1969,9,WEST VIRGINIA,WV,US,STATE,70,CASES
1969,10,WEST VIRGINIA,WV,US,STATE,110,CASES
1969,12,WEST VIRGINIA,WV,US,STATE,111,CASES
1969,13,WEST VIRGINIA,WV,US,STATE,97,CASES
1969,14,WEST VIRGINIA,WV,US,STATE,59,CASES
1969,15,WEST VIRGINIA,WV,US,STATE,65,CASES
1969,16,WEST VIRGINIA,WV,US,STATE,133,CASES
1969,17,WEST VIRGINIA,WV,US,STATE,62,CASES
1969,18,WEST VIRGINIA,WV,US,STATE,44,CASES
1969,19,WEST VIRGINIA,WV,US,STATE,119,CASES
1969,20,WEST VIRGINIA,WV,US,STATE,77,CASES
1969,21,WEST VIRGINIA,WV,US,STATE,79,CASES
1969,22,WEST VIRGINIA,WV,US,STATE,60,CASES
1969,23,WEST VIRGINIA,WV,US,STATE,105,CASES
1969,24,WEST VIRGINIA,WV,US,STATE,120,CASES
1969,25,WEST VIRGINIA,WV,US,STATE,23,CASES
1969,26,WEST VIRGINIA,WV,US,STATE,39,CASES
1969,27,WEST VIRGINIA,WV,US,STATE,21,CASES
1969,28,WEST VIRGINIA,WV,US,STATE,55,CASES
1969,29,WEST VIRGINIA,WV,US,STATE,38,CASES
1969,30,WEST VIRGINIA,WV,US,STATE,34,CASES
1969,31,WEST VIRGINIA,WV,US,STATE,28,CASES
1969,32,WEST VIRGINIA,WV,US,STATE,31,CASES
1969,33,WEST VIRGINIA,WV,US,STATE,21,CASES
1969,34,WEST VIRGINIA,WV,US,STATE,18,CASES
1969,35,WEST VIRGINIA,WV,US,STATE,16,CASES
1969,36,WEST VIRGINIA,WV,US,STATE,5,CASES
1969,37,WEST VIRGINIA,WV,US,STATE,14,CASES
1969,38,WEST VIRGINIA,WV,US,STATE,12,CASES
1969,39,WEST VIRGINIA,WV,US,STATE,25,CASES
1969,40,WEST VIRGINIA,WV,US,STATE,18,CASES
1969,41,WEST VIRGINIA,WV,US,STATE,47,CASES
1969,42,WEST VIRGINIA,WV,US,STATE,43,CASES
1969,43,WEST VIRGINIA,WV,US,STATE,70,CASES
1969,44,WEST VIRGINIA,WV,US,STATE,42,CASES
1969,45,WEST VIRGINIA,WV,US,STATE,50,CASES
1969,46,WEST VIRGINIA,WV,US,STATE,65,CASES
1969,47,WEST VIRGINIA,WV,US,STATE,58,CASES
1969,48,WEST VIRGINIA,WV,US,STATE,63,CASES
1969,49,WEST VIRGINIA,WV,US,STATE,102,CASES
1969,50,WEST VIRGINIA,WV,US,STATE,71,CASES
1969,51,WEST VIRGINIA,WV,US,STATE,69,CASES
1969,52,WEST VIRGINIA,WV,US,STATE,41,CASES
1970,1,WEST VIRGINIA,WV,US,STATE,98,CASES
1970,2,WEST VIRGINIA,WV,US,STATE,86,CASES
1970,3,WEST VIRGINIA,WV,US,STATE,103,CASES
1970,4,WEST VIRGINIA,WV,US,STATE,97,CASES
1970,5,WEST VIRGINIA,WV,US,STATE,55,CASES
1970,6,WEST VIRGINIA,WV,US,STATE,43,CASES
1970,7,WEST VIRGINIA,WV,US,STATE,74,CASES
1970,8,WEST VIRGINIA,WV,US,STATE,108,CASES
1970,9,WEST VIRGINIA,WV,US,STATE,82,CASES
1970,10,WEST VIRGINIA,WV,US,STATE,70,CASES
1970,11,WEST VIRGINIA,WV,US,STATE,83,CASES
1970,12,WEST VIRGINIA,WV,US,STATE,56,CASES
1970,13,WEST VIRGINIA,WV,US,STATE,93,CASES
1970,14,WEST VIRGINIA,WV,US,STATE,94,CASES
1970,15,WEST VIRGINIA,WV,US,STATE,59,CASES
1970,16,WEST VIRGINIA,WV,US,STATE,64,CASES
1970,17,WEST VIRGINIA,WV,US,STATE,85,CASES
1970,18,WEST VIRGINIA,WV,US,STATE,34,CASES
1970,19,WEST VIRGINIA,WV,US,STATE,42,CASES
1970,20,WEST VIRGINIA,WV,US,STATE,69,CASES
1970,21,WEST VIRGINIA,WV,US,STATE,43,CASES
1970,22,WEST VIRGINIA,WV,US,STATE,67,CASES
1970,23,WEST VIRGINIA,WV,US,STATE,101,CASES
1970,24,WEST VIRGINIA,WV,US,STATE,36,CASES
1970,25,WEST VIRGINIA,WV,US,STATE,46,CASES
1970,26,WEST VIRGINIA,WV,US,STATE,35,CASES
1970,27,WEST VIRGINIA,WV,US,STATE,41,CASES
1970,28,WEST VIRGINIA,WV,US,STATE,42,CASES
1970,29,WEST VIRGINIA,WV,US,STATE,41,CASES
1970,30,WEST VIRGINIA,WV,US,STATE,29,CASES
1970,31,WEST VIRGINIA,WV,US,STATE,18,CASES
1970,32,WEST VIRGINIA,WV,US,STATE,18,CASES
1970,33,WEST VIRGINIA,WV,US,STATE,37,CASES
1970,34,WEST VIRGINIA,WV,US,STATE,25,CASES
1970,35,WEST VIRGINIA,WV,US,STATE,8,CASES
1970,36,WEST VIRGINIA,WV,US,STATE,10,CASES
1970,37,WEST VIRGINIA,WV,US,STATE,16,CASES
1970,38,WEST VIRGINIA,WV,US,STATE,25,CASES
1970,39,WEST VIRGINIA,WV,US,STATE,29,CASES
1970,40,WEST VIRGINIA,WV,US,STATE,13,CASES
1970,41,WEST VIRGINIA,WV,US,STATE,34,CASES
1970,42,WEST VIRGINIA,WV,US,STATE,61,CASES
1970,43,WEST VIRGINIA,WV,US,STATE,31,CASES
1970,45,WEST VIRGINIA,WV,US,STATE,20,CASES
1970,46,WEST VIRGINIA,WV,US,STATE,51,CASES
1970,47,WEST VIRGINIA,WV,US,STATE,18,CASES
1970,48,WEST VIRGINIA,WV,US,STATE,46,CASES
1970,49,WEST VIRGINIA,WV,US,STATE,20,CASES
1970,50,WEST VIRGINIA,WV,US,STATE,45,CASES
1970,51,WEST VIRGINIA,WV,US,STATE,10,CASES
1970,52,WEST VIRGINIA,WV,US,STATE,24,CASES
1971,1,WEST VIRGINIA,WV,US,STATE,63,CASES
1971,2,WEST VIRGINIA,WV,US,STATE,40,CASES
1971,3,WEST VIRGINIA,WV,US,STATE,65,CASES
1971,4,WEST VIRGINIA,WV,US,STATE,49,CASES
1971,5,WEST VIRGINIA,WV,US,STATE,61,CASES
1971,6,WEST VIRGINIA,WV,US,STATE,38,CASES
1971,7,WEST VIRGINIA,WV,US,STATE,98,CASES
1971,9,WEST VIRGINIA,WV,US,STATE,111,CASES
1971,10,WEST VIRGINIA,WV,US,STATE,64,CASES
1971,11,WEST VIRGINIA,WV,US,STATE,154,CASES
1971,12,WEST VIRGINIA,WV,US,STATE,81,CASES
