year,week,loc,state,country,loc_type,number,event
1968,1,WYOMING,WY,US,STATE,23,CASES
1968,2,WYOMING,WY,US,STATE,27,CASES
1968,3,WYOMING,WY,US,STATE,16,CASES
1968,4,WYOMING,WY,US,STATE,19,CASES
1968,5,WYOMING,WY,US,STATE,150,CASES
1968,6,WYOMING,WY,US,STATE,30,CASES
1968,7,WYOMING,WY,US,STATE,2,CASES
1968,8,WYOMING,WY,US,STATE,4,CASES
1968,9,WYOMING,WY,US,STATE,33,CASES
1968,10,WYOMING,WY,US,STATE,19,CASES
1968,11,WYOMING,WY,US,STATE,28,CASES
1968,12,WYOMING,WY,US,STATE,8,CASES
1968,13,WYOMING,WY,US,STATE,5,CASES
1968,14,WYOMING,WY,US,STATE,3,CASES
1968,15,WYOMING,WY,US,STATE,11,CASES
1968,16,WYOMING,WY,US,STATE,1,CASES
1968,18,WYOMING,WY,US,STATE,10,CASES
1968,19,WYOMING,WY,US,STATE,2,CASES
1968,23,WYOMING,WY,US,STATE,4,CASES
1968,27,WYOMING,WY,US,STATE,2,CASES
1968,30,WYOMING,WY,US,STATE,1,CASES
1968,47,WYOMING,WY,US,STATE,1,CASES
1969,6,WYOMING,WY,US,STATE,1,CASES
1969,10,WYOMING,WY,US,STATE,2,CASES
1969,23,WYOMING,WY,US,STATE,1,CASES
1969,35,WYOMING,WY,US,STATE,2,CASES
1969,51,WYOMING,WY,US,STATE,2,CASES
1970,3,WYOMING,WY,US,STATE,3,CASES
1970,4,WYOMING,WY,US,STATE,4,CASES
1970,6,WYOMING,WY,US,STATE,1,CASES
1970,8,WYOMING,WY,US,STATE,2,CASES
1970,12,WYOMING,WY,US,STATE,1,CASES
1970,17,WYOMING,WY,US,STATE,18,CASES
1970,18,WYOMING,WY,US,STATE,1,CASES
1970,31,WYOMING,WY,US,STATE,1,CASES
1970,33,WYOMING,WY,US,STATE,1,CASES
1970,34,WYOMING,WY,US,STATE,2,CASES
1970,36,WYOMING,WY,US,STATE,1,CASES
1970,37,WYOMING,WY,US,STATE,1,CASES
1970,45,WYOMING,WY,US,STATE,1,CASES
1970,47,WYOMING,WY,US,STATE,1,CASES
1970,48,WYOMING,WY,US,STATE,4,CASES
1970,52,WYOMING,WY,US,STATE,2,CASES
1971,1,WYOMING,WY,US,STATE,4,CASES
1971,2,WYOMING,WY,US,STATE,1,CASES
1971,3,WYOMING,WY,US,STATE,2,CASES
1971,4,WYOMING,WY,US,STATE,1,CASES
1971,5,WYOMING,WY,US,STATE,5,CASES
1971,6,WYOMING,WY,US,STATE,4,CASES
1971,7,WYOMING,WY,US,STATE,30,CASES
1971,10,WYOMING,WY,US,STATE,22,CASES
1971,11,WYOMING,WY,US,STATE,3,CASES
1971,12,WYOMING,WY,US,STATE,16,CASES
1971,13,WYOMING,WY,US,STATE,8,CASES
1971,14,WYOMING,WY,US,STATE,1,CASES
1971,15,WYOMING,WY,US,STATE,2,CASES
1971,17,WYOMING,WY,US,STATE,71,CASES
1971,18,WYOMING,WY,US,STATE,22,CASES
1971,19,WYOMING,WY,US,STATE,32,CASES
1971,20,WYOMING,WY,US,STATE,19,CASES
1971,21,WYOMING,WY,US,STATE,22,CASES
1971,23,WYOMING,WY,US,STATE,9,CASES
1971,39,WYOMING,WY,US,STATE,11,CASES
1971,40,WYOMING,WY,US,STATE,4,CASES
1971,41,WYOMING,WY,US,STATE,6,CASES
