year,week,loc,state,country,loc_type,number,event
1966,1,WYOMING,WY,US,STATE,1,CASES
1966,3,WYOMING,WY,US,STATE,1,CASES
1966,5,WYOMING,WY,US,STATE,1,CASES
1966,11,WYOMING,WY,US,STATE,3,CASES
1966,16,WYOMING,WY,US,STATE,50,CASES
1966,17,WYOMING,WY,US,STATE,50,CASES
1966,19,WYOMING,WY,US,STATE,2,CASES
1966,20,WYOMING,WY,US,STATE,125,CASES
1966,21,WYOMING,WY,US,STATE,1,CASES
1966,22,WYOMING,WY,US,STATE,3,CASES
1966,23,WYOMING,WY,US,STATE,1,CASES
1966,33,WYOMING,WY,US,STATE,1,CASES
1967,50,WYOMING,WY,US,STATE,4,CASES
1968,4,WYOMING,WY,US,STATE,3,CASES
1968,5,WYOMING,WY,US,STATE,3,CASES
1968,9,WYOMING,WY,US,STATE,1,CASES
1968,13,WYOMING,WY,US,STATE,1,CASES
1968,14,WYOMING,WY,US,STATE,3,CASES
1968,51,WYOMING,WY,US,STATE,1,CASES
1969,6,WYOMING,WY,US,STATE,2,CASES
1969,8,WYOMING,WY,US,STATE,1,CASES
1969,9,WYOMING,WY,US,STATE,1,CASES
1969,10,WYOMING,WY,US,STATE,4,CASES
1969,13,WYOMING,WY,US,STATE,2,CASES
1969,14,WYOMING,WY,US,STATE,4,CASES
1969,20,WYOMING,WY,US,STATE,1,CASES
1969,22,WYOMING,WY,US,STATE,3,CASES
1969,26,WYOMING,WY,US,STATE,1,CASES
1969,28,WYOMING,WY,US,STATE,2,CASES
1969,32,WYOMING,WY,US,STATE,1,CASES
1969,35,WYOMING,WY,US,STATE,1,CASES
1969,36,WYOMING,WY,US,STATE,1,CASES
1969,37,WYOMING,WY,US,STATE,3,CASES
1969,39,WYOMING,WY,US,STATE,1,CASES
1969,40,WYOMING,WY,US,STATE,1,CASES
1969,42,WYOMING,WY,US,STATE,1,CASES
1969,47,WYOMING,WY,US,STATE,1,CASES
1969,50,WYOMING,WY,US,STATE,5,CASES
1969,51,WYOMING,WY,US,STATE,4,CASES
1969,52,WYOMING,WY,US,STATE,1,CASES
1970,1,WYOMING,WY,US,STATE,6,CASES
1970,2,WYOMING,WY,US,STATE,2,CASES
1970,4,WYOMING,WY,US,STATE,19,CASES
1970,8,WYOMING,WY,US,STATE,2,CASES
1970,9,WYOMING,WY,US,STATE,1,CASES
1970,10,WYOMING,WY,US,STATE,2,CASES
1970,11,WYOMING,WY,US,STATE,4,CASES
1970,12,WYOMING,WY,US,STATE,3,CASES
1970,13,WYOMING,WY,US,STATE,6,CASES
1970,15,WYOMING,WY,US,STATE,5,CASES
1970,16,WYOMING,WY,US,STATE,3,CASES
1970,17,WYOMING,WY,US,STATE,78,CASES
1970,20,WYOMING,WY,US,STATE,2,CASES
1970,36,WYOMING,WY,US,STATE,1,CASES
1970,48,WYOMING,WY,US,STATE,1,CASES
1970,50,WYOMING,WY,US,STATE,1,CASES
1971,7,WYOMING,WY,US,STATE,500,CASES
1971,8,WYOMING,WY,US,STATE,50,CASES
1971,11,WYOMING,WY,US,STATE,1,CASES
1971,12,WYOMING,WY,US,STATE,1,CASES
1971,15,WYOMING,WY,US,STATE,1,CASES
1971,17,WYOMING,WY,US,STATE,270,CASES
1971,18,WYOMING,WY,US,STATE,5,CASES
1971,19,WYOMING,WY,US,STATE,18,CASES
1971,21,WYOMING,WY,US,STATE,6,CASES
